category,filename,url,source_org,source_type,description,status,http_content_type,file_size_bytes,saved_path,final_url,downloaded_at_utc,error
cn_official,moa_2022_573_animal_disease_catalog.html,https://www.moa.gov.cn/govpublic/xmsyj/202206/t20220629_6403635.htm,?????,official_notice,??????????????,downloaded,text/html,74447,cn_official\moa_2022_573_animal_disease_catalog.html,https://www.moa.gov.cn/govpublic/xmsyj/202206/t20220629_6403635.htm,2026-04-28T06:16:14.838659+00:00,
cn_official,moa_2022_574_animal_health_standards_notice.html,https://www.moa.gov.cn/xw/bmdt/202206/t20220629_6403636.htm,?????,official_notice,????????,downloaded,text/html,116314,cn_official\moa_2022_574_animal_health_standards_notice.html,https://www.moa.gov.cn/xw/bmdt/202206/t20220629_6403636.htm,2026-04-28T06:16:15.328463+00:00,
cn_official,moa_2022_three_category_disease_prevention_spec.html,https://www.moa.gov.cn/govpublic/xmsyj/202206/t20220629_6403637.htm,?????,official_notice,??????????,downloaded,text/html,78485,cn_official\moa_2022_three_category_disease_prevention_spec.html,https://www.moa.gov.cn/govpublic/xmsyj/202206/t20220629_6403637.htm,2026-04-28T06:16:18.871711+00:00,
cn_official,moa_2022_national_mandatory_immunization_guidance.html,https://www.moa.gov.cn/govpublic/xmsyj/202201/t20220107_6386445.htm,?????,official_notice,???????????????2022?2025??,downloaded,text/html,56110,cn_official\moa_2022_national_mandatory_immunization_guidance.html,https://www.moa.gov.cn/govpublic/xmsyj/202201/t20220107_6386445.htm,2026-04-28T06:16:19.228787+00:00,
cn_official,moa_animal_epidemic_prevention_law.html,https://www.moa.gov.cn/gk/zcfg/fl/202104/t20210425_6366545.htm,?????,law_page,????????????,downloaded,text/html,98144,cn_official\moa_animal_epidemic_prevention_law.html,https://www.moa.gov.cn/gk/zcfg/fl/202104/t20210425_6366545.htm,2026-04-28T06:16:22.863431+00:00,
cn_official,moa_veterinary_label_and_insert_management.html,https://www.moa.gov.cn/gk/nyncbgzk/gzk/202210/t20221012_6413171.htm,?????,official_rule,????????????,downloaded,text/html,74720,cn_official\moa_veterinary_label_and_insert_management.html,https://www.moa.gov.cn/gk/nyncbgzk/gzk/202210/t20221012_6413171.htm,2026-04-28T06:16:23.192016+00:00,
cn_official,moa_veterinary_approval_number_management.html,https://www.moa.gov.cn/gk/nyncbgzk/gzk/202210/t20221012_6413161.htm,?????,official_rule,????????????,downloaded,text/html,442481,cn_official\moa_veterinary_approval_number_management.html,https://www.moa.gov.cn/gk/nyncbgzk/gzk/202210/t20221012_6413161.htm,2026-04-28T06:16:23.517817+00:00,
cn_official,moa_veterinary_base_info_query_trial_notice.html,https://www.moa.gov.cn/govpublic/SYJ/201208/t20120824_2897256.htm,????????,official_notice,???????????????,downloaded,text/html,44554,cn_official\moa_veterinary_base_info_query_trial_notice.html,https://www.moa.gov.cn/govpublic/SYJ/201208/t20120824_2897256.htm,2026-04-28T06:16:23.832474+00:00,
cn_official,moa_veterinary_query_app_launch.html,https://www.moa.gov.cn/xw/zwdt/201807/t20180710_6153816.htm,?????,official_news,????????APP?????????,downloaded,text/html,50233,cn_official\moa_veterinary_query_app_launch.html,https://www.moa.gov.cn/xw/zwdt/201807/t20180710_6153816.htm,2026-04-28T06:16:24.030540+00:00,
cn_official,moa_2022_594_veterinary_residue_limits.pdf,https://www.moa.gov.cn/nybgb/2022/202210/202211/P020221115556927766576.pdf,?????/???????/??????,official_pdf,???594???GB 31650.1-2022???????,downloaded,application/pdf,1185728,cn_official\moa_2022_594_veterinary_residue_limits.pdf,https://www.moa.gov.cn/nybgb/2022/202210/202211/P020221115556927766576.pdf,2026-04-28T06:16:24.511546+00:00,
standards,cahec_poultry_national_standards_index.html,https://std.cahec.cn/gb/12_2.html,??????????????,standards_index,???????????,downloaded,text/html,14912,standards\cahec_poultry_national_standards_index.html,https://std.cahec.cn/gb/12_2.html,2026-04-28T06:16:24.996719+00:00,
standards,openstd_gbt_16550_2020_newcastle_diagnosis.html,https://openstd.samr.gov.cn/bzgk/gb/newGbInfo?hcno=DAA58A6FCC696F91339EED5BF8460CAB,??????????,standard_page,GB/T 16550-2020 ???????,downloaded,text/html;charset=utf-8,24131,standards\openstd_gbt_16550_2020_newcastle_diagnosis.html,https://openstd.samr.gov.cn/bzgk/std/newGbInfo?hcno=DAA58A6FCC696F91339EED5BF8460CAB,2026-04-28T06:16:25.621573+00:00,
standards,openstd_gbt_23197_2022_ib_diagnosis.html,https://openstd.samr.gov.cn/bzgk/std/newGbInfo?hcno=E047C85709682D29ABE9153B0D2154AD,??????????,standard_page,GB/T 23197-2022 ????????????,downloaded,text/html;charset=utf-8,24150,standards\openstd_gbt_23197_2022_ib_diagnosis.html,https://openstd.samr.gov.cn/bzgk/std/newGbInfo?hcno=E047C85709682D29ABE9153B0D2154AD,2026-04-28T06:16:25.785448+00:00,
standards,cahec_gbt_18936_2020_hpai_diagnosis.html,https://std.cahec.cn/gb/details/493.html,??????????????,standard_page,GB/T 18936-2020 ???????????,downloaded,text/html,10703,standards\cahec_gbt_18936_2020_hpai_diagnosis.html,https://std.cahec.cn/gb/details/493.html,2026-04-28T06:16:25.868747+00:00,
standards,cahec_gbt_19167_2020_ibd_diagnosis.html,https://std.cahec.cn/gb/details/494.html,??????????????,standard_page,GB/T 19167-2020 ???????????,downloaded,text/html,10694,standards\cahec_gbt_19167_2020_ibd_diagnosis.html,https://std.cahec.cn/gb/details/494.html,2026-04-28T06:16:25.939937+00:00,
standards,cahec_nyt_556_2020_ilt_diagnosis.html,https://std.cahec.cn/qb/details/537.html,??????????????,standard_page,NY/T 556-2020 ????????????,downloaded,text/html,10662,standards\cahec_nyt_556_2020_ilt_diagnosis.html,https://std.cahec.cn/qb/details/537.html,2026-04-28T06:16:26.017621+00:00,
standards,openstd_gbt_43173_2023_pullorum_purification.html,https://openstd.samr.gov.cn/bzgk/gb/newGbInfo?hcno=B5722D3A5519C618E966E9290DE31E08,??????????,standard_page,GB/T 43173-2023 ?????????????,downloaded,text/html;charset=utf-8,24175,standards\openstd_gbt_43173_2023_pullorum_purification.html,https://openstd.samr.gov.cn/bzgk/std/newGbInfo?hcno=B5722D3A5519C618E966E9290DE31E08,2026-04-28T06:16:26.237382+00:00,
standards,cahec_gbt_36873_2018_avian_leukosis_purification.html,https://std.cahec.cn/gb/details/415.html,??????????????,standard_page,GB/T 36873-2018 ??????????????,downloaded,text/html,10682,standards\cahec_gbt_36873_2018_avian_leukosis_purification.html,https://std.cahec.cn/gb/details/415.html,2026-04-28T06:16:26.306726+00:00,
international,woah_avian_influenza_disease_page.html,https://www.woah.org/en/blog/disease/avian-influenza/,WOAH,international_disease_page,WOAH ??????,downloaded,text/html; charset=UTF-8,287599,international\woah_avian_influenza_disease_page.html,https://www.woah.org/en/disease/avian-influenza/,2026-04-28T06:16:26.976518+00:00,
international,woah_newcastle_disease_page.html,https://www.woah.org/en/animal-health-in-the-world/animal-diseases/Newcastle-disease/,WOAH,international_disease_page,WOAH ??????,downloaded,text/html; charset=UTF-8,115590,international\woah_newcastle_disease_page.html,https://www.woah.org/en/disease/newcastle-disease/,2026-04-28T06:16:27.213581+00:00,
international,woah_terrestrial_code_index.html,https://www.woah.org/fileadmin/Home/eng/Health_standards/tahc/2021/en_index.htm,WOAH,international_code_index,WOAH ??????????,downloaded,text/html; charset=utf-8,132774,international\woah_terrestrial_code_index.html,https://www.woah.org/fileadmin/Home/eng/Health_standards/tahc/2021/en_index.htm,2026-04-28T06:16:28.563184+00:00,
international,pmc_nd_review_detection.html,https://pmc.ncbi.nlm.nih.gov/articles/PMC9378970/,PubMed Central,open_access_review,Review detection of Newcastle disease virus,downloaded,text/html; charset=utf-8,20354,international\pmc_nd_review_detection.html,https://pmc.ncbi.nlm.nih.gov/articles/PMC9378970/,2026-04-28T06:16:29.454021+00:00,
international,pmc_avian_influenza_systematic_review.html,https://pmc.ncbi.nlm.nih.gov/articles/PMC6784017/,PubMed Central,open_access_review,Virus Shedding of Avian Influenza in Poultry: A Systematic Review and Meta-Analysis,downloaded,text/html; charset=utf-8,20357,international\pmc_avian_influenza_systematic_review.html,https://pmc.ncbi.nlm.nih.gov/articles/PMC6784017/,2026-04-28T06:16:29.908278+00:00,
