disease_id,disease_name,category,has_local_raw_copy,local_raw_copy,primary_reference_type,authority_level,coverage_status
DIS-001,鸡白痢,细菌病,yes,authoritative/raw/clinical_reference/www.merckvetmanual.com_poultry_salmonelloses_pullorum-disease-in-poultry.html,Merck Veterinary Manual - Pullorum Disease in Poultry,A2,verified_local_source_present
DIS-002,鸡球虫病,寄生虫病,yes,authoritative/raw/clinical_reference/www.merckvetmanual.com_poultry_coccidiosis_coccidiosis-in-poultry.html,Merck Veterinary Manual - Coccidiosis in Poultry,A2,verified_local_source_present
DIS-003,传染性支气管炎,病毒病,yes,authoritative/raw/clinical_reference/www.merckvetmanual.com_poultry_infectious-bronchitis_infectious-bronchitis-in-poultry.html,Merck Veterinary Manual - Infectious Bronchitis in Poultry,A2,verified_local_source_present
DIS-004,热应激,环境/管理病因,yes,authoritative/raw/clinical_reference/www.merckvetmanual.com_poultry_management-and-nutrition_heat-stress-in-poultry.html,Merck Veterinary Manual - Heat Stress in Poultry,A2,verified_local_source_present
DIS-005,维生素缺乏症,营养代谢病,yes,authoritative/raw/clinical_reference/www.merckvetmanual.com_poultry_nutrition-and-management_nutritional-diseases-of-poultry.html,Merck Veterinary Manual - Nutritional Diseases of Poultry,A2,verified_local_source_present
DIS-006,大肠杆菌病,细菌病,yes,authoritative/raw/clinical_reference/www.merckvetmanual.com_poultry_colibacillosis_colibacillosis-in-poultry.html,Merck Veterinary Manual - Colibacillosis in Poultry,A2,verified_local_source_present
DIS-007,坏死性肠炎,细菌病,yes,authoritative/raw/clinical_reference/www.merckvetmanual.com_poultry_necrotic-enteritis_necrotic-enteritis-in-poultry.html,Merck Veterinary Manual - Necrotic Enteritis in Poultry,A2,verified_local_source_present
DIS-008,禽流感,重大疫病,yes,authoritative/raw/international/woah_avian_influenza_disease_page.html,WOAH Terrestrial Manual - Avian Influenza,A1,verified_local_source_present
DIS-009,新城疫,重大病毒病,yes,authoritative/raw/international/woah_newcastle_disease_page.html,WOAH - Newcastle disease,A1,verified_local_source_present
DIS-010,传染性法氏囊病,病毒病,yes,authoritative/raw/clinical_reference/www.merckvetmanual.com_poultry_infectious-bursal-disease_infectious-bursal-disease-in-poultry.html,Merck Veterinary Manual - Infectious Bursal Disease in Poultry,A2,verified_local_source_present
DIS-011,马立克病,肿瘤性病毒病,yes,authoritative/raw/clinical_reference/www.merckvetmanual.com_poultry_neoplasms_marek-disease-in-poultry.html,Merck Veterinary Manual - Marek Disease in Poultry,A2,verified_local_source_present
DIS-012,传染性喉气管炎,病毒病,yes,authoritative/raw/clinical_reference/www.merckvetmanual.com_poultry_infectious-laryngotracheitis_infectious-laryngotracheitis-in-poultry.html,Merck Veterinary Manual - Infectious Laryngotracheitis in Poultry,A2,verified_local_source_present
DIS-013,鸡支原体病,细菌样病原,yes,authoritative/raw/clinical_reference/www.merckvetmanual.com_poultry_mycoplasmosis_mycoplasmosis-in-poultry.html,Merck Veterinary Manual - Mycoplasmosis in Poultry,A2,verified_local_source_present
DIS-014,禽霍乱,细菌病,yes,authoritative/raw/clinical_reference/www.merckvetmanual.com_poultry_fowl-cholera_fowl-cholera-in-poultry.html,Merck Veterinary Manual - Fowl Cholera in Poultry,A2,verified_local_source_present
DIS-015,传染性鼻炎,细菌病,yes,authoritative/raw/clinical_reference/www.merckvetmanual.com_poultry_infectious-coryza_infectious-coryza-in-chickens.html,Merck Veterinary Manual - Infectious Coryza in Chickens,A2,verified_local_source_present
DIS-016,禽痘,病毒病,yes,authoritative/raw/clinical_reference/www.merckvetmanual.com_poultry_fowlpox_fowlpox-in-poultry.html,Merck Veterinary Manual - Fowlpox in Poultry,A2,verified_local_source_present
DIS-017,曲霉菌病,真菌病,yes,authoritative/raw/clinical_reference/www.merckvetmanual.com_poultry_aspergillosis_aspergillosis-in-poultry.html,Merck Veterinary Manual - Aspergillosis in Poultry,A2,verified_local_source_present
DIS-018,葡萄球菌病,细菌病,yes,authoritative/raw/clinical_reference/www.merckvetmanual.com_poultry_staphylococcosis_staphylococcosis-in-poultry.html,Merck Veterinary Manual - Staphylococcosis in Poultry,A2,verified_local_source_present
DIS-019,肉毒梭菌中毒,中毒病,yes,authoritative/raw/clinical_reference/www.merckvetmanual.com_poultry_botulism_botulism-in-poultry.html,Merck Veterinary Manual - Botulism in Poultry,A2,verified_local_source_present
DIS-020,组织滴虫病,寄生虫病,yes,authoritative/raw/clinical_reference/www.merckvetmanual.com_poultry_histomoniasis_histomoniasis-in-poultry.html,Merck Veterinary Manual - Histomoniasis in Poultry,A2,verified_local_source_present
DIS-021,鸡蛔虫病,寄生虫病,yes,authoritative/raw/clinical_reference/www.merckvetmanual.com_poultry_helminthiasis_nematode-parasites-of-poultry.html,Merck Veterinary Manual - Nematode Parasites of Poultry,A2,verified_local_source_present
DIS-022,鸡绦虫病,寄生虫病,yes,authoritative/raw/clinical_reference/www.merckvetmanual.com_poultry_helminthiasis_cestodes-of-poultry.html,Merck Veterinary Manual - Cestodes of Poultry,A2,verified_local_source_present
DIS-023,霉菌毒素中毒,中毒/饲料问题,yes,authoritative/raw/clinical_reference/www.merckvetmanual.com_poultry_mycotoxicoses_mycotoxicoses-in-poultry.html,Merck Veterinary Manual - Mycotoxicoses in Poultry,A2,verified_local_source_present
DIS-024,脂肪肝出血综合征,营养代谢病,yes,authoritative/raw/clinical_reference/www.merckvetmanual.com_poultry_nutrition-and-management_fatty-liver-hemorrhagic-syndrome-in-poultry.html,Merck Veterinary Manual - Fatty Liver Hemorrhagic Syndrome in Poultry,A2,verified_local_source_present
DIS-025,腹水综合征,代谢/管理病因,yes,authoritative/raw/clinical_reference/www.merckvetmanual.com_poultry_miscellaneous-conditions-of-poultry_ascites-syndrome-in-poultry.html,Merck Veterinary Manual - Ascites Syndrome in Poultry,A2,verified_local_source_present
DIS-026,笼养蛋鸡疲劳症,营养代谢病,yes,authoritative/raw/clinical_reference/www.merckvetmanual.com_poultry_nutrition-and-management_cage-layer-fatigue.html,Merck Veterinary Manual - Cage Layer Fatigue,A2,verified_local_source_present
DIS-027,啄癖,行为/管理问题,yes,authoritative/raw/clinical_reference/www.merckvetmanual.com_poultry_management-and-nutrition_cannibalism-in-poultry.html,Merck Veterinary Manual - Cannibalism in Poultry,A2,verified_local_source_present
DIS-028,氨气刺激性呼吸道病,环境/管理病因,yes,authoritative/raw/clinical_reference/www.merckvetmanual.com_poultry_management-and-nutrition_management-of-poultry.html,Merck Veterinary Manual - Poultry Housing and Ventilation,A2,verified_local_source_present
DIS-029,鸡伤寒,细菌病,yes,authoritative/raw/clinical_reference/www.merckvetmanual.com_poultry_salmonelloses_fowl-typhoid-in-poultry.html,Merck Veterinary Manual - Fowl Typhoid in Poultry,A2,verified_local_source_present
