record_type,record_id,name,source_name,source_url,local_path,authority_level,evidence_strength,last_verified,notes
disease,DIS-001,鸡白痢,Merck Veterinary Manual - Pullorum Disease in Poultry,https://www.merckvetmanual.com/poultry/salmonelloses/pullorum-disease-in-poultry,authoritative/raw/clinical_reference/www.merckvetmanual.com_poultry_salmonelloses_pullorum-disease-in-poultry.html,A2,high,2026-04-23,用于鸡白痢场景生成与诊断一致性评审。
disease,DIS-002,鸡球虫病,Merck Veterinary Manual - Coccidiosis in Poultry,https://www.merckvetmanual.com/poultry/coccidiosis/coccidiosis-in-poultry,authoritative/raw/clinical_reference/www.merckvetmanual.com_poultry_coccidiosis_coccidiosis-in-poultry.html,A2,high,2026-04-23,与地克珠利、磺胺氯吡嗪钠、马杜霉素等规则联动。
disease,DIS-003,传染性支气管炎,Merck Veterinary Manual - Infectious Bronchitis in Poultry,https://www.merckvetmanual.com/poultry/infectious-bronchitis/infectious-bronchitis-in-poultry,authoritative/raw/clinical_reference/www.merckvetmanual.com_poultry_infectious-bronchitis_infectious-bronchitis-in-poultry.html,A2,high,2026-04-23,用于防止病毒病样本过度抗菌化。
disease,DIS-004,热应激,Merck Veterinary Manual - Heat Stress in Poultry,https://www.merckvetmanual.com/poultry/management-and-nutrition/heat-stress-in-poultry,authoritative/raw/clinical_reference/www.merckvetmanual.com_poultry_management-and-nutrition_heat-stress-in-poultry.html,A2,medium,2026-04-23,用于支持类添加剂和无休药期场景。
disease,DIS-005,维生素缺乏症,Merck Veterinary Manual - Nutritional Diseases of Poultry,https://www.merckvetmanual.com/poultry/nutrition-and-management/nutritional-diseases-of-poultry,authoritative/raw/clinical_reference/www.merckvetmanual.com_poultry_nutrition-and-management_nutritional-diseases-of-poultry.html,A2,medium,2026-04-23,用于复合维生素B、维生素C、维生素K3等支持项。
disease,DIS-006,大肠杆菌病,Merck Veterinary Manual - Colibacillosis in Poultry,https://www.merckvetmanual.com/poultry/colibacillosis/colibacillosis-in-poultry,authoritative/raw/clinical_reference/www.merckvetmanual.com_poultry_colibacillosis_colibacillosis-in-poultry.html,A2,high,2026-04-23,与阿莫西林、恩诺沙星、安普霉素等规则联动。
disease,DIS-007,坏死性肠炎,Merck Veterinary Manual - Necrotic Enteritis in Poultry,https://www.merckvetmanual.com/poultry/necrotic-enteritis/necrotic-enteritis-in-poultry,authoritative/raw/clinical_reference/www.merckvetmanual.com_poultry_necrotic-enteritis_necrotic-enteritis-in-poultry.html,A2,high,2026-04-23,重点防止甲硝唑错误处方。
disease,DIS-008,禽流感,WOAH Terrestrial Manual - Avian Influenza,https://www.woah.org/en/disease/avian-influenza/,authoritative/raw/international/woah_avian_influenza_disease_page.html,A1,high,2026-04-23,用于重大疫病安全边界控制。
disease,DIS-009,新城疫,WOAH - Newcastle disease,https://www.woah.org/en/disease/newcastle-disease/,authoritative/raw/international/woah_newcastle_disease_page.html,A1,high,2026-04-23,重大疫病安全边界卡。
disease,DIS-010,传染性法氏囊病,Merck Veterinary Manual - Infectious Bursal Disease in Poultry,https://www.merckvetmanual.com/poultry/infectious-bursal-disease/infectious-bursal-disease-in-poultry,authoritative/raw/clinical_reference/www.merckvetmanual.com_poultry_infectious-bursal-disease_infectious-bursal-disease-in-poultry.html,A2,high,2026-04-23,常见免疫抑制病。
disease,DIS-011,马立克病,Merck Veterinary Manual - Marek Disease in Poultry,https://www.merckvetmanual.com/poultry/neoplasms/marek-disease-in-poultry,authoritative/raw/clinical_reference/www.merckvetmanual.com_poultry_neoplasms_marek-disease-in-poultry.html,A2,high,2026-04-23,防止肿瘤性病毒病被错误抗菌化。
disease,DIS-012,传染性喉气管炎,Merck Veterinary Manual - Infectious Laryngotracheitis in Poultry,https://www.merckvetmanual.com/poultry/infectious-laryngotracheitis/infectious-laryngotracheitis-in-poultry,authoritative/raw/clinical_reference/www.merckvetmanual.com_poultry_infectious-laryngotracheitis_infectious-laryngotracheitis-in-poultry.html,A2,high,2026-04-23,呼吸道病毒病高频。
disease,DIS-013,鸡支原体病,Merck Veterinary Manual - Mycoplasmosis in Poultry,https://www.merckvetmanual.com/poultry/mycoplasmosis/mycoplasmosis-in-poultry,authoritative/raw/clinical_reference/www.merckvetmanual.com_poultry_mycoplasmosis_mycoplasmosis-in-poultry.html,A2,high,2026-04-23,与泰乐菌素、红霉素等规则联动。
disease,DIS-014,禽霍乱,Merck Veterinary Manual - Fowl Cholera in Poultry,https://www.merckvetmanual.com/poultry/fowl-cholera/fowl-cholera-in-poultry,authoritative/raw/clinical_reference/www.merckvetmanual.com_poultry_fowl-cholera_fowl-cholera-in-poultry.html,A2,high,2026-04-23,细菌性急性病。
disease,DIS-015,传染性鼻炎,Merck Veterinary Manual - Infectious Coryza in Chickens,https://www.merckvetmanual.com/poultry/infectious-coryza/infectious-coryza-in-chickens,authoritative/raw/clinical_reference/www.merckvetmanual.com_poultry_infectious-coryza_infectious-coryza-in-chickens.html,A2,high,2026-04-23,呼吸道细菌病。
disease,DIS-016,禽痘,Merck Veterinary Manual - Fowlpox in Poultry,https://www.merckvetmanual.com/poultry/fowlpox/fowlpox-in-poultry,authoritative/raw/clinical_reference/www.merckvetmanual.com_poultry_fowlpox_fowlpox-in-poultry.html,A2,high,2026-04-23,常见病毒性皮肤黏膜病。
disease,DIS-017,曲霉菌病,Merck Veterinary Manual - Aspergillosis in Poultry,https://www.merckvetmanual.com/poultry/aspergillosis/aspergillosis-in-poultry,authoritative/raw/clinical_reference/www.merckvetmanual.com_poultry_aspergillosis_aspergillosis-in-poultry.html,A2,high,2026-04-23,真菌病处置边界。
disease,DIS-018,葡萄球菌病,Merck Veterinary Manual - Staphylococcosis in Poultry,https://www.merckvetmanual.com/poultry/staphylococcosis/staphylococcosis-in-poultry,authoritative/raw/clinical_reference/www.merckvetmanual.com_poultry_staphylococcosis_staphylococcosis-in-poultry.html,A2,high,2026-04-23,细菌病知识卡。
disease,DIS-019,肉毒梭菌中毒,Merck Veterinary Manual - Botulism in Poultry,https://www.merckvetmanual.com/poultry/botulism/botulism-in-poultry,authoritative/raw/clinical_reference/www.merckvetmanual.com_poultry_botulism_botulism-in-poultry.html,A2,medium,2026-04-23,中毒类场景。
disease,DIS-020,组织滴虫病,Merck Veterinary Manual - Histomoniasis in Poultry,https://www.merckvetmanual.com/poultry/histomoniasis/histomoniasis-in-poultry,authoritative/raw/clinical_reference/www.merckvetmanual.com_poultry_histomoniasis_histomoniasis-in-poultry.html,A2,high,2026-04-23,禁用药风险高。
disease,DIS-021,鸡蛔虫病,Merck Veterinary Manual - Nematode Parasites of Poultry,https://www.merckvetmanual.com/poultry/helminthiasis/nematode-parasites-of-poultry,authoritative/raw/clinical_reference/www.merckvetmanual.com_poultry_helminthiasis_nematode-parasites-of-poultry.html,A2,medium,2026-04-23,与阿苯达唑、左旋咪唑、哌嗪规则联动。
disease,DIS-022,鸡绦虫病,Merck Veterinary Manual - Cestodes of Poultry,https://www.merckvetmanual.com/poultry/helminthiasis/cestodes-of-poultry,authoritative/raw/clinical_reference/www.merckvetmanual.com_poultry_helminthiasis_cestodes-of-poultry.html,A2,medium,2026-04-23,寄生虫病补充。
