source_id,origin,category,source_org,source_type,authority_level,evidence_role,jurisdiction,primary_or_secondary,description,source_url,final_url,saved_path,file_size_bytes,sha256,content_type,status,verified_at_utc,notes
SRC-0043,downloaded_from_master_or_curated_seed,clinical_reference,Merck Veterinary Manual - Aspergillosis in Poultry,disease_reference_page,A2,clinical_reference,US,secondary,曲霉菌病,https://www.merckvetmanual.com/poultry/aspergillosis/aspergillosis-in-poultry,https://www.merckvetmanual.com/poultry/aspergillosis/aspergillosis-in-poultry,authoritative/raw/clinical_reference/www.merckvetmanual.com_poultry_aspergillosis_aspergillosis-in-poultry.html,409232,d9a3b3fa0eede43006fa7370cf8c0e5e4728013dd0df30ced8549f425ee27113,,downloaded,2026-04-28T07:40:26.192615+00:00,
SRC-0056,downloaded_from_master_or_curated_seed,clinical_reference,Merck Veterinary Manual - Avian Encephalomyelitis,disease_reference_page,A2,clinical_reference,US,secondary,禽脑脊髓炎,https://www.merckvetmanual.com/poultry/avian-encephalomyelitis/avian-encephalomyelitis,https://www.merckvetmanual.com/poultry/avian-encephalomyelitis/avian-encephalomyelitis,authoritative/raw/clinical_reference/www.merckvetmanual.com_poultry_avian-encephalomyelitis_avian-encephalomyelitis.html,319219,4ee1b53ca8f4afc0833474a38dba6f0f27395e9ecdde521e0ad318d82853373c,,downloaded,2026-04-28T07:40:26.210693+00:00,
SRC-0045,downloaded_from_master_or_curated_seed,clinical_reference,Merck Veterinary Manual - Botulism in Poultry,disease_reference_page,A2,clinical_reference,US,secondary,肉毒梭菌中毒,https://www.merckvetmanual.com/poultry/botulism/botulism-in-poultry,https://www.merckvetmanual.com/poultry/botulism/botulism-in-poultry,authoritative/raw/clinical_reference/www.merckvetmanual.com_poultry_botulism_botulism-in-poultry.html,302488,ead026fc80b7025b34a3e646c273d69e094790a647a702d66769d2a1a9db9ecb,,downloaded,2026-04-28T07:40:26.196547+00:00,
SRC-0030,downloaded_from_master_or_curated_seed,clinical_reference,Merck Veterinary Manual - Coccidiosis in Poultry,disease_reference_page,A2,clinical_reference,US,secondary,鸡球虫病,https://www.merckvetmanual.com/poultry/coccidiosis/coccidiosis-in-poultry,https://www.merckvetmanual.com/poultry/coccidiosis/coccidiosis-in-poultry,authoritative/raw/clinical_reference/www.merckvetmanual.com_poultry_coccidiosis_coccidiosis-in-poultry.html,519599,5d97d53a0335733c3bc4667b3ce3ed95b7dc645118d141d73f7b1873fb737348,,downloaded,2026-04-28T07:40:26.173083+00:00,
SRC-0034,downloaded_from_master_or_curated_seed,clinical_reference,Merck Veterinary Manual - Colibacillosis in Poultry,disease_reference_page,A2,clinical_reference,US,secondary,大肠杆菌病,https://www.merckvetmanual.com/poultry/colibacillosis/colibacillosis-in-poultry,https://www.merckvetmanual.com/poultry/colibacillosis/colibacillosis-in-poultry,authoritative/raw/clinical_reference/www.merckvetmanual.com_poultry_colibacillosis_colibacillosis-in-poultry.html,286464,7cff307534c2207089d79d7e36ab7033d9dc8fcd25b1c73fb70e70a68d802834,,downloaded,2026-04-28T07:40:26.178047+00:00,
SRC-0040,downloaded_from_master_or_curated_seed,clinical_reference,Merck Veterinary Manual - Fowl Cholera in Poultry,disease_reference_page,A2,clinical_reference,US,secondary,禽霍乱,https://www.merckvetmanual.com/poultry/fowl-cholera/fowl-cholera,https://www.merckvetmanual.com/poultry/fowl-cholera/fowl-cholera,authoritative/raw/clinical_reference/www.merckvetmanual.com_poultry_fowl-cholera_fowl-cholera-in-poultry.html,131454,203d00cb91a633d1feb7cdccad8851691d60fab5d741fe95eab5408f8632a01a,,downloaded,2026-04-28T07:40:26.186810+00:00,
SRC-0042,downloaded_from_master_or_curated_seed,clinical_reference,Merck Veterinary Manual - Fowlpox in Poultry,disease_reference_page,A2,clinical_reference,US,secondary,禽痘,https://www.merckvetmanual.com/poultry/fowlpox/fowlpox-in-chickens-and-turkeys,https://www.merckvetmanual.com/poultry/fowlpox/fowlpox-in-chickens-and-turkeys,authoritative/raw/clinical_reference/www.merckvetmanual.com_poultry_fowlpox_fowlpox-in-poultry.html,131454,203d00cb91a633d1feb7cdccad8851691d60fab5d741fe95eab5408f8632a01a,,downloaded,2026-04-28T07:40:26.190911+00:00,
SRC-0048,downloaded_from_master_or_curated_seed,clinical_reference,Merck Veterinary Manual - Cestodes of Poultry,disease_reference_page,A2,clinical_reference,US,secondary,鸡绦虫病,https://www.merckvetmanual.com/poultry/helminthiasis/helminthiasis-in-poultry,https://www.merckvetmanual.com/poultry/helminthiasis/helminthiasis-in-poultry,authoritative/raw/clinical_reference/www.merckvetmanual.com_poultry_helminthiasis_cestodes-of-poultry.html,131454,203d00cb91a633d1feb7cdccad8851691d60fab5d741fe95eab5408f8632a01a,,downloaded,2026-04-28T07:40:26.199795+00:00,
SRC-0047,downloaded_from_master_or_curated_seed,clinical_reference,Merck Veterinary Manual - Nematode Parasites of Poultry,disease_reference_page,A2,clinical_reference,US,secondary,鸡蛔虫病,https://www.merckvetmanual.com/poultry/helminthiasis/helminthiasis-in-poultry,https://www.merckvetmanual.com/poultry/helminthiasis/helminthiasis-in-poultry,authoritative/raw/clinical_reference/www.merckvetmanual.com_poultry_helminthiasis_nematode-parasites-of-poultry.html,131454,203d00cb91a633d1feb7cdccad8851691d60fab5d741fe95eab5408f8632a01a,,downloaded,2026-04-28T07:40:26.198801+00:00,
SRC-0046,downloaded_from_master_or_curated_seed,clinical_reference,Merck Veterinary Manual - Histomoniasis in Poultry,disease_reference_page,A2,clinical_reference,US,secondary,组织滴虫病,https://www.merckvetmanual.com/poultry/histomoniasis/histomoniasis-in-poultry,https://www.merckvetmanual.com/poultry/histomoniasis/histomoniasis-in-poultry,authoritative/raw/clinical_reference/www.merckvetmanual.com_poultry_histomoniasis_histomoniasis-in-poultry.html,323385,4d08157cacc4bae9de3ea784dc39ba19ce7f24e4ef118b189c1b47a3b4e3f44f,,downloaded,2026-04-28T07:40:26.197767+00:00,
