drug_name,rule_count,page_relpath,page_type
二氟沙星,1,wiki/drugs/二氟沙星.md,drug_summary
二氟沙星,1,wiki/drugs/rule_cards/RULE-054-二氟沙星.md,drug_rule_card
二硝托胺,2,wiki/drugs/二硝托胺.md,drug_summary
二硝托胺,1,wiki/drugs/rule_cards/RULE-035-二硝托胺.md,drug_rule_card
二硝托胺,1,wiki/drugs/rule_cards/RULE-036-二硝托胺.md,drug_rule_card
卡巴氧,1,wiki/drugs/卡巴氧.md,drug_summary
卡巴氧,1,wiki/drugs/rule_cards/RULE-015-卡巴氧.md,drug_rule_card
吉他霉素,2,wiki/drugs/吉他霉素.md,drug_summary
吉他霉素,1,wiki/drugs/rule_cards/RULE-046-吉他霉素.md,drug_rule_card
吉他霉素,1,wiki/drugs/rule_cards/RULE-047-吉他霉素.md,drug_rule_card
四环素,2,wiki/drugs/四环素.md,drug_summary
四环素,1,wiki/drugs/rule_cards/RULE-043-四环素.md,drug_rule_card
四环素,1,wiki/drugs/rule_cards/RULE-044-四环素.md,drug_rule_card
土霉素,2,wiki/drugs/土霉素.md,drug_summary
土霉素,1,wiki/drugs/rule_cards/RULE-041-土霉素.md,drug_rule_card
土霉素,1,wiki/drugs/rule_cards/RULE-042-土霉素.md,drug_rule_card
地克珠利,2,wiki/drugs/地克珠利.md,drug_summary
地克珠利,1,wiki/drugs/rule_cards/RULE-005-地克珠利.md,drug_rule_card
地克珠利,1,wiki/drugs/rule_cards/RULE-006-地克珠利.md,drug_rule_card
复方氨苄西林,2,wiki/drugs/复方氨苄西林.md,drug_summary
复方氨苄西林,1,wiki/drugs/rule_cards/RULE-023-复方氨苄西林.md,drug_rule_card
复方氨苄西林,1,wiki/drugs/rule_cards/RULE-024-复方氨苄西林.md,drug_rule_card
复方磺胺氯哒嗪钠,2,wiki/drugs/复方磺胺氯哒嗪钠.md,drug_summary
复方磺胺氯哒嗪钠,1,wiki/drugs/rule_cards/RULE-071-复方磺胺氯哒嗪钠.md,drug_rule_card
复方磺胺氯哒嗪钠,1,wiki/drugs/rule_cards/RULE-072-复方磺胺氯哒嗪钠.md,drug_rule_card
左旋咪唑,1,wiki/drugs/左旋咪唑.md,drug_summary
左旋咪唑,1,wiki/drugs/rule_cards/RULE-075-左旋咪唑.md,drug_rule_card
恩诺沙星,2,wiki/drugs/恩诺沙星.md,drug_summary
恩诺沙星,1,wiki/drugs/rule_cards/RULE-025-恩诺沙星.md,drug_rule_card
恩诺沙星,1,wiki/drugs/rule_cards/RULE-026-恩诺沙星.md,drug_rule_card
替硝唑,1,wiki/drugs/替硝唑.md,drug_summary
替硝唑,1,wiki/drugs/rule_cards/RULE-018-替硝唑.md,drug_rule_card
枸橼酸哌嗪,1,wiki/drugs/枸橼酸哌嗪.md,drug_summary
枸橼酸哌嗪,1,wiki/drugs/rule_cards/RULE-076-枸橼酸哌嗪.md,drug_rule_card
氟苯尼考,2,wiki/drugs/氟苯尼考.md,drug_summary
氟苯尼考,1,wiki/drugs/rule_cards/RULE-002-氟苯尼考.md,drug_rule_card
氟苯尼考,1,wiki/drugs/rule_cards/RULE-003-氟苯尼考.md,drug_rule_card
氧氟沙星,1,wiki/drugs/氧氟沙星.md,drug_summary
氧氟沙星,1,wiki/drugs/rule_cards/RULE-020-氧氟沙星.md,drug_rule_card
氨丙啉复方,2,wiki/drugs/氨丙啉复方.md,drug_summary
氨丙啉复方,1,wiki/drugs/rule_cards/RULE-067-氨丙啉复方.md,drug_rule_card
氨丙啉复方,1,wiki/drugs/rule_cards/RULE-068-氨丙啉复方.md,drug_rule_card
氨苯砜,1,wiki/drugs/氨苯砜.md,drug_summary
