issue_type,subject,source_url,details,recommended_action
non_authoritative_drug_rule_removed,复合维生素B,,Rule RULE-007 has no real evidence URL and was excluded from the authoritative drug layer.,"Replace with official label, official notice, or standards evidence before use."
non_authoritative_drug_rule_removed,电解多维,,Rule RULE-008 has no real evidence URL and was excluded from the authoritative drug layer.,"Replace with official label, official notice, or standards evidence before use."
non_authoritative_drug_rule_removed,维生素C,,Rule RULE-009 has no real evidence URL and was excluded from the authoritative drug layer.,"Replace with official label, official notice, or standards evidence before use."
non_authoritative_drug_rule_removed,碳酸氢钠,,Rule RULE-010 has no real evidence URL and was excluded from the authoritative drug layer.,"Replace with official label, official notice, or standards evidence before use."
non_authoritative_drug_rule_removed,氯化钾,,Rule RULE-011 has no real evidence URL and was excluded from the authoritative drug layer.,"Replace with official label, official notice, or standards evidence before use."
non_authoritative_drug_rule_removed,维生素K3,,Rule RULE-012 has no real evidence URL and was excluded from the authoritative drug layer.,"Replace with official label, official notice, or standards evidence before use."
manual_label_verification_needed,二氟沙星,https://www.moa.gov.cn/nybgb/2003/snqi/201711/t20171126_5919564.htm,RULE-054 still needs product-level label verification.,Manually pull the official product label or official veterinary query record.
manual_label_verification_needed,二硝托胺,https://www.moa.gov.cn/nybgb/2003/snqi/201711/t20171126_5919564.htm,RULE-035 still needs product-level label verification.,Manually pull the official product label or official veterinary query record.
manual_label_verification_needed,吉他霉素,https://www.moa.gov.cn/nybgb/2003/snqi/201711/t20171126_5919564.htm,RULE-046 still needs product-level label verification.,Manually pull the official product label or official veterinary query record.
manual_label_verification_needed,四环素,https://www.moa.gov.cn/nybgb/2003/snqi/201711/t20171126_5919564.htm,RULE-043 still needs product-level label verification.,Manually pull the official product label or official veterinary query record.
manual_label_verification_needed,土霉素,https://www.moa.gov.cn/nybgb/2003/snqi/201711/t20171126_5919564.htm,RULE-041 still needs product-level label verification.,Manually pull the official product label or official veterinary query record.
manual_label_verification_needed,复方氨苄西林,https://www.moa.gov.cn/nybgb/2003/snqi/201711/t20171126_5919564.htm,RULE-023 still needs product-level label verification.,Manually pull the official product label or official veterinary query record.
manual_label_verification_needed,复方磺胺氯哒嗪钠,https://www.moa.gov.cn/nybgb/2003/snqi/201711/t20171126_5919564.htm,RULE-071 still needs product-level label verification.,Manually pull the official product label or official veterinary query record.
manual_label_verification_needed,左旋咪唑,https://www.moa.gov.cn/nybgb/2003/snqi/201711/t20171126_5919564.htm,RULE-075 still needs product-level label verification.,Manually pull the official product label or official veterinary query record.
manual_label_verification_needed,恩诺沙星,https://www.moa.gov.cn/nybgb/2003/snqi/201711/t20171126_5919564.htm,RULE-025 still needs product-level label verification.,Manually pull the official product label or official veterinary query record.
manual_label_verification_needed,枸橼酸哌嗪,https://www.moa.gov.cn/nybgb/2003/snqi/201711/t20171126_5919564.htm,RULE-076 still needs product-level label verification.,Manually pull the official product label or official veterinary query record.
manual_label_verification_needed,氟苯尼考,https://jgs.moa.gov.cn/gzdt/jgjdt/202312/t20231214_6442796.htm,RULE-002 still needs product-level label verification.,Manually pull the official product label or official veterinary query record.
manual_label_verification_needed,氨丙啉复方,https://www.moa.gov.cn/nybgb/2003/snqi/201711/t20171126_5919564.htm,RULE-067 still needs product-level label verification.,Manually pull the official product label or official veterinary query record.
manual_label_verification_needed,氯羟吡啶,https://www.moa.gov.cn/nybgb/2003/snqi/201711/t20171126_5919564.htm,RULE-063 still needs product-level label verification.,Manually pull the official product label or official veterinary query record.
manual_label_verification_needed,沙拉沙星,https://www.moa.gov.cn/nybgb/2003/snqi/201711/t20171126_5919564.htm,RULE-052 still needs product-level label verification.,Manually pull the official product label or official veterinary query record.
manual_label_verification_needed,海南霉素钠,https://www.moa.gov.cn/nybgb/2003/snqi/201711/t20171126_5919564.htm,RULE-037 still needs product-level label verification.,Manually pull the official product label or official veterinary query record.
manual_label_verification_needed,环丙氨嗪,https://www.moa.gov.cn/nybgb/2003/snqi/201711/t20171126_5919564.htm,RULE-077 still needs product-level label verification.,Manually pull the official product label or official veterinary query record.
manual_label_verification_needed,环丙沙星,https://www.moa.gov.cn/nybgb/2003/snqi/201711/t20171126_5919564.htm,RULE-050 still needs product-level label verification.,Manually pull the official product label or official veterinary query record.
manual_label_verification_needed,甲砜霉素,https://www.moa.gov.cn/nybgb/2003/snqi/201711/t20171126_5919564.htm,RULE-045 still needs product-level label verification.,Manually pull the official product label or official veterinary query record.
manual_label_verification_needed,盐酸多西环素,https://www.ema.europa.eu/en/medicines/veterinary/referrals/doxycycline-50-wsp,RULE-004 still needs product-level label verification.,Manually pull the official product label or official veterinary query record.
manual_label_verification_needed,盐酸大观霉素,https://www.moa.gov.cn/nybgb/2003/snqi/201711/t20171126_5919564.htm,RULE-027 still needs product-level label verification.,Manually pull the official product label or official veterinary query record.
manual_label_verification_needed,盐酸氯苯胍,https://www.moa.gov.cn/nybgb/2003/snqi/201711/t20171126_5919564.htm,RULE-065 still needs product-level label verification.,Manually pull the official product label or official veterinary query record.
manual_label_verification_needed,盐霉素钠,https://www.moa.gov.cn/nybgb/2003/snqi/201711/t20171126_5919564.htm,RULE-061 still needs product-level label verification.,Manually pull the official product label or official veterinary query record.
manual_label_verification_needed,硫氰酸红霉素,https://www.moa.gov.cn/nybgb/2003/snqi/201711/t20171126_5919564.htm,RULE-059 still needs product-level label verification.,Manually pull the official product label or official veterinary query record.
manual_label_verification_needed,硫酸安普霉素,https://www.moa.gov.cn/nybgb/2003/snqi/201711/t20171126_5919564.htm,RULE-039 still needs product-level label verification.,Manually pull the official product label or official veterinary query record.
manual_label_verification_needed,硫酸新霉素,https://www.moa.gov.cn/nybgb/2003/snqi/201711/t20171126_5919564.htm,RULE-055 still needs product-level label verification.,Manually pull the official product label or official veterinary query record.
manual_label_verification_needed,硫酸粘菌素,https://www.moa.gov.cn/nybgb/2003/snqi/201711/t20171126_5919564.htm,RULE-057 still needs product-level label verification.,Manually pull the official product label or official veterinary query record.
manual_label_verification_needed,磺胺二甲嘧啶,https://www.moa.gov.cn/nybgb/2003/snqi/201711/t20171126_5919564.htm,RULE-073 still needs product-level label verification.,Manually pull the official product label or official veterinary query record.
manual_label_verification_needed,磺胺喹噁啉钠,https://www.moa.gov.cn/nybgb/2003/snqi/201711/t20171126_5919564.htm,RULE-069 still needs product-level label verification.,Manually pull the official product label or official veterinary query record.
manual_label_verification_needed,磺胺氯吡嗪钠,https://www.moa.gov.cn/nybgb/2003/snqi/201711/t20171126_5919564.htm,RULE-029 still needs product-level label verification.,Manually pull the official product label or official veterinary query record.
manual_label_verification_needed,达氟沙星,https://www.moa.gov.cn/nybgb/2003/snqi/201711/t20171126_5919564.htm,RULE-048 still needs product-level label verification.,Manually pull the official product label or official veterinary query record.
