canonical_id,canonical_name,alias,language,alias_type,page_relpath
DIS-001,猪腺病毒感染,猪腺病毒感染,zh,canonical,wiki/diseases/DIS-001-adenoviruses.md
DIS-001,猪腺病毒感染,adenoviruses,en,synonym,wiki/diseases/DIS-001-adenoviruses.md
DIS-002,非洲猪瘟,非洲猪瘟,zh,canonical,wiki/diseases/DIS-002-african-swine-fever-virus.md
DIS-002,非洲猪瘟,african swine fever virus,en,synonym,wiki/diseases/DIS-002-african-swine-fever-virus.md
DIS-002,非洲猪瘟,ASF,en,synonym,wiki/diseases/DIS-002-african-swine-fever-virus.md
DIS-002,非洲猪瘟,African swine fever,en,synonym,wiki/diseases/DIS-002-african-swine-fever-virus.md
DIS-002,非洲猪瘟,African swine fever virus,en,synonym,wiki/diseases/DIS-002-african-swine-fever-virus.md
DIS-003,猪环曲病毒/托克特诺病毒感染,猪环曲病毒/托克特诺病毒感染,zh,canonical,wiki/diseases/DIS-003-anelloviruses-torque-teno-sus-viruses.md
DIS-003,猪环曲病毒/托克特诺病毒感染,anelloviruses torque teno sus viruses,en,synonym,wiki/diseases/DIS-003-anelloviruses-torque-teno-sus-viruses.md
DIS-003,猪环曲病毒/托克特诺病毒感染,猪环曲病毒,zh,synonym,wiki/diseases/DIS-003-anelloviruses-torque-teno-sus-viruses.md
DIS-003,猪环曲病毒/托克特诺病毒感染,托克特诺病毒,zh,synonym,wiki/diseases/DIS-003-anelloviruses-torque-teno-sus-viruses.md
DIS-003,猪环曲病毒/托克特诺病毒感染,TTSuV,en,synonym,wiki/diseases/DIS-003-anelloviruses-torque-teno-sus-viruses.md
DIS-003,猪环曲病毒/托克特诺病毒感染,Torque teno sus virus,en,synonym,wiki/diseases/DIS-003-anelloviruses-torque-teno-sus-viruses.md
DIS-003,猪环曲病毒/托克特诺病毒感染,anellovirus,en,synonym,wiki/diseases/DIS-003-anelloviruses-torque-teno-sus-viruses.md
DIS-004,猪星状病毒感染,猪星状病毒感染,zh,canonical,wiki/diseases/DIS-004-astroviruses.md
DIS-004,猪星状病毒感染,astroviruses,en,synonym,wiki/diseases/DIS-004-astroviruses.md
