disease_id,disease_name,category,official_china_status,coverage_target,china_standard_required,clinical_page_required,regulatory_anchor_required,evidence_coverage,primary_source_id,page_relpath,standard_count
DIS-001,猪腺病毒感染,病毒病,未在本轮目录级处理中确认,extended,review,yes,review,partial,SRC-0030,wiki/diseases/DIS-001-adenoviruses.md,0
DIS-002,非洲猪瘟,病毒病,待中国官方来源复核,core,yes,yes,yes,complete,SRC-0008,wiki/diseases/DIS-002-african-swine-fever-virus.md,0
DIS-003,猪环曲病毒/托克特诺病毒感染,病毒病,未在本轮目录级处理中确认,extended,review,yes,review,partial,SRC-0008,wiki/diseases/DIS-003-anelloviruses-torque-teno-sus-viruses.md,0
DIS-004,猪星状病毒感染,病毒病,未在本轮目录级处理中确认,extended,review,yes,review,complete,SRC-0008,wiki/diseases/DIS-004-astroviruses.md,0
DIS-005,猪布尼亚病毒相关感染,病毒病,未在本轮目录级处理中确认,extended,review,yes,review,partial,SRC-0008,wiki/diseases/DIS-005-bunyaviruses-akabane-lumbo-oya-tahyna.md,0
DIS-006,猪杯状病毒感染,病毒病,未在本轮目录级处理中确认,extended,review,yes,review,partial,SRC-0008,wiki/diseases/DIS-006-caliciviruses-norovirus-sapovirus-vesicular-exanthema-virus.md,0
DIS-007,猪圆环病毒相关疾病,病毒病,未在本轮目录级处理中确认,core,review,yes,review,complete,SRC-0035,wiki/diseases/DIS-007-circoviruses-pcvad.md,0
DIS-008,猪流行性腹泻,病毒病,未在本轮目录级处理中确认,core,review,yes,review,complete,SRC-0008,wiki/diseases/DIS-008-porcine-epidemic-diarrhea-virus.md,0
DIS-009,猪传染性胃肠炎,病毒病,未在本轮目录级处理中确认,core,review,yes,review,complete,SRC-0008,wiki/diseases/DIS-009-transmissible-gastroenteritis-virus.md,0
DIS-010,猪δ冠状病毒感染,病毒病,未在本轮目录级处理中确认,core,review,yes,review,partial,SRC-0037,wiki/diseases/DIS-010-porcine-deltacoronavirus.md,0
DIS-011,猪血凝性脑脊髓炎,病毒病,未在本轮目录级处理中确认,extended,review,yes,review,complete,SRC-0037,wiki/diseases/DIS-011-hemagglutinating-encephalomyelitis-virus.md,0
DIS-012,猪呼吸道冠状病毒感染,病毒病,未在本轮目录级处理中确认,extended,review,yes,review,partial,SRC-0036,wiki/diseases/DIS-012-porcine-respiratory-coronavirus.md,0
DIS-013,猪托罗病毒感染,病毒病,未在本轮目录级处理中确认,extended,review,yes,review,partial,SRC-0037,wiki/diseases/DIS-013-porcine-torovirus.md,0
