drug_id,title,status,page_relpath,id,path,sources,updated
,猪病诊疗与处方手册 drug mention index,,,HANDBOOK-DRUG-MENTION-INDEX,exports/handbook_prescription_drug_mention_index.csv,SRC-0087,2026-05-08T23:59:00+08:00
,猪场兽药使用与猪病防治技术（1-200页）drug mention index,,,SFDUT-1-200-DRUG-MENTION-INDEX,exports/swine_farm_drug_use_1_200_drug_mention_index.csv,SRC-0089,2026-05-08T23:59:00+08:00
,猪场兽药使用与猪病防治技术（200-363页） drug mention index,,,SFDUT-200-363-DRUG-MENTION-INDEX,exports/swine_farm_drug_use_200_363_drug_mention_index.csv,SRC-0090,2026-05-08T23:59:00+08:00
,Veterinary Treatment of Pigs appendix medicine product index,,,VTOP-MEDICINE-INDEX,exports/veterinary_treatment_of_pigs_medicine_index.csv,SRC-0088,2026-05-08T23:59:00+08:00
DRUG-001-avermectins,Avermectins / 阿维菌素类,source_anchored_drug_evidence_page,wiki/drugs/DRUG-001-avermectins.md,,,SRC-0080;SRC-0082;SRC-0087;SRC-0089;SRC-0090,2026-05-08T23:59:00+08:00
DRUG-002-ivermectin,Ivermectin / 伊维菌素,source_anchored_drug_evidence_page,wiki/drugs/DRUG-002-ivermectin.md,,,A0-MOA-LABEL-INSTRUCTION-RULES-2002;RC-DRUG-001;RC-WITHDRAWAL-MRL-001;SRC-0080;SRC-0082;SRC-0087;SRC-0088;SRC-0089;SRC-0090,2026-05-08T23:59:00+08:00
DRUG-003-doramectin,Doramectin / 多拉菌素,source_anchored_drug_evidence_page,wiki/drugs/DRUG-003-doramectin.md,,,SRC-0080;SRC-0082;SRC-0088;SRC-0089;SRC-0090,2026-05-08T23:59:00+08:00
DRUG-004-fenbendazole,Fenbendazole / 芬苯达唑,source_anchored_drug_evidence_page,wiki/drugs/DRUG-004-fenbendazole.md,,,SRC-0082;SRC-0088;SRC-0090,2026-05-08T23:59:00+08:00
DRUG-005-benzimidazoles,Benzimidazoles / 苯并咪唑类,source_anchored_drug_evidence_page,wiki/drugs/DRUG-005-benzimidazoles.md,,,SRC-0082;SRC-0088;SRC-0092,2026-05-08T23:59:00+08:00
DRUG-006-anticoccidials,Anticoccidials / 抗球虫药,source_anchored_drug_evidence_page,wiki/drugs/DRUG-006-anticoccidials.md,,,SRC-0081;SRC-0091;SRC-0092,2026-05-08T23:59:00+08:00
DRUG-007-antimicrobials,Antimicrobials / 抗菌药,source_anchored_drug_evidence_page,wiki/drugs/DRUG-007-antimicrobials.md,,,A0-MOA-BANNED-DRUG-250-POLICY;RULE-HANDBOOK-PRESCRIPTION-001;SRC-0057;SRC-0087;SRC-0092,2026-05-08T23:59:00+08:00
DRUG-008-food-animal-banned-drug-list,食品动物禁用药清单,regulatory_boundary_page,wiki/drugs/DRUG-008-food-animal-banned-drug-list.md,,,A0-MOA-BANNED-DRUG-250-POLICY,2026-05-08T23:59:00+08:00
DRUG-009-penicillin-g,Penicillin G / 青霉素G,source_anchored_drug_evidence_page,wiki/drugs/DRUG-009-penicillin-g.md,,,A0-MOA-BANNED-DRUG-250-NOTICE;SRC-0012;SRC-0062;SRC-0065;SRC-0075;SRC-0087;SRC-0089;SRC-0090;SRC-0092,2026-05-08T23:59:00+08:00
DRUG-010-amoxicillin,Amoxicillin / 阿莫西林,source_anchored_drug_evidence_page,wiki/drugs/DRUG-010-amoxicillin.md,,,A0-MOA-AMOXICILLIN-INJECTION-332-2020;A0-MOA-BANNED-DRUG-250-NOTICE;A0-MOA-LABEL-INSTRUCTION-RULES-2002;A0-MOA-PRESCRIPTION-2471-2016;A0-MOA-WITHDRAWAL-278;RC-DRUG-001;RC-WITHDRAWAL-MRL-001;SRC-0012;SRC-0062;SRC-0063;SRC-0075;SRC-0088;SRC-0089;SRC-0090,2026-05-08T23:59:00+08:00
DRUG-011-ceftiofur,Ceftiofur / 头孢噻呋,source_anchored_drug_evidence_page,wiki/drugs/DRUG-011-ceftiofur.md,,,A0-MOA-BANNED-DRUG-250-NOTICE;A0-MOA-CEFTIOFUR-SODIUM-INJECTION-2024;A0-MOA-LABEL-INSTRUCTION-RULES-2002;RC-DRUG-001;RC-WITHDRAWAL-MRL-001;SRC-0012;SRC-0059;SRC-0063;SRC-0070;SRC-0074;SRC-0075;SRC-0088;SRC-0089;SRC-0090,2026-05-08T23:59:00+08:00
DRUG-012-florfenicol,Florfenicol / 氟苯尼考,source_anchored_drug_evidence_page,wiki/drugs/DRUG-012-florfenicol.md,,,A0-MOA-ANNOUNCEMENT-1738-VET-DRUG-CANCELLATION-2012;A0-MOA-ANNOUNCEMENT-995-FLORFENICOL-2026;A0-MOA-BANNED-DRUG-250-NOTICE;A0-MOA-FLORFENICOL-INJECTION-219-2019;A0-MOA-LABEL-INSTRUCTION-RULES-2002;A0-MOA-VET-DRUG-SUPERVISION-2026;RC-DRUG-001;RC-WITHDRAWAL-MRL-001;SRC-0012;SRC-0069;SRC-0073;SRC-0075;SRC-0087;SRC-0088;SRC-0089;SRC-0090,2026-05-08T23:59:00+08:00
DRUG-013-tiamulin,Tiamulin / 泰妙菌素,source_anchored_drug_evidence_page,wiki/drugs/DRUG-013-tiamulin.md,,,A0-MOA-BANNED-DRUG-250-NOTICE;A0-MOA-LABEL-INSTRUCTION-RULES-2002;RC-DRUG-001;RC-WITHDRAWAL-MRL-001;SRC-0012;SRC-0069;SRC-0071;SRC-0077;SRC-0087;SRC-0088;SRC-0089;SRC-0090,2026-05-08T23:59:00+08:00
DRUG-014-lincomycin,Lincomycin / 林可霉素,source_anchored_drug_evidence_page,wiki/drugs/DRUG-014-lincomycin.md,,,A0-MOA-BANNED-DRUG-250-NOTICE;SRC-0012;SRC-0069;SRC-0074;SRC-0075;SRC-0077;SRC-0087;SRC-0088;SRC-0089;SRC-0090,2026-05-08T23:59:00+08:00
DRUG-015-tylosin,Tylosin / 泰乐菌素,source_anchored_drug_evidence_page,wiki/drugs/DRUG-015-tylosin.md,,,A0-MOA-BANNED-DRUG-250-NOTICE;A0-MOA-LABEL-INSTRUCTION-RULES-2002;RC-DRUG-001;RC-WITHDRAWAL-MRL-001;SRC-0012;SRC-0059;SRC-0069;SRC-0071;SRC-0077;SRC-0088;SRC-0089;SRC-0090,2026-05-08T23:59:00+08:00
DRUG-016-tylvalosin,Tylvalosin / 泰万菌素,source_anchored_drug_evidence_page,wiki/drugs/DRUG-016-tylvalosin.md,,,A0-MOA-BANNED-DRUG-250-NOTICE;SRC-0012;SRC-0071;SRC-0077;SRC-0091,2026-05-08T23:59:00+08:00
DRUG-017-tulathromycin,Tulathromycin / 泰拉霉素,partial_drug_evidence_page,wiki/drugs/DRUG-017-tulathromycin.md,,,A0-MOA-BANNED-DRUG-250-NOTICE;SRC-0012;SRC-0059;SRC-0070;SRC-0088,2026-05-08T23:59:00+08:00
DRUG-018-enrofloxacin,Enrofloxacin / 恩诺沙星,source_anchored_drug_evidence_page,wiki/drugs/DRUG-018-enrofloxacin.md,,,A0-MOA-ANNOUNCEMENT-1011-ENROFLOXACIN-2026;A0-MOA-ANNOUNCEMENT-1738-VET-DRUG-CANCELLATION-2012;A0-MOA-ANNOUNCEMENT-55-ENROFLOXACIN-2018;A0-MOA-BANNED-DRUG-250-NOTICE;A0-MOA-ENROFLOXACIN-SOLUTION-55-2018;A0-MOA-LABEL-INSTRUCTION-RULES-2002;A0-MOA-VET-DRUG-SUPERVISION-2026;RC-DRUG-001;RC-WITHDRAWAL-MRL-001;RULE-HANDBOOK-PRESCRIPTION-001;SRC-0012;SRC-0059;SRC-0063;SRC-0070;SRC-0075;SRC-0087;SRC-0088;SRC-0089;SRC-0090,2026-05-08T23:59:00+08:00
DRUG-019-oxytetracycline,Oxytetracycline / 土霉素,source_anchored_drug_evidence_page,wiki/drugs/DRUG-019-oxytetracycline.md,,,A0-MOA-LABEL-INSTRUCTION-RULES-2002;A0-MOA-WITHDRAWAL-278;RC-DRUG-001;RC-WITHDRAWAL-MRL-001;SRC-0012;SRC-0062;SRC-0065;SRC-0067;SRC-0069;SRC-0070;SRC-0075;SRC-0087;SRC-0088;SRC-0089;SRC-0090,2026-05-08T23:59:00+08:00
DRUG-020-chlortetracycline,Chlortetracycline / 金霉素,source_anchored_drug_evidence_page,wiki/drugs/DRUG-020-chlortetracycline.md,,,A0-MOA-BANNED-DRUG-250-NOTICE;SRC-0012;SRC-0069;SRC-0071;SRC-0077;SRC-0087;SRC-0088;SRC-0089;SRC-0090,2026-05-08T23:59:00+08:00
DRUG-021-doxycycline,Doxycycline / 多西环素,source_anchored_drug_evidence_page,wiki/drugs/DRUG-021-doxycycline.md,,,A0-MOA-BANNED-DRUG-250-NOTICE;A0-MOA-LABEL-INSTRUCTION-RULES-2002;RC-DRUG-001;RC-WITHDRAWAL-MRL-001;SRC-0012;SRC-0067;SRC-0069;SRC-0070;SRC-0087;SRC-0088;SRC-0089;SRC-0090,2026-05-08T23:59:00+08:00
DRUG-022-sulfonamide-trimethoprim,Sulfonamide-trimethoprim combinations / 磺胺-甲氧苄啶类组合,source_anchored_drug_evidence_page,wiki/drugs/DRUG-022-sulfonamide-trimethoprim.md,,,A0-MOA-BANNED-DRUG-250-NOTICE;SRC-0012;SRC-0059;SRC-0063;SRC-0070;SRC-0074;SRC-0075;SRC-0088;SRC-0089;SRC-0090,2026-05-08T23:59:00+08:00
DRUG-023-gentamicin,Gentamicin / 庆大霉素,source_anchored_drug_evidence_page,wiki/drugs/DRUG-023-gentamicin.md,,,A0-MOA-BANNED-DRUG-250-NOTICE;SRC-0012;SRC-0063;SRC-0075;SRC-0076;SRC-0087;SRC-0089;SRC-0090,2026-05-08T23:59:00+08:00
DRUG-024-neomycin,Neomycin / 新霉素,source_anchored_drug_evidence_page,wiki/drugs/DRUG-024-neomycin.md,,,A0-MOA-BANNED-DRUG-250-NOTICE;SRC-0012;SRC-0063;SRC-0082;SRC-0088;SRC-0089;SRC-0090,2026-05-08T23:59:00+08:00
DRUG-025-apramycin,Apramycin / 安普霉素,source_anchored_drug_evidence_page,wiki/drugs/DRUG-025-apramycin.md,,,A0-MOA-BANNED-DRUG-250-NOTICE;SRC-0012;SRC-0063;SRC-0091,2026-05-08T23:59:00+08:00
