drug_mention,fact_id,source_id,page,disease_or_topic,prescription_no,line_start,line_end
磺胺,HANDBOOK-RX-0007,SRC-0087,14,流行性乙型脑炎,1,676,704
安乃近,HANDBOOK-RX-0007,SRC-0087,14,流行性乙型脑炎,1,676,704
葡萄糖,HANDBOOK-RX-0007,SRC-0087,14,流行性乙型脑炎,1,676,704
维生素,HANDBOOK-RX-0007,SRC-0087,14,流行性乙型脑炎,1,676,704
地塞米松,HANDBOOK-RX-0011,SRC-0087,16,轮状病毒病,1,751,777
葡萄糖,HANDBOOK-RX-0011,SRC-0087,16,轮状病毒病,1,751,777
葡萄糖,HANDBOOK-RX-0013,SRC-0087,17,猪传染性胃肠炎,2,833,843
维生素,HANDBOOK-RX-0013,SRC-0087,17,猪传染性胃肠炎,2,833,843
葡萄糖,HANDBOOK-RX-0014,SRC-0087,17,猪传染性胃肠炎,3,845,849
磺胺,HANDBOOK-RX-0018,SRC-0087,20,猪繁殖与呼吸综合征,2,901,917
维生素,HANDBOOK-RX-0018,SRC-0087,20,猪繁殖与呼吸综合征,2,901,917
卡那霉素,HANDBOOK-RX-0019,SRC-0087,22,猪流行性腹泻,1,970,984
磺胺,HANDBOOK-RX-0019,SRC-0087,22,猪流行性腹泻,1,970,984
葡萄糖,HANDBOOK-RX-0019,SRC-0087,22,猪流行性腹泻,1,970,984
土霉素,HANDBOOK-RX-0022,SRC-0087,27,猪圆环病毒2型感染,1,1092,1100
强力霉素,HANDBOOK-RX-0022,SRC-0087,27,猪圆环病毒2型感染,1,1092,1100
泰妙菌素,HANDBOOK-RX-0022,SRC-0087,27,猪圆环病毒2型感染,1,1092,1100
恩诺沙星,HANDBOOK-RX-0023,SRC-0087,29,仔猪黄痢,1,1128,1148
土霉素,HANDBOOK-RX-0023,SRC-0087,29,仔猪黄痢,1,1128,1148
卡那霉素,HANDBOOK-RX-0023,SRC-0087,29,仔猪黄痢,1,1128,1148
磺胺,HANDBOOK-RX-0023,SRC-0087,29,仔猪黄痢,1,1128,1148
葡萄糖,HANDBOOK-RX-0023,SRC-0087,29,仔猪黄痢,1,1128,1148
维生素,HANDBOOK-RX-0030,SRC-0087,29,仔猪白痢,1,1198,1208
土霉素,HANDBOOK-RX-0031,SRC-0087,29,仔猪白痢,2,1210,1230
金霉素,HANDBOOK-RX-0031,SRC-0087,29,仔猪白痢,2,1210,1230
磺胺,HANDBOOK-RX-0031,SRC-0087,29,仔猪白痢,2,1210,1230
卡那霉素,HANDBOOK-RX-0033,SRC-0087,29,猪水肿病,1,1276,1322
链霉素,HANDBOOK-RX-0033,SRC-0087,29,猪水肿病,1,1276,1322
地塞米松,HANDBOOK-RX-0033,SRC-0087,29,猪水肿病,1,1276,1322
葡萄糖,HANDBOOK-RX-0033,SRC-0087,29,猪水肿病,1,1276,1322
维生素,HANDBOOK-RX-0033,SRC-0087,29,猪水肿病,1,1276,1322
庆大霉素,HANDBOOK-RX-0034,SRC-0087,29,猪水肿病,2,1324,1360
磺胺,HANDBOOK-RX-0034,SRC-0087,29,猪水肿病,2,1324,1360
葡萄糖,HANDBOOK-RX-0034,SRC-0087,29,猪水肿病,2,1324,1360
维生素,HANDBOOK-RX-0034,SRC-0087,29,猪水肿病,2,1324,1360
青霉素,HANDBOOK-RX-0036,SRC-0087,34,副猪嗜血杆菌病或猪多发性浆膜炎与关节炎,1,1406,1416
