fact_id,source_id,page,page_status,line_start,line_end,chapter,section,disease,disease_or_topic,prescription_no,prescription_title,items,usage,notes
HANDBOOK-RX-0001,SRC-0087,10,TOC_MAPPED,520,532,第二章 猪传染病用药与处方,第一节 常见病毒性传染病,猪瘟,猪瘟,1,,抗猪瘟血清；25毫升；庆大小诺霉素注射液；16万～32万单位,用法：一次肌内或静脉注射，每日1次，连用 $2\sim 3$ 次。,说明：在猪尚未出现腹泻时应用本方可获得一定疗效。
HANDBOOK-RX-0002,SRC-0087,10,TOC_MAPPED,534,540,第二章 猪传染病用药与处方,第一节 常见病毒性传染病,猪瘟,猪瘟,2,预防,猪瘟兔化弱毒疫苗；2头份,用法：非猪瘟流行区，仔猪 $60\sim 70$ 日龄时接种1次；猪瘟流行区，21日龄第1次接种，65日龄再接种1次，种猪群以后每年加强免疫1次。发病猪群中假定健康猪及其他受威胁的猪只，可用此苗作紧急预防接种。,
HANDBOOK-RX-0003,SRC-0087,10,TOC_MAPPED,542,566,第二章 猪传染病用药与处方,第一节 常见病毒性传染病,猪瘟,猪瘟,3,白虎汤加减,生石膏40克（先煎）；知母20克；生山栀10克；板蓝根20克；玄参20克；金银花10克；大黄30克（后下）；炒枳壳20克；鲜竹叶30克；生甘草10克,用法：水煎去渣，候温灌服，每天1剂，连服 $2\sim 3$ 剂。,说明：配合西药治疗。
HANDBOOK-RX-0004,SRC-0087,11,TOC_MAPPED,618,630,第二章 猪传染病用药与处方,第一节 常见病毒性传染病,口蹄疫,口蹄疫,1,,$①$ 抗口蹄疫血清 25毫升；$②$ $0.1\%$ 高锰酸钾溶液 适量；碘酊甘油（碘7克、碘化钾5克、酒精100毫升，溶解后加入甘油10毫升） 适量；碘甘油或 $1\% \sim 2\%$ 龙胆紫液 适量,用法：一次肌内或静脉注射，按每千克体重0.5毫升用药。；用法：先以 $0.1\%$ 高锰酸钾溶液冲洗患部，再涂以碘酊甘油或龙胆紫溶液。,
HANDBOOK-RX-0005,SRC-0087,11,TOC_MAPPED,632,636,第二章 猪传染病用药与处方,第一节 常见病毒性传染病,口蹄疫,口蹄疫,2,冰硼散加减,冰片15克 硼砂150克 芒硝18克,用法：患部以消毒水洗净后，研末撒布。,
HANDBOOK-RX-0006,SRC-0087,11,TOC_MAPPED,638,646,第二章 猪传染病用药与处方,第一节 常见病毒性传染病,口蹄疫,口蹄疫,3,贯众散,贯众15克 桔梗12克 山豆根15克 连翘12克；大黄12克 赤芍9克 生地9克 花粉9克；荆芥9克 木通9克 甘草9克 绿豆粉30克,用法：共研末加蜂蜜100克为引，开水冲服，每日1剂，连用 $2\sim 3$ 剂。,
HANDBOOK-RX-0007,SRC-0087,14,TOC_MAPPED,676,704,第二章 猪传染病用药与处方,第一节 常见病毒性传染病,流行性乙型脑炎,流行性乙型脑炎,1,,$①$ 康复猪血清 40毫升；② $10\%$ 磺胺嘧啶钠注射液 $20 \sim 30$ 毫升；$25\%$ 葡萄糖注射液 $40\sim 60$ 毫升；$③$ $10\%$ 水合氯醛 20毫升；$④$ 肌内注射板蓝根注射液 $20\sim 40$ 毫升；⑤ $20\%$ 磺胺嘧啶钠注射液 $10 \sim 20$ 毫升；$10\%$ 葡萄糖注射液 100毫升；$10\%$ 维生素C 5毫升；2.5%维生素 $\mathbf{B}_{1}$ 25毫克,用法：一次肌内注射。；用法：一次静脉注射。；用法：一次静脉注射。注意不要漏出血管外。；用法：每日1次肌内注射，连用3天。；用法：混合1次静脉注射，每日1次，连用3天。持续高温时可配合肌内注射 $30\%$ 安乃近 $10\sim 20$ 毫升，每日2次，镇静止痛可肌内注射氯丙嗪注射液， $1\sim 3$ 毫克/千克体重。,
HANDBOOK-RX-0008,SRC-0087,14,TOC_MAPPED,706,712,第二章 猪传染病用药与处方,第一节 常见病毒性传染病,流行性乙型脑炎,5%维生素$\mathbf{B}_{1}$25毫克,2,,生石膏120克 板蓝根120克 大青叶60克 生地30克；连翘30克 紫草30克 黄芩20克,用法：水煎，一次灌服，每日1剂，连用3剂以上。,
HANDBOOK-RX-0009,SRC-0087,14,TOC_MAPPED,714,720,第二章 猪传染病用药与处方,第一节 常见病毒性传染病,流行性乙型脑炎,5%维生素$\mathbf{B}_{1}$25毫克,3,,生石膏80克 大黄10克 元明粉20克 板蓝根20克；生地20克 连翘20克,用法：共研细末，开水冲服，日服2次，每日1剂，连用 $1\sim 2$ 天。,
HANDBOOK-RX-0010,SRC-0087,14,TOC_MAPPED,722,728,第二章 猪传染病用药与处方,第一节 常见病毒性传染病,流行性乙型脑炎,5%维生素$\mathbf{B}_{1}$25毫克,4,针灸,穴位：天门、脑俞、大椎、太阳等，并配以涌泉、滴水。；针法：白针或血针。,,说明：防蚊灭蚊，根除传染媒介是预防该病的根本措施。夏季圈舍每周喷2次杀虫剂（如倍硫磷、敌敌畏、灭害灵等）可有效减少乙型脑炎的发生。
HANDBOOK-RX-0011,SRC-0087,16,TOC_MAPPED,751,777,第二章 猪传染病用药与处方,第一节 常见病毒性传染病,轮状病毒病,轮状病毒病,1,,① 硫酸庆大小诺霉素注射液；16万～32万单位；地塞米松注射液；$2\sim 4$ 毫克；② 葡萄糖 43.2 克；氯化钠9.2克；甘氨酸6.6克；柠檬酸0.52克；枸橼酸钾0.13克；无水磷酸钾4.35克；水2000毫升,用法：一次肌内注射或后海穴注射，每日1次，连用 $2\sim 3$ 天。；用法：混匀后供猪自由饮用。,
HANDBOOK-RX-0012,SRC-0087,17,TOC_MAPPED,821,831,第二章 猪传染病用药与处方,第一节 常见病毒性传染病,猪传染性胃肠炎,猪传染性胃肠炎,1,,$①$ $0.1\%$ 高锰酸钾溶液 200毫升；$②$ 痢菌净；1克,用法：1次喂服，按每千克体重4毫升用药。；用法：1次肌内注射，按每千克体重20毫克用药，每日2次；内服剂量加倍。,
