drug_mention,fact_id,source_id,page,line_start,line_end,drug_page,disease_page,chapter,heading
卡那霉素,SFDUT2-TX-0003,SRC-0090,192,41,41,,DIS-046-mycoplasmosis-enzootic-pneumonia.md,第八章 猪细菌性传染病,7. 治疗
土霉素,SFDUT2-TX-0003,SRC-0090,192,41,41,DRUG-019-oxytetracycline.md,DIS-046-mycoplasmosis-enzootic-pneumonia.md,第八章 猪细菌性传染病,7. 治疗
金霉素,SFDUT2-TX-0003,SRC-0090,192,41,41,DRUG-020-chlortetracycline.md,DIS-046-mycoplasmosis-enzootic-pneumonia.md,第八章 猪细菌性传染病,7. 治疗
四环素,SFDUT2-TX-0003,SRC-0090,192,41,41,DRUG-030-tetracyclines.md,DIS-046-mycoplasmosis-enzootic-pneumonia.md,第八章 猪细菌性传染病,7. 治疗
强力霉素,SFDUT2-TX-0003,SRC-0090,192,41,41,DRUG-021-doxycycline.md,DIS-046-mycoplasmosis-enzootic-pneumonia.md,第八章 猪细菌性传染病,7. 治疗
泰乐菌素,SFDUT2-TX-0003,SRC-0090,192,41,41,DRUG-015-tylosin.md,DIS-046-mycoplasmosis-enzootic-pneumonia.md,第八章 猪细菌性传染病,7. 治疗
替米考星,SFDUT2-TX-0003,SRC-0090,192,41,41,DRUG-045-tilmicosin.md,DIS-046-mycoplasmosis-enzootic-pneumonia.md,第八章 猪细菌性传染病,7. 治疗
林可霉素,SFDUT2-TX-0003,SRC-0090,192,41,41,DRUG-014-lincomycin.md,DIS-046-mycoplasmosis-enzootic-pneumonia.md,第八章 猪细菌性传染病,7. 治疗
泰妙菌素,SFDUT2-TX-0003,SRC-0090,192,41,41,DRUG-013-tiamulin.md,DIS-046-mycoplasmosis-enzootic-pneumonia.md,第八章 猪细菌性传染病,7. 治疗
恩诺沙星,SFDUT2-TX-0005,SRC-0090,192,45,45,DRUG-018-enrofloxacin.md,DIS-046-mycoplasmosis-enzootic-pneumonia.md,第八章 猪细菌性传染病,7. 治疗
林可霉素,SFDUT2-TX-0006,SRC-0090,192,46,46,DRUG-014-lincomycin.md,DIS-046-mycoplasmosis-enzootic-pneumonia.md,第八章 猪细菌性传染病,7. 治疗
泰妙菌素,SFDUT2-TX-0007,SRC-0090,192,47,47,DRUG-013-tiamulin.md,DIS-046-mycoplasmosis-enzootic-pneumonia.md,第八章 猪细菌性传染病,7. 治疗
泰乐菌素,SFDUT2-TX-0008,SRC-0090,192,48,48,DRUG-015-tylosin.md,DIS-046-mycoplasmosis-enzootic-pneumonia.md,第八章 猪细菌性传染病,7. 治疗
土霉素,SFDUT2-TX-0009,SRC-0090,192,49,49,DRUG-019-oxytetracycline.md,DIS-046-mycoplasmosis-enzootic-pneumonia.md,第八章 猪细菌性传染病,7. 治疗
卡那霉素,SFDUT2-TX-0010,SRC-0090,193,50,50,,DIS-046-mycoplasmosis-enzootic-pneumonia.md,第八章 猪细菌性传染病,7. 治疗
多西环素,SFDUT2-TX-0013,SRC-0090,193,60,60,DRUG-021-doxycycline.md,DIS-046-mycoplasmosis-enzootic-pneumonia.md,第八章 猪细菌性传染病,7. 治疗
泰妙菌素,SFDUT2-TX-0013,SRC-0090,193,60,60,DRUG-013-tiamulin.md,DIS-046-mycoplasmosis-enzootic-pneumonia.md,第八章 猪细菌性传染病,7. 治疗
金霉素,SFDUT2-TX-0014,SRC-0090,193,61,61,DRUG-020-chlortetracycline.md,DIS-046-mycoplasmosis-enzootic-pneumonia.md,第八章 猪细菌性传染病,7. 治疗
泰乐菌素,SFDUT2-TX-0014,SRC-0090,193,61,61,DRUG-015-tylosin.md,DIS-046-mycoplasmosis-enzootic-pneumonia.md,第八章 猪细菌性传染病,7. 治疗
替米考星,SFDUT2-TX-0015,SRC-0090,193,62,62,DRUG-045-tilmicosin.md,DIS-046-mycoplasmosis-enzootic-pneumonia.md,第八章 猪细菌性传染病,7. 治疗
泰乐菌素,SFDUT2-TX-0016,SRC-0090,194,63,63,DRUG-015-tylosin.md,DIS-046-mycoplasmosis-enzootic-pneumonia.md,第八章 猪细菌性传染病,7. 治疗
青霉素,SFDUT2-TX-0017,SRC-0090,194,65,65,DRUG-009-penicillin-g.md,DIS-046-mycoplasmosis-enzootic-pneumonia.md,第八章 猪细菌性传染病,7. 治疗
氨苄西林,SFDUT2-TX-0017,SRC-0090,194,65,65,DRUG-042-ampicillin.md,DIS-046-mycoplasmosis-enzootic-pneumonia.md,第八章 猪细菌性传染病,7. 治疗
阿莫西林,SFDUT2-TX-0017,SRC-0090,194,65,65,DRUG-010-amoxicillin.md,DIS-046-mycoplasmosis-enzootic-pneumonia.md,第八章 猪细菌性传染病,7. 治疗
链霉素,SFDUT2-TX-0017,SRC-0090,194,65,65,,DIS-046-mycoplasmosis-enzootic-pneumonia.md,第八章 猪细菌性传染病,7. 治疗
红霉素,SFDUT2-TX-0017,SRC-0090,194,65,65,DRUG-073-erythromycin.md,DIS-046-mycoplasmosis-enzootic-pneumonia.md,第八章 猪细菌性传染病,7. 治疗
黏菌素,SFDUT2-TX-0017,SRC-0090,194,65,65,DRUG-052-colistin.md,DIS-046-mycoplasmosis-enzootic-pneumonia.md,第八章 猪细菌性传染病,7. 治疗
多黏菌素,SFDUT2-TX-0017,SRC-0090,194,65,65,DRUG-052-colistin.md,DIS-046-mycoplasmosis-enzootic-pneumonia.md,第八章 猪细菌性传染病,7. 治疗
磺胺,SFDUT2-TX-0017,SRC-0090,194,65,65,DRUG-034-sulfonamides.md,DIS-046-mycoplasmosis-enzootic-pneumonia.md,第八章 猪细菌性传染病,7. 治疗
土霉素,SFDUT2-TX-0031,SRC-0090,195,95,95,DRUG-019-oxytetracycline.md,DIS-046-mycoplasmosis-enzootic-pneumonia.md,第八章 猪细菌性传染病,9. 种猪场猪气喘病预防与净化
泰乐菌素,SFDUT2-TX-0031,SRC-0090,195,95,95,DRUG-015-tylosin.md,DIS-046-mycoplasmosis-enzootic-pneumonia.md,第八章 猪细菌性传染病,9. 种猪场猪气喘病预防与净化
泰妙菌素,SFDUT2-TX-0031,SRC-0090,195,95,95,DRUG-013-tiamulin.md,DIS-046-mycoplasmosis-enzootic-pneumonia.md,第八章 猪细菌性传染病,9. 种猪场猪气喘病预防与净化
氨苄西林,SFDUT2-TX-0036,SRC-0090,199,137,137,DRUG-042-ampicillin.md,DIS-044-gl-sser-s-disease.md,第八章 猪细菌性传染病,3. 临床症状
阿莫西林,SFDUT2-TX-0036,SRC-0090,199,137,137,DRUG-010-amoxicillin.md,DIS-044-gl-sser-s-disease.md,第八章 猪细菌性传染病,3. 临床症状
磺胺,SFDUT2-TX-0036,SRC-0090,199,137,137,DRUG-034-sulfonamides.md,DIS-044-gl-sser-s-disease.md,第八章 猪细菌性传染病,3. 临床症状
葡萄糖,SFDUT2-TX-0042,SRC-0090,201,168,168,,DIS-044-gl-sser-s-disease.md,第八章 猪细菌性传染病,6. 治疗
