fact_id,source_id,fact_type,page,page_method,line_start,line_end,chapter,section,heading,drug_heading,disease_heading,disease_page,drug_mentions,text
SFDUT2-TX-0001,SRC-0090,vaccination_or_immunization,189,TOC_INTERPOLATED,3,3,第八章 猪细菌性传染病,第二节 猪支原体肺炎,猪支原体肺炎,,猪支原体肺炎,DIS-046-mycoplasmosis-enzootic-pneumonia.md,,猪肺炎支原体可以改变表面抗原而造成免疫逃逸，导致免疫力减弱。还诱导免疫反应和疾病相关炎症反应，其产生的致炎因子加剧了肺脏的炎症反应，更易引起肺组织的损伤和疾病的发展。使肺巨噬细胞的吞噬功能降低，造成严重的免疫抑制作用。在急性期这种感染属于免疫抑制。免疫反应参与病变的发展进程，感染后17周的病肺组织中仍会有大量有活性的支原体，足以使易感猪发生肺炎。
SFDUT2-TX-0002,SRC-0090,treatment_or_prevention,191,TOC_INTERPOLATED,31,31,第八章 猪细菌性传染病,第二节 猪支原体肺炎,6. 诊断,,猪支原体肺炎,DIS-046-mycoplasmosis-enzootic-pneumonia.md,,猪肺疫：多表现为急性传染病的特征，急性病例呈败血症和纤维素性胸膜炎症状，全身症状较重，突然发病，体温升高到 $41^{\circ} \mathrm{C}$ 以上，食欲废绝，呼吸困难，哮喘、张口露舌、口鼻流出泡沫或清液，颈部咽喉区高度红肿，病程较短，如不及时治疗很快就死亡。散发型多表现体温升高到 $40 \sim 41^{\circ} \mathrm{C}$ ，呼吸困难，间有咳嗽，后期鼻孔流出黏稠的渗出物，可拖至 $1 \sim 2$ 周才死。如果转为慢性，高度消瘦，病程可达 $3 \sim 5$ 周以上。剖检时见败血症和纤维素性胸膜肺炎变化，出现不同程度的肝变区，可见大小不一的化脓灶或坏死灶，病原是巴氏杆菌。而气喘病的体温和食欲无大变化，肺有肝变区，但无败血症和胸膜炎的变化。
SFDUT2-TX-0003,SRC-0090,treatment_or_prevention,192,TOC_INTERPOLATED,41,41,第八章 猪细菌性传染病,第二节 猪支原体肺炎,7. 治疗,,猪支原体肺炎,DIS-046-mycoplasmosis-enzootic-pneumonia.md,卡那霉素; 土霉素; 金霉素; 四环素; 强力霉素; 泰乐菌素; 替米考星; 林可霉素; 泰妙菌素,多种喹诺酮类药、抗生素类药如林可霉素、泰妙菌素、泰乐菌素、替米考星、乙酰异戊酰泰乐菌素、四环素、土霉素、强力霉素、金霉素、卡那霉素等对猪支原体肺炎均有较好的治疗作用。
SFDUT2-TX-0004,SRC-0090,treatment_or_prevention,192,TOC_INTERPOLATED,43,43,第八章 猪细菌性传染病,第二节 猪支原体肺炎,7. 治疗,,猪支原体肺炎,DIS-046-mycoplasmosis-enzootic-pneumonia.md,,（1）个体注射治疗 肌内注射，以体重计一次量。
SFDUT2-TX-0005,SRC-0090,dose_route_course,192,TOC_INTERPOLATED,45,45,第八章 猪细菌性传染病,第二节 猪支原体肺炎,7. 治疗,,猪支原体肺炎,DIS-046-mycoplasmosis-enzootic-pneumonia.md,恩诺沙星,① 恩诺沙星注射液，5毫克/千克，一天1次，连用 $3\sim 5$ 天。
SFDUT2-TX-0006,SRC-0090,dose_route_course,192,TOC_INTERPOLATED,46,46,第八章 猪细菌性传染病,第二节 猪支原体肺炎,7. 治疗,,猪支原体肺炎,DIS-046-mycoplasmosis-enzootic-pneumonia.md,林可霉素,② 林可霉素注射液，10毫克/千克，一天1次，连用 $3\sim 5$ 天。
SFDUT2-TX-0007,SRC-0090,dose_route_course,192,TOC_INTERPOLATED,47,47,第八章 猪细菌性传染病,第二节 猪支原体肺炎,7. 治疗,,猪支原体肺炎,DIS-046-mycoplasmosis-enzootic-pneumonia.md,泰妙菌素,③ 泰妙菌素注射液，20毫克/千克，一天1次，连用 $3\sim 5$ 天。
SFDUT2-TX-0008,SRC-0090,dose_route_course,192,TOC_INTERPOLATED,48,48,第八章 猪细菌性传染病,第二节 猪支原体肺炎,7. 治疗,,猪支原体肺炎,DIS-046-mycoplasmosis-enzootic-pneumonia.md,泰乐菌素,④ 泰乐菌素注射液，20毫克/千克，一天1次，连用 $3 \sim 5$ 天。
SFDUT2-TX-0009,SRC-0090,dose_route_course,192,TOC_INTERPOLATED,49,49,第八章 猪细菌性传染病,第二节 猪支原体肺炎,7. 治疗,,猪支原体肺炎,DIS-046-mycoplasmosis-enzootic-pneumonia.md,土霉素,⑤ $20\%$ 长效土霉素注射液（得米仙），1毫克/10千克，三天1次，连用3次。
SFDUT2-TX-0010,SRC-0090,dose_route_course,193,TOC_INTERPOLATED,50,50,第八章 猪细菌性传染病,第二节 猪支原体肺炎,7. 治疗,,猪支原体肺炎,DIS-046-mycoplasmosis-enzootic-pneumonia.md,卡那霉素,⑥ 卡那霉素注射液，40毫克/千克，一天1次，连用 $3 \sim 5$ 天。
