syndrome_id,title,disease_count,page_relpath
SYN-001-piglet-diarrhea,仔猪腹泻,9,wiki/syndromes/SYN-001-piglet-diarrhea.md
SYN-002-post-weaning-diarrhea,断奶后腹泻,6,wiki/syndromes/SYN-002-post-weaning-diarrhea.md
SYN-003-reproductive-failure,繁殖障碍/流产,7,wiki/syndromes/SYN-003-reproductive-failure.md
SYN-004-respiratory-syndrome,呼吸道综合征,7,wiki/syndromes/SYN-004-respiratory-syndrome.md
SYN-005-neurologic-signs,神经症状,6,wiki/syndromes/SYN-005-neurologic-signs.md
SYN-006-vesicular-disease,水疱/口蹄部病变,4,wiki/syndromes/SYN-006-vesicular-disease.md
SYN-007-sudden-death-septicemia,突然死亡/败血症,7,wiki/syndromes/SYN-007-sudden-death-septicemia.md
SYN-008-skin-pruritus-crusts,皮肤瘙痒/结痂,5,wiki/syndromes/SYN-008-skin-pruritus-crusts.md
SYN-009-lameness-arthritis,跛行/关节肿胀,5,wiki/syndromes/SYN-009-lameness-arthritis.md
SYN-010-anemia-jaundice,贫血/黄疸,4,wiki/syndromes/SYN-010-anemia-jaundice.md
SYN-011-poor-growth-wasting,生长迟缓/消瘦,5,wiki/syndromes/SYN-011-poor-growth-wasting.md
SYN-012-feed-toxin-gas,饲料毒素/气体中毒,7,wiki/syndromes/SYN-012-feed-toxin-gas.md
