name,page,category,kind,target_page,source_id
硝硫氰酯,168,驱血吸虫药/抗吸虫药,anthelmintic_boundary,wiki/drugs/DRUG-075-praziquantel.md,SRC-0092
硝氯酚,169,驱吸虫药,anthelmintic_boundary,wiki/drugs/DRUG-075-praziquantel.md,SRC-0092
碘醚柳胺,170,驱吸虫药,anthelmintic_boundary,wiki/drugs/DRUG-075-praziquantel.md,SRC-0092
氯氰碘柳胺钠,171,驱吸虫药,anthelmintic_boundary,wiki/drugs/DRUG-075-praziquantel.md,SRC-0092
三氯苯达唑,173,驱吸虫药,anthelmintic_boundary,wiki/drugs/DRUG-005-benzimidazoles.md,SRC-0092
磺胺喹噁啉,175,抗球虫药,anticoccidial,wiki/drugs/DRUG-006-anticoccidials.md,SRC-0092
尼卡巴嗪,177,抗球虫药,anticoccidial,wiki/drugs/DRUG-006-anticoccidials.md,SRC-0092
二硝托胺,178,抗球虫药,anticoccidial,wiki/drugs/DRUG-006-anticoccidials.md,SRC-0092
地克珠利,179,抗球虫药,anticoccidial,wiki/drugs/DRUG-006-anticoccidials.md,SRC-0092
常山酮,180,抗球虫药,anticoccidial,wiki/drugs/DRUG-006-anticoccidials.md,SRC-0092
氨丙啉,182,抗球虫药,individual_drug,wiki/drugs/DRUG-062-amprolium.md,SRC-0092
莫能菌素,184,聚醚类离子载体抗球虫药,anticoccidial,wiki/drugs/DRUG-006-anticoccidials.md,SRC-0092
马度米星铵,186,聚醚类离子载体抗球虫药,anticoccidial,wiki/drugs/DRUG-006-anticoccidials.md,SRC-0092
甲硝唑,188,抗滴虫/硝基咪唑类,restricted_boundary,wiki/drugs/DRUG-050-dimetridazole-ronidazole.md,SRC-0092
地美硝唑,191,抗滴虫/硝基咪唑类,restricted_boundary,wiki/drugs/DRUG-050-dimetridazole-ronidazole.md,SRC-0092
敌敌畏,196,有机磷杀虫药,insecticide,wiki/drugs/DRUG-076-dichlorvos.md,SRC-0092
溴氰菊酯,199,拟除虫菊酯类杀虫药,insecticide,wiki/drugs/DRUG-060-permethrin-deltamethrin.md,SRC-0092
氰戊菊酯,200,拟除虫菊酯类杀虫药,insecticide,wiki/drugs/DRUG-060-permethrin-deltamethrin.md,SRC-0092
双甲脒,202,杀虫药/外寄生虫药,insecticide,wiki/drugs/DRUG-058-amitraz.md,SRC-0092
咖啡因,206,中枢兴奋药,system_drug_boundary,wiki/drugs/DRUG-080-epinephrine.md,SRC-0092
地西洋,211,镇静药与抗惊厥药,sedative_boundary,wiki/drugs/DRUG-077-azaperone.md,SRC-0092
氟哌啶,211,镇静药与抗惊厥药,sedative_boundary,wiki/drugs/DRUG-077-azaperone.md,SRC-0092
氯丙嗪,211,镇静药与抗惊厥药,sedative_boundary,wiki/drugs/DRUG-077-azaperone.md,SRC-0092
保 泰 松,219,NSAID 候选,nsaid_boundary,wiki/drugs/DRUG-065-ketoprofen-sodium-salicylate-indomethacin.md,SRC-0092
吲哚美辛,219,NSAID 候选,nsaid_boundary,wiki/drugs/DRUG-065-ketoprofen-sodium-salicylate-indomethacin.md,SRC-0092
安乃近,219,解热镇痛抗炎药/NSAIDs,nsaid_boundary,wiki/drugs/DRUG-029-nsaids.md,SRC-0092
对乙酰氨基酚,219,解热镇痛抗炎药,nsaid_boundary,wiki/drugs/DRUG-029-nsaids.md,SRC-0092
布洛芬,219,NSAID 候选,nsaid_boundary,wiki/drugs/DRUG-029-nsaids.md,SRC-0092
