fact_id,fact_type,subject,predicate,object,page,category,target_page,evidence_source_id,evidence_coverage
RAU2-DRUG-0001,drug_combination_manual_entry,硝硫氰酯,system_or_combination_boundary,硝硫氰酯 在本批来源中定位为 驱血吸虫药/抗吸虫药。,168,驱血吸虫药/抗吸虫药,wiki/drugs/DRUG-075-praziquantel.md,SRC-0092,complete
RAU2-DRUG-0002,drug_combination_manual_entry,硝氯酚,system_or_combination_boundary,硝氯酚 在本批来源中定位为 驱吸虫药。,169,驱吸虫药,wiki/drugs/DRUG-075-praziquantel.md,SRC-0092,complete
RAU2-DRUG-0003,drug_combination_manual_entry,碘醚柳胺,system_or_combination_boundary,Rafoxanide 【药理作用与适应证】本品是常用的杀灭牛、羊肝片吸虫药，对牛、羊的各种肝片吸虫的成虫与幼虫都有杀灭作用。其抗虫机制是其作为一种质子离子载体，跨细胞膜转运阳离子，最终对虫体线粒体氧化磷酸化过程进行解偶联，减少ATP的产生，降低糖原含量，并使琥珀酸积累，从而影响虫体的能力代谢过程，使虫体死亡。主要用于治疗牛、羊肝片吸虫病，对血矛线虫、巨片吸虫和羊 鼻蝇蛆亦有明显疗效。,170,驱吸虫药,wiki/drugs/DRUG-075-praziquantel.md,SRC-0092,complete
RAU2-DRUG-0004,drug_combination_manual_entry,氯氰碘柳胺钠,system_or_combination_boundary,氯氰碘柳胺钠 在本批来源中定位为 驱吸虫药。,171,驱吸虫药,wiki/drugs/DRUG-075-praziquantel.md,SRC-0092,complete
RAU2-DRUG-0005,drug_combination_manual_entry,三氯苯达唑,system_or_combination_boundary,三氯苯达唑 在本批来源中定位为 驱吸虫药。,173,驱吸虫药,wiki/drugs/DRUG-005-benzimidazoles.md,SRC-0092,complete
RAU2-DRUG-0006,drug_combination_manual_entry,磺胺喹噁啉,system_or_combination_boundary,Sulfaquinoxaline 【药理作用与适应证】又称磺胺喹沙啉，为抗球虫的专用磺胺药。主要影响球虫第二代裂殖体的发育，对第一代裂殖体也有一定作用，作用峰期在感染后的第4天。对鸡巨型、布氏和堆型艾美耳球虫的作用较强，对柔嫩和毒害艾美耳球虫的作用较弱，仅在高浓 度有效，对兔的肝艾美耳球虫、水貂等孢球虫病亦有较强作用。本品的抗菌作用较磺胺嘧啶强，抗球虫活性为磺胺二甲嘧啶的 $3\sim 4$ 倍。磺胺喹噁啉作抗球虫药物的优点是不影响宿主对球虫的免疫力，具有抗球虫、控制肠道感染双重功效。本品对有性周期阶段的球虫无效。临床多于氨丙啉配伍用于防治畜禽球虫病，与二甲氧苄氨嘧啶（DVD）或TMP配伍用于防治鸡、火鸡、鸟、兔、犊牛、羔羊及水貂的球虫病。亦用于禽霍乱、大肠杆菌病等家禽的细菌性感染。,175,抗球虫药,wiki/drugs/DRUG-006-anticoccidials.md,SRC-0092,complete
RAU2-DRUG-0007,drug_combination_manual_entry,尼卡巴嗪,system_or_combination_boundary,Nicarbazin 【药理作用与适应证】抑制第二代无性裂殖体的生长繁殖，作用峰期为感染后第4天，对球虫生活史的其他时期无效。对鸡盲肠球虫（柔嫩艾美耳球虫）和堆型、巨型、毒害、布氏艾美耳球虫（小肠球虫）均有良好的预防效果。球虫对尼卡巴嗪产生的耐药速度很慢，且不影响机体对球虫产生免疫力，对氨丙啉及其他抗球虫药有耐药性时，改用本品，仍然有效。至今本品仍是一种具有实际使用价值的抗球虫药。临床主要用于肉鸡、火鸡球虫病的预防。,177,抗球虫药,wiki/drugs/DRUG-006-anticoccidials.md,SRC-0092,complete
RAU2-DRUG-0008,drug_combination_manual_entry,二硝托胺,system_or_combination_boundary,二硝托胺 在本批来源中定位为 抗球虫药。,178,抗球虫药,wiki/drugs/DRUG-006-anticoccidials.md,SRC-0092,complete
RAU2-DRUG-0009,drug_combination_manual_entry,地克珠利,system_or_combination_boundary,Diclazuril 【药理作用与适应证】为三嗪类广谱抗球虫药，具有广谱、高效、低毒的特点。本品对球虫发育的各个阶段均有作用，对球虫的主要作用峰期，随球虫的不同种属而异，如对柔嫩艾美耳球虫主要作用点在第二代裂殖体，但对巨型、布氏艾美耳球虫裂殖体无效。对巨型艾美耳球虫作用点在球虫的合子阶段，对布氏艾美耳球虫小配子阶段有高效。对形成孢子化卵囊也有抑制作用。地克珠利对鸡柔嫩、堆型、毒害、布氏、巨型艾美耳球虫作用很强，用药后除能有效地控制盲肠球虫的发生和鸡的死亡外，甚至能使病鸡球虫卵囊全部消失，半衰期短，用药2d后作用基本消失，为理想的杀球虫药。本品对和缓艾美耳球虫也有高效，对鸭球虫和兔球虫也有良好的效果。临床主要用于鸡、鸭、兔的各种球虫病。,179,抗球虫药,wiki/drugs/DRUG-006-anticoccidials.md,SRC-0092,complete
RAU2-DRUG-0010,drug_combination_manual_entry,常山酮,system_or_combination_boundary,常山酮 在本批来源中定位为 抗球虫药。,180,抗球虫药,wiki/drugs/DRUG-006-anticoccidials.md,SRC-0092,complete
RAU2-DRUG-0011,drug_combination_manual_entry,氨丙啉,system_or_combination_boundary,氨丙啉 在本批来源中定位为 抗球虫药。,182,抗球虫药,wiki/drugs/DRUG-062-amprolium.md,SRC-0092,complete
RAU2-DRUG-0012,drug_combination_manual_entry,莫能菌素,system_or_combination_boundary,Monensin 【药理作用与适应证】本品对鸡的毒害、柔嫩、堆型、布氏、巨型等艾美耳球虫均有高效。主要抑制第一代裂殖体和子孢子，作用峰期为感染后第2天。莫能菌素除杀球虫作用外，对动物体内产气荚膜芽孢梭菌亦有抑制作用，可预防坏死性肠炎的发生。对肉牛有促生长和奶牛提高产奶量的作用。据报道，其疗效、增重及饲料报酬均优于氨丙啉。莫能菌素在应用较低剂量时，机体可逐渐产生较强的免疫力。对蛋鸡只能应用较低剂量，这样既能预防球虫病，又不影响鸡免疫力的产生。由于莫能菌素能改善瘤胃消化过程，使 瘤胃发酵丙酸增加，肉牛（每只 $200\mathrm{mg}$ ）、羔羊（ $5.5\mathrm{mg/kg}$ ）连续喂用能使体重分别增加 $13.7\%$ 和 $9\%$ 。临床主要用于预防鸡和火鸡的球虫病，也可用于犊牛、羔羊和兔的球虫病。 【上市剂型】莫能菌素钠预混剂，规格： $100\mathrm{g}:5\mathrm{g}$ （500万单位）， $100\mathrm{g}:10\mathrm{g}$ （1000万单位）， $100\mathrm{g}:20\mathrm{g}$ （2000万单位）， $100\mathrm{g}:200\,184,聚醚类离子载体抗球虫药,wiki/drugs/DRUG-006-anticoccidials.md,SRC-0092,complete
RAU2-DRUG-0013,drug_combination_manual_entry,马度米星铵,system_or_combination_boundary,马度米星铵 在本批来源中定位为 聚醚类离子载体抗球虫药。,186,聚醚类离子载体抗球虫药,wiki/drugs/DRUG-006-anticoccidials.md,SRC-0092,complete
RAU2-DRUG-0014,drug_combination_manual_entry,甲硝唑,system_or_combination_boundary,甲硝唑 在本批来源中定位为 抗滴虫/硝基咪唑类。,188,抗滴虫/硝基咪唑类,wiki/drugs/DRUG-050-dimetridazole-ronidazole.md,SRC-0092,complete
RAU2-DRUG-0015,drug_combination_manual_entry,地美硝唑,system_or_combination_boundary,地美硝唑 在本批来源中定位为 抗滴虫/硝基咪唑类。,191,抗滴虫/硝基咪唑类,wiki/drugs/DRUG-050-dimetridazole-ronidazole.md,SRC-0092,complete
RAU2-DRUG-0016,drug_combination_manual_entry,敌敌畏,system_or_combination_boundary,敌敌畏 在本批来源中定位为 有机磷杀虫药。,196,有机磷杀虫药,wiki/drugs/DRUG-076-dichlorvos.md,SRC-0092,complete
RAU2-DRUG-0017,drug_combination_manual_entry,溴氰菊酯,system_or_combination_boundary,溴氰菊酯 在本批来源中定位为 拟除虫菊酯类杀虫药。,199,拟除虫菊酯类杀虫药,wiki/drugs/DRUG-060-permethrin-deltamethrin.md,SRC-0092,complete
