source_id,name,page,line,section,subgroup,pharmacology_snippet,combination_or_contraindication,caution
SRC-0093,肉桂,401,1,第三节 温里药,,本品辛、甘、热，归脾、肾、心、肝经，补火助阳、散寒止痛、温经通脉。本品含肉桂醛、肉桂醇、苯甲醛和苯丙醛等。 其药理作用为：醇提取物对金黄色葡萄球菌、大肠杆菌、汉逊酵母菌及黑曲霉有抑制作用；水溶性提取物能抑制小鼠、大鼠应激性溃疡形成；桂皮油能缓解胃肠痉挛，抑制肠内的异常发酵，发挥止痛作用；肉桂水煎剂给小鼠灌胃，能显著抑制小鼠的胃肠推进率和对抗番泻叶引起的小鼠腹泻；肉桂煎剂灌胃，对垂体后叶素引起的家兔急性心肌缺血有改善作用；桂皮醛对小鼠有明显的镇静作用；肉桂煎...,① 与附子、熟地黄、山茱萸等同用，如肾气丸、右归饮，常用治肾阳不足、命门火衰的腰膝冷痛、夜尿频多者，可用本品以引火归源；与山茱萸、五味子、人参、牡蛎等同用，治下元虚衰、虚阳上浮的面赤、虚喘、汗出、心悸、失眠、脉微弱。 ② 与干姜、高良姜、荜茞等同用，治寒邪内侵或脾胃虚寒的脘腹冷痛；与附子、人参、干姜等同用，如桂附理中丸，用于脾肾阳虚的腹痛呕吐、四肢厥冷、大便溏泄；与吴茱萸、小茴香等同用，可治寒疝腹痛。 ③ 与独活、桑寄生、杜仲等同用，如独活寄生汤，用于风寒湿痹，尤宜治寒痹腰痛；与附子、干姜、川椒等同用，可治胸阳不振、寒邪内侵的胸痹心痛；与鹿角胶、炮姜、麻黄等同用，如阳和汤，治阳虚寒凝之阴疽，亦取本品甘热助阳以补虚、辛热散寒以通脉。 ...,① 阴虚火旺、里有实热、血热妄行出血的患畜禁用。 ② 孕畜禁服。 ③ 本品畏赤石脂。
SRC-0093,吴茱萸,401,25,第三节 温里药,,本品辛、苦、热，有小毒，归肝、脾、胃、肾经，散寒止痛、温中止呕、助阳止泻。本品含挥发油。油中主要成分为吴茱萸烯、罗勒烯、吴茱萸内酯、吴茱萸内酯醇等。此外尚含吴茱萸酸、吴茱萸苦素及吴茱萸碱、吴茱萸次碱等多种生物碱。 其药理作用为：有收缩子宫、健胃、镇痛、止呕等作用；能升高体温，大量时能兴奋中枢，并引起视力障碍、错觉；用煎剂给犬灌胃，有明显的降压作用，但当与甘草配伍时，其降压作用消失，其降压作用主要是扩张外周血管所致，且与组胺释放有关；煎剂对家兔小肠活动的影响...,① 与小茴香、川楝子、木香等配伍，如《医方简义》导气汤，可治寒疝腹痛；与桂枝、当归、川芎等同用，如温经汤，治冲任虚寒、瘀血阻滞。 ② 与人参、生姜等同用，如吴茱萸汤，治中焦虚寒之脘腹冷痛、呕吐泛酸；与半夏、生姜等同用，用于外寒内侵、胃失和降之呕吐。 ③ 多与补骨脂、肉豆蔻、五味子等同用，如四神丸，能温脾 益肾、助阳止泻，为治脾肾阳虚、五更泄泻之常用药，用于虚寒泄泻证。 ④ 吴茱萸不宜与组胺受体阻断剂及肾上腺素类西药同服，吴茱萸使外周血管扩张和促进组胺释放而具有降压作用，可与苯海拉明、肾上腺素、去甲肾上腺素等药物产生拮抗。 ⑤ 吴茱萸不宜与单胺氧化酶抑制剂同用，吴茱萸中含单胺类物质，并且吴茱萸能促进组胺释放，在应用单胺氧化酶抑制剂时，...,① 本品辛热燥烈，易耗气动火，故不宜多用、久服。 ② 血虚有热及孕畜慎用。 ③ 外用适量。
SRC-0093,花椒,403,52,第三节 温里药,,本品辛、热，归脾、胃、肾经，温中止痛、杀虫、止痒。本品含生物碱、木脂素、香豆素、挥发油等。 其药理作用为：水提取物能抑制水浸性应激和吲哚美辛-乙醇致小鼠胃溃疡形成；水煎剂在低浓度时能兴奋离体兔空肠的自发活动，而高浓度时则起抑制作用；醇提取物和水提取物有显著抗炎、镇痛和止泻的作用；小量口服，对大鼠有轻度利尿作用，大量则抑制尿排泄；花椒稀醇液有局部麻醉作用；花椒对白喉杆菌、炭疽杆菌、肺炎双球菌、金黄色葡萄球菌、伤寒杆菌、铜绿假单胞菌和某些皮肤真菌有抑制作用；花...,① 与生姜、白豆蔻等同用，用于外寒内侵、胃寒腹痛、呕吐；与干姜、人参等同用，如大建中汤，可治脾胃虚寒、脘腹冷痛、呕吐、不思饮食；与苍术、砂仁、草豆蔻等同用，用于治疗寒湿困中、腹痛吐泻。 ② 与乌梅、干姜、黄柏等同用，如乌梅丸，用于虫积腹痛、手足厥逆、烦闷吐蛔；与乌梅、框子、使君子等同用，用于虫积腹痛较轻者，可治幼畜蛲虫病。 ③ 与黄柏、苦参等药同用，用于治疗皮肤湿疹、疥癣等。 ④ 花椒含生物碱，不宜与碘离子制剂同用，易产生沉淀。 ⑤ 花椒含生物碱，不宜与碳酸氢钠等碱性较强的西药同用，影响溶解度，妨碍吸收。 ⑥ 花椒含生物碱，不宜与重金属药如碳酸钙、维丁胶、硫酸镁、硫酸亚铁、氢氧化铝、碳酸铋等同用，以免形成络合物，影响药物吸收。 ⑦ ...,① 阴虚火旺的患畜忌用。 ② 本品外用适量。
SRC-0093,小茴香,404,80,第三节 温里药,,本品辛、温，入肝、肾、脾、胃经，散寒止痛、理气和中。小茴香含小茴香油，其中主要为茴香脑、茴香醛、爱草脑、柠檬烯、芹菜脑樟脑等。 其药理作用为：茴香脑对小鼠离体肠管有兴奋作用，浓度增高则出现松弛作用；小茴香有利胆作用，能促进胆汁分泌，并使胆汁固体成分增加；小茴香挥发油对豚鼠气管平滑肌有松弛作用；小茴香挥发油、茴香脑对青蛙都有中枢麻痹作用，对蛙心肌开始稍有兴奋，接着引起麻痹；小茴香能刺激胃肠神经血管，促进消化功能， 增强胃肠蠕动，排除腐败气体；并有祛痰的作用；...,① 与干姜、木香等药同用，用于脾胃虚寒所致的草少、冷痛、吐涎、寒泻等。 ② 与肉桂、槟榔、白术、巴戟天、当归、牵牛子、藁本等同用，如茴香散，用于治疗寒伤腰胯所致的腰脊紧硬、冷拖后脚等。 ③ 与益智仁、白术、干姜等同用，芳香醒脾、开胃进食，用于治疗胃寒草少。 ④ 用小茴香、欧鼠李、甘草和碳酸铋、碳酸氢钠生产的“胃必治片”，用于胃十二指肠溃疡、胃酸过多、神经性消化不良、胃炎、胃痉挛等。,热证及阴虚火旺的患畜忌用。
SRC-0093,丁香,405,103,第三节 温里药,,本品辛、温，归脾、胃、肾经，温中降逆、散寒止痛、温肾助阳。本品含挥发油即丁香油，其中主要为丁香油酚、乙酰丁香油酚、葎草烯、胡椒酚等。 其药理作用为：丁香水或醇提取液对猪蛔虫有麻醉和杀灭作用；丁香煎剂对金黄色葡萄球菌、链球菌及白喉杆菌、变形杆菌、铜绿假单胞菌、大肠杆菌、痢疾杆菌、伤寒杆菌等均有抑制作用；丁香的水、醇及乙醚浸出液和其挥发油，对致病性真菌均有明显的抗真菌作用；在体外，丁香对流感病毒PR8株有抑制作用；丁香为芳香健胃剂，可缓解腹部气胀，增强消化能力...,① 与砂仁、白术同用，温胃散寒，长于降逆，为治胃寒呕逆之要药，用于治疗脾胃虚寒所致的食欲不振、泄泻等证。 ② 与附子、肉桂、巴戟天、肉苁蓉等同用，能温肾壮阳，用于治疗肾虚阳痿等证。 ③ 丁香不宜与阿托品同用，因抑制丁香的促进胃液分泌作用。 ④ 丁香不宜与巴比妥同用，甲基丁香酚有镇静作用，与巴比妥有协同效应，同用时易产生毒性反应。 ⑤ 丁香不宜与氯丙嗪同用，具有中枢抑制方面的协同作用，同用时会产生毒性反应。 ⑥ 丁香含挥发油，具有还原作用，不宜与硝酸甘油、硝酸异山梨酯等具有氧化性的药物联用，会使后者的药效丧失。,① 胃热引起的呃逆或兼有口渴、口苦、口干的患畜慎用。 ② 热性病及阴虚内热的患畜忌用。 ③ 畏郁金。
SRC-0093,高良姜,406,130,第三节 温里药,,本品辛、温，入脾、胃经，散寒止痛、温中止呕。本品含高良姜素、山奈素、莰烯、大黄素和槲皮素等。 其药理作用为：高良姜素和山奈素有镇痛和止呕的作用；醇提取物和水提取物能抑制小鼠水浸应激性溃疡和大鼠盐酸性溃疡形成；超临界萃取物有拮抗毒碱样受体的作用；高良姜煎液对炭疽杆菌、 \alpha 型溶血性链球菌、 \beta 型溶血性链球菌、白喉杆菌、假白喉杆菌、肺炎双球菌、金黄色葡萄球菌、柠檬色葡萄球菌、白色葡萄球菌、枯草杆菌等均有不同程度的抗菌作用；高良姜水提取物或挥...,① 与香附、半夏、厚朴、生姜等同用，用于治疗胃寒草少、冷肠泄泻、反胃呕吐等。 ② 高良姜含槲皮素，与碳酸钙、维丁胶性钙、硫酸镁、氢氧化铝和碳酸铋类药物合用，能形成络合物而相互影响疗效。 ③ 高良姜与碳酸氢钠合用可以提高胃肠溃疡的治愈率。,① 胃火亢盛者禁用。 ② 用于胃寒冷痛，每与炮姜相须为用。 # 第四节 消导药 凡以消积导滞、促进消化、治疗饮食积滞为主要作用的药物，称为消导药，又叫消食药。 消食药多味甘性平，主归脾、胃二经，功能消化饮食积滞、开胃和中。主要用治饮食积滞、脘腹胀满、嗳腐吞酸、恶心酸吐、不思饮食、大便失常等脾胃虚弱的消化不良证。 使用本类药物，应根据不同的病情予以适当配伍。若宿食停积、脾胃气滞者，当配理气药以行气导滞；若脾胃气虚、运化无力者，当配健脾益胃药以标本兼顾、消补并用；若素体脾胃虚寒者，宜配温里药以温运脾阳、散寒消食；若兼湿...
SRC-0093,山 楷,407,159,第四节 消导药,,本品酸、甘、微温，归脾、胃、肝经，消食化积、行气散瘀。 山楂含木荆素、山奈酚、槲皮素、花青素、熊果酸、齐墩果酸及山楂酸等。 其药理作用为：能增强胃消化酶的分泌和活性；总黄酮有扩张血管和降压作用；能增加心肌收缩力、增加心输出量和减慢心率；煎剂和乙醇提取液对痢疾杆菌、大肠杆菌有抑制作用。山楂的多种提取物对蟾蜍心脏均有一定强心作用；山楂有收缩子宫、抗心律失常、增加冠脉血流量、降血脂等作用。,① 与莱菔子、神曲等同用，用于肉食积滞之脘腹胀满、嗳气吞酸、腹痛便溏者；与青皮、枳实、莪术等同用，用于治疗食积气滞腹胀满痛较甚者。 ② 与木香、槟榔、枳壳等同用，能行气止痛，治泻痢腹痛；与橘核、荔枝核等同用，可治疝气作痛。 ③ 与川芎、当归、益母草等同用，性温，能通行气息，有活血祛瘀止痛之功，用于治疗产后瘀阻腹痛、恶露不尽；与川芎、桃仁、红花等同用，可治瘀滞胸胁痛。 ④ 山楂与呋喃妥因结合用于泌尿道感染时，既提高了治疗效果，又减少了毒副作用。 ⑤ 山楂与磺胺类药物合用，其毒素作用增强，引起血尿、结晶尿甚至尿闭等。 ⑥ 山楂及其复方制剂山楂丸，与庆大霉素同服，会降低其抗菌作用，因为庆大霉素在酸性尿液中抗菌作用最弱。 ⑦ 红霉素与山楂丸...,① 生山楂消食散瘀，焦山楂止泻止痢。 ② 脾胃虚弱者慎服。 ③ 孕妇不宜服用。
SRC-0093,神曲,408,188,第四节 消导药,,本品甘、辛、温，归脾、胃经，消食化积、健脾和胃。神曲为酵母制剂，含有维生素B复合体、酶类、麦角固醇、蛋白质、脂肪等。 其药理作用为：对肠道菌群失调引起的肝脏、肾脏和肠道病变具有调整和保护作用；神曲有促进消化、增进食欲的作用。,① 与山楂、麦芽等同用，如曲麦散，用于治疗草料积食、肚腹胀满、脾虚泄泻等。 ② 神曲与头孢菌素合用能引起过敏症状，严重时可导致死亡。 ③ 神曲含有消化酶，与红霉素、四环素同服，可使酶的活性降低。 ④ 保和丸呈酸性，与碱性药如氨茶碱、碳酸氢钠、复方氢氧化铝等合用，酸碱中和反应使药效降低。 ⑤ 神曲含酶类，不宜与药用炭同服，会因后者的吸附作用而降低药效。 ⑥ 神曲不宜与抗生素、磺胺等药同用，使酶类中药活性降低，并抑制西药的抗菌作用。 ⑦ 神曲、麦芽等含淀粉酶的中药不宜与碳酸氢钠同服，淀粉酶在微酸性（ \mathrm{pH}5 \sim 6 ）条件下活性较高，在碱性条件下活性降低。,脾胃虚弱的患畜慎服。
SRC-0093,麦芽,409,212,第四节 消导药,,本品甘、平，归脾、胃、肝经，行气消食、健脾开胃、回乳消胀。麦芽含麦芽糖、异聚麦芽糖、麦黄酮、谷甾醇、淀粉酶等。 其药理作用为：异聚麦芽糖能调节动物肠道微生物区系，提高抗体浓度，增加T、B淋巴细胞的数量；异聚麦芽糖能抑制腐败细菌，减少粪便中氨、胺、硫化氨、吲哚等腐败物质的含量；麦芽煎剂对胃酸与胃蛋白酶的分泌有促进作用；麦芽所含消化酶及B族维生素有助消化作用；生麦芽中所含麦角类化合物有抑制催乳素的分泌的作用；麦芽浸膏口服有降低血糖的作用。,① 与山楂、神曲、鸡内金等同用，能促进淀粉性食物的消化，用于米面薯芋食滞证；与白术、陈皮等同用，可治脾虚食少、食后饱胀。 ② 单用或与其他消胀止痛药同用，可治疗乳汁淤积引起的乳房胀痛。 ③ 麦芽与头孢菌素合用能引起过敏症状，严重时可导致死亡。 ④ 麦芽含有消化酶，与红霉素、四环素同服，可使酶的活性降低。 ⑤ 麦芽不宜与单胺氧化酶抑制剂如帕吉林等同用，麦芽中含酪胺类物质，在单胺氧化酶被抑制的状态下酪胺不能被代谢灭活，产生高血压危象。 ⑥ 麦芽含酶类，不宜与药用炭同服，会因后者的吸附作用而降低药效。 ⑦ 麦芽不宜与磺胺类等药同用，使酶类中药活性降低，并抑制西药的抗菌作用。 ⑧ 神曲、麦芽等含淀粉酶的中药不宜与碳酸氢钠同服，淀粉酶在微酸性...,① 生麦芽多用于消食健胃，炒用多用于回乳消胀。 ② 哺乳期母畜不宜使用。
SRC-0093,莱菔子,410,240,第四节 消导药,,本品辛、甘、平，归脾、胃、肺经，消食除胀、降气化痰。本品含脂肪油、挥发油、莱菔子素、谷甾醇和氨基酸等。 其药理作用为：能促进血浆胃动素的分泌；水体醇沉液有平喘、镇咳和祛痰作用；水浸液能增强豚鼠离体回肠的收缩力；莱菔子生用或炒用均能增强免疫体回肠的节律性收缩作用、抑制小白鼠的胃排空作用、提高豚鼠胃幽门部环行肌紧张性和降低胃底纵行肌紧张性；炒莱菔子能明显对抗肾上腺素对免疫体回肠节律性收缩的抑制；莱菔子素对金黄色葡萄球菌、大肠杆菌、痢疾杆菌和伤寒杆菌等有显著的抑...,① 与山楂、神曲、陈皮等同用，如保和丸，味辛能行散，消食化积之中，尤善行气消胀，多用治食积气滞所致脘腹胀满、嗳气吞酸、腹痛等；与木香、枳实、大黄等同用，可治食积泻痢、里急后重。 ② 与芥子、紫苏子等同用，如三子养亲汤，有消食开胃、化痰止咳、降气平喘之功，用于咳喘痰多、胸闷食少。 ③ 莱菔子含有消化酶，不宜与红霉素、四环素同服，可使酶的活性降低。,① 本品辛散耗气，故气虚及无食积、痰滞者慎用。 ② 不宜与人参同用。 ③ 生用吐风痰，炒用消食下气化痰。
