fact_id,source_id,fact_type,table,medicine,active_substance,dose,meat_withhold_days,page,page_method,line_start,line_end,drug_mentions
VTOP-MED-0001,SRC-0088,veterinary_medicine_table,Table A.1 includes the only licensed products which are available in the UK at the time of writing.,"Comforion Vet 100 mg/ml Solution for Injection for Horse, Cattle and Swine",100 mg ketoprofen/ml,1 ml/33 kg im daily,4,51,index,4067,4067,ketoprofen
VTOP-MED-0002,SRC-0088,veterinary_medicine_table,Table A.1 includes the only licensed products which are available in the UK at the time of writing.,Dexadreson,2 mg dexamethasone/ml,1.5 ml/50 kg iv or im once and repeated in 48 h,2,151,appendix_interpolated,4067,4067,dexamethasone
VTOP-MED-0003,SRC-0088,veterinary_medicine_table,Table A.1 includes the only licensed products which are available in the UK at the time of writing.,Emdocam 20 mg/ml Injection,20 mg meloxicam/ml,2 ml/100 kg im daily for two injections,5,51,index,4067,4067,meloxicam
VTOP-MED-0004,SRC-0088,veterinary_medicine_table,Table A.1 includes the only licensed products which are available in the UK at the time of writing.,Finadyne Solution,50 mg flunixin meglumine/ml,2 ml/45 kg im,22,51,index,4067,4067,flunixin
VTOP-MED-0005,SRC-0088,veterinary_medicine_table,Table A.1 includes the only licensed products which are available in the UK at the time of writing.,Flunixin Injection,50 mg flunixin meglumine/ml,2 ml/45 kg im,22,51,index,4067,4067,flunixin
VTOP-MED-0006,SRC-0088,veterinary_medicine_table,Table A.1 includes the only licensed products which are available in the UK at the time of writing.,"Ketodale 100 mg/ml Solution for Injection for Horses, Cattle and Swine",100 mg ketoprofen/ml,3 ml/100 kg im,4,51,index,4067,4067,ketoprofen
VTOP-MED-0007,SRC-0088,veterinary_medicine_table,Table A.1 includes the only licensed products which are available in the UK at the time of writing.,Ketofen 10%,100 mg ketoprofen/ml,3 ml/100 kg im,4,51,index,4067,4067,ketoprofen
VTOP-MED-0008,SRC-0088,veterinary_medicine_table,Table A.1 includes the only licensed products which are available in the UK at the time of writing.,Melovem 5 mg/ml Solution for Injection for Cattle and Pigs,5 mg meloxicam/ml,2 ml/25 kg im daily for two injections,5,51,index,4067,4067,meloxicam
VTOP-MED-0009,SRC-0088,veterinary_medicine_table,Table A.1 includes the only licensed products which are available in the UK at the time of writing.,"Meloxidyl 20 mg/ml Solution for Injection for Cattle, Pigs and Horses",20 mg meloxicam/ml,2 ml/100 kg im daily for two injections,5,51,index,4067,4067,meloxicam
VTOP-MED-0010,SRC-0088,veterinary_medicine_table,Table A.1 includes the only licensed products which are available in the UK at the time of writing.,"Metacam 20 mg/ml Solution for Injection for Cattle, Pigs and Horses",20 mg meloxicam/ml,2 ml/100 kg im daily for two injections,5,51,index,4067,4067,meloxicam
