source_id,chapter,drug_candidate,hit_terms,pdf_pages,relation_hint,risk_flag,context_sample,evidence_status
SRC-0054,Diseases of Swine 11e Chapter 45 Rhabdoviruses,permethrin_deltamethrin,permethrin,760,mention_candidate,standard_review,"n of biosecurity procedures designed to avoid the introduction of VSV from affected premises via equipment, personnel, or animals. Insect repellents such as permethrin or other repellents approved for use on swine should also be considered. Vaccination with inac- tivated vaccines is practiced in some countries where VS is e",NEEDS_REVIEW
SRC-0058,Diseases of Swine 11e Chapter 48 Actinobacillosis,amoxicillin,amoxicillin,784,susceptibility_candidate,standard_review,"reports indicate a certain degree of resistance, in general, recent results of a global study across Europe showed that App is rarely resistant in vitro to amoxicillin (with or without clavulanic acid), cefqui‑ nome, ceftiofur, danofloxacin, enrofloxacin, marbofloxa‑ cin, florfenicol, tulathromycin, tiamulin, tilmicosin, tyl",NEEDS_REVIEW
SRC-0058,Diseases of Swine 11e Chapter 48 Actinobacillosis,amoxicillin_clavulanic_acid,clavulanic,784,susceptibility_candidate,standard_review,"egree of resistance, in general, recent results of a global study across Europe showed that App is rarely resistant in vitro to amoxicillin (with or without clavulanic acid), cefqui‑ nome, ceftiofur, danofloxacin, enrofloxacin, marbofloxa‑ cin, florfenicol, tulathromycin, tiamulin, tilmicosin, tylosin, lincomycin, trimethopr",NEEDS_REVIEW
SRC-0058,Diseases of Swine 11e Chapter 48 Actinobacillosis,ampicillin,ampicillin,784; 787,susceptibility_candidate,standard_review,"floxacin, erythromycin, clindamycin, trimethoprim/sul‑ famethoxazole, and tilmicosin. A low level of resistance was observed toward tiamulin, penicillin, and ampicillin as well as danofloxacin. On the other hand, a high level of resistance to chlortetracycline (88.4%) and oxytetracy‑ cline (90.7%) was observed (Archambault e | should be applied early in the appearance of signs; ceftiofur, gentamicin, and trimetho‑ prim/sulfadiazine seem to be the antibiotics of choice, followed by ampicillin, sulfadimethoxine, and tiamulin (MacInnes and Desrosiers 1999). There are no reports in the literature suggesting resistance of a large number of A. suis st",NEEDS_REVIEW
SRC-0058,Diseases of Swine 11e Chapter 48 Actinobacillosis,ceftiofur,ceftiofur,784; 787,treatment_or_control_candidate,high_review,", recent results of a global study across Europe showed that App is rarely resistant in vitro to amoxicillin (with or without clavulanic acid), cefqui‑ nome, ceftiofur, danofloxacin, enrofloxacin, marbofloxa‑ cin, florfenicol, tulathromycin, tiamulin, tilmicosin, tylosin, lincomycin, trimethoprim/sulfamethoxazole, and spect | ollow up maternal and active anti‑ bodies in an infected herd (Lapointe et al. 2001). Antibiotic treatment should be applied early in the appearance of signs; ceftiofur, gentamicin, and trimetho‑ prim/sulfadiazine seem to be the antibiotics of choice, followed by ampicillin, sulfadimethoxine, and tiamulin (MacInnes and Desro",NEEDS_REVIEW
SRC-0058,Diseases of Swine 11e Chapter 48 Actinobacillosis,chlortetracycline,chlortetracycline,784,susceptibility_candidate,standard_review,"A low level of resistance was observed toward tiamulin, penicillin, and ampicillin as well as danofloxacin. On the other hand, a high level of resistance to chlortetracycline (88.4%) and oxytetracy‑ cline (90.7%) was observed (Archambault et al. 2012). Sporadic data showed a relatively high number of resist‑ ant App isolates to th",NEEDS_REVIEW
SRC-0058,Diseases of Swine 11e Chapter 48 Actinobacillosis,danofloxacin_marbofloxacin,danofloxacin,784,susceptibility_candidate,high_review,"sults of a global study across Europe showed that App is rarely resistant in vitro to amoxicillin (with or without clavulanic acid), cefqui‑ nome, ceftiofur, danofloxacin, enrofloxacin, marbofloxa‑ cin, florfenicol, tulathromycin, tiamulin, tilmicosin, tylosin, lincomycin, trimethoprim/sulfamethoxazole, and spectinomycin (El G",NEEDS_REVIEW
SRC-0058,Diseases of Swine 11e Chapter 48 Actinobacillosis,enrofloxacin,enrofloxacin,784,susceptibility_candidate,high_review,"bal study across Europe showed that App is rarely resistant in vitro to amoxicillin (with or without clavulanic acid), cefqui‑ nome, ceftiofur, danofloxacin, enrofloxacin, marbofloxa‑ cin, florfenicol, tulathromycin, tiamulin, tilmicosin, tylosin, lincomycin, trimethoprim/sulfamethoxazole, and spectinomycin (El Garch et al. 20",NEEDS_REVIEW
SRC-0058,Diseases of Swine 11e Chapter 48 Actinobacillosis,florfenicol,florfenicol,784,susceptibility_candidate,standard_review,"that App is rarely resistant in vitro to amoxicillin (with or without clavulanic acid), cefqui‑ nome, ceftiofur, danofloxacin, enrofloxacin, marbofloxa‑ cin, florfenicol, tulathromycin, tiamulin, tilmicosin, tylosin, lincomycin, trimethoprim/sulfamethoxazole, and spectinomycin (El Garch et al. 2016). Similar high susceptibil",NEEDS_REVIEW
SRC-0058,Diseases of Swine 11e Chapter 48 Actinobacillosis,gentamicin,gentamicin,787,treatment_or_control_candidate,standard_review,"ternal and active anti‑ bodies in an infected herd (Lapointe et al. 2001). Antibiotic treatment should be applied early in the appearance of signs; ceftiofur, gentamicin, and trimetho‑ prim/sulfadiazine seem to be the antibiotics of choice, followed by ampicillin, sulfadimethoxine, and tiamulin (MacInnes and Desrosiers 1999).",NEEDS_REVIEW
SRC-0058,Diseases of Swine 11e Chapter 48 Actinobacillosis,lincomycin,lincomycin,784,susceptibility_candidate,standard_review,"or without clavulanic acid), cefqui‑ nome, ceftiofur, danofloxacin, enrofloxacin, marbofloxa‑ cin, florfenicol, tulathromycin, tiamulin, tilmicosin, tylosin, lincomycin, trimethoprim/sulfamethoxazole, and spectinomycin (El Garch et al. 2016). Similar high susceptibility has been observed by other studies in Europe (Hendriks",NEEDS_REVIEW
SRC-0058,Diseases of Swine 11e Chapter 48 Actinobacillosis,penicillin_g,penicillin,784,susceptibility_candidate,standard_review,"orfenicol, enro‑ floxacin, erythromycin, clindamycin, trimethoprim/sul‑ famethoxazole, and tilmicosin. A low level of resistance was observed toward tiamulin, penicillin, and ampicillin as well as danofloxacin. On the other hand, a high level of resistance to chlortetracycline (88.4%) and oxytetracy‑ cline (90.7%) was observe",NEEDS_REVIEW
SRC-0058,Diseases of Swine 11e Chapter 48 Actinobacillosis,spectinomycin,spectinomycin,784,susceptibility_candidate,standard_review,"iofur, danofloxacin, enrofloxacin, marbofloxa‑ cin, florfenicol, tulathromycin, tiamulin, tilmicosin, tylosin, lincomycin, trimethoprim/sulfamethoxazole, and spectinomycin (El Garch et al. 2016). Similar high susceptibility has been observed by other studies in Europe (Hendriksen et al. 2008; Matter et al. 2007). Resistance",NEEDS_REVIEW
SRC-0058,Diseases of Swine 11e Chapter 48 Actinobacillosis,sulfonamides,sulfadiazine; sulfadimethoxine; sulfamethoxazole; sulfonamide,784; 787,treatment_or_control_candidate,standard_review,"as been observed by other studies in Europe (Hendriksen et al. 2008; Matter et al. 2007). Resistance to tetracyclines and to a lesser extent trimeth‑ oprim/sulfonamide seems to have increased in the last years (El Garch et al. 2016; Gutiérrez‐Martín et al. 2006; Hendriksen et al. 2008). Recent data from North America showe | in an infected herd (Lapointe et al. 2001). Antibiotic treatment should be applied early in the appearance of signs; ceftiofur, gentamicin, and trimetho‑ prim/sulfadiazine seem to be the antibiotics of choice, followed by ampicillin, sulfadimethoxine, and tiamulin (MacInnes and Desrosiers 1999). There are no reports in the lit",NEEDS_REVIEW
SRC-0058,Diseases of Swine 11e Chapter 48 Actinobacillosis,tetracyclines,tetracycline; tetracyclines,784,susceptibility_candidate,standard_review,l Garch et al. 2016). Similar high susceptibility has been observed by other studies in Europe (Hendriksen et al. 2008; Matter et al. 2007). Resistance to tetracyclines and to a lesser extent trimeth‑ oprim/sulfonamide seems to have increased in the last years (El Garch et al. 2016; Gutiérrez‐Martín et al. 2006; Hendriksen,NEEDS_REVIEW
SRC-0058,Diseases of Swine 11e Chapter 48 Actinobacillosis,tiamulin,tiamulin,784; 787,susceptibility_candidate,standard_review,"t in vitro to amoxicillin (with or without clavulanic acid), cefqui‑ nome, ceftiofur, danofloxacin, enrofloxacin, marbofloxa‑ cin, florfenicol, tulathromycin, tiamulin, tilmicosin, tylosin, lincomycin, trimethoprim/sulfamethoxazole, and spectinomycin (El Garch et al. 2016). Similar high susceptibility has been observed by | ppearance of signs; ceftiofur, gentamicin, and trimetho‑ prim/sulfadiazine seem to be the antibiotics of choice, followed by ampicillin, sulfadimethoxine, and tiamulin (MacInnes and Desrosiers 1999). There are no reports in the literature suggesting resistance of a large number of A. suis strains to different antibiotics.",NEEDS_REVIEW
