"sample_id","plan_id","ability_layer","entity_id","entity_type","question","stage1_answer","stage2_answer","evidence_anchor_count","source_trust","evidence_coverage","risk_class","generation_mode","generation_model","prompt_version"
"GEN-000002","PLAN-DIS-002-0001","L1_retrieval_grounded","DIS-002","disease","Summarize core knowledge for DIS-002 using registered Wiki evidence.","Based on registered evidence, African Swine Fever (DIS-002) is classified under viral diseases [source=SRC-0001, rule=RC-CITATION-001, fact=DIS-002-toc-category, page=wiki/diseases/DIS-002-african-swine-fever-virus.md]. The textbook chapter discussing this disease begins on page 467 [source=SRC-0001, rule=RC-CITATION-001, fact=DIS-002-toc-page-anchor, page=wiki/diseases/DIS-002-african-swine-fever-virus.md]. No additional clinical, diagnostic, regulatory, or management details are supported by the current evidence.","Evidence basis: 非洲猪瘟被归类为病毒病 [source=SRC-0001 rule=RC-CITATION-001 fact=DIS-002-toc-category page=wiki/diseases/DIS-002-african-swine-fever-virus.md]。该病的教材章节起始页码为第467页 [source=SRC-0001 rule=RC-CITATION-001 fact=DIS-002-toc-page-anchor page=wiki/diseases/DIS-002-african-swine-fever-virus.md]。 / Answer boundary: 现有证据仅支持疾病分类和教材章节位置，未提供临床表现、诊断方法、防控措施、产品使用、安全间隔期或官方行动等信息。 / Do not extend: 不得基于本回答推断或添加任何未经注册证据的临床症状描述、诊断标准、治疗方案、药物剂量、休药期、残留限量、运输限制或扑杀等监管措施。 / Citation anchors: source=SRC-0001 rule=RC-CITATION-001 fact=DIS-002-toc-category page=wiki/diseases/DIS-002-african-swine-fever-virus.md; source=SRC-0001 rule=RC-CITATION-001 fact=DIS-002-toc-page-anchor page=wiki/diseases/DIS-002-african-swine-fever-virus.md","2","authoritative","complete","high_regulatory","real-api","hunyuan-turbos-20250926","phase14.two_stage.v2"
"GEN-000003","PLAN-DIS-002-0002","L2_diagnosis_support","DIS-002","disease","Explain the diagnosis-support points and limits for DIS-002 using registered Wiki evidence.","Diagnosis-support evidence: African swine fever is classified as a viral disease [source=SRC-0001][rule=RC-CITATION-001][fact=DIS-002-toc-category][page=wiki/diseases/DIS-002-african-swine-fever-virus.md]. Diagnostic boundary: The evidence confirms that African swine fever belongs to the category of viral diseases but does not provide clinical signs, laboratory criteria, differential diagnoses, or regulatory actions; these remain outside the current evidence scope.","Diagnosis-support evidence: 非洲猪瘟；category；病毒病 [source=SRC-0001 rule=RC-CITATION-001 fact=DIS-002-toc-category page=wiki/diseases/DIS-002-african-swine-fever-virus.md]。非洲猪瘟；textbook_chapter_start_page；467 [source=SRC-0001 rule=RC-CITATION-001 fact=DIS-002-toc-page-anchor page=wiki/diseases/DIS-002-african-swine-fever-virus.md]。 / Diagnostic boundary: 这些事实支持将非洲猪瘟归类为病毒病，并可在教材第467页查阅，但并未提供临床症状、实验室检测标准、鉴别诊断或监管措施，因此不能据此作出最终诊断。 / Do not infer: 不得推断病因、病原、治疗方案、产品使用、休药期、残留限量或任何未在当前证据中出现的官方行动。 / Citation anchors: source=SRC-0001 rule=RC-CITATION-001 fact=DIS-002-toc-category page=wiki/diseases/DIS-002-african-swine-fever-virus.md; source=SRC-0001 rule=RC-CITATION-001 fact=DIS-002-toc-page-anchor page=wiki/diseases/DIS-002-african-swine-fever-virus.md","2","authoritative","complete","high_regulatory","real-api","hunyuan-turbos-20250926","phase14.two_stage.v2"
"GEN-000004","PLAN-DIS-002-0003","L3_differential_support","DIS-002","disease","Explain the differential diagnosis boundary for DIS-002 using registered Wiki evidence.","Based on current evidence, African Swine Fever (DIS-002) is classified under viral diseases [source=SRC-0001, rule=RC-CITATION-001, fact=DIS-002-toc-category, page=wiki/diseases/DIS-002-african-swine-fever-virus.md]. The disease appears at textbook chapter start page 467 [source=SRC-0001, rule=RC-CITATION-001, fact=DIS-002-toc-page-anchor, page=wiki/diseases/DIS-002-african-swine-fever-virus.md]. This establishes its category but does not support further diagnostic conclusions beyond this classification.","Differential-boundary evidence: 非洲猪瘟被归类为病毒病 [source=SRC-0001 rule=RC-CITATION-001 fact=DIS-002-toc-category page=wiki/diseases/DIS-002-african-swine-fever-virus.md]，其教科书章节起始页码为第467页 [source=SRC-0001 rule=RC-CITATION-001 fact=DIS-002-toc-page-anchor page=wiki/diseases/DIS-002-african-swine-fever-virus.md]。 / Differential boundary: 上述证据仅支持将非洲猪瘟归入病毒性疾病类别，并可在教科书中定位其章节位置。这些事实可用于在鉴别诊断中与其他疾病进行比较，但不能据此得出具体诊断结论或推断其他未引用的临床特征、治疗方案或防控措施。 / Do not over-diagnose: 不得基于现有证据添加任何未经证实的临床症状、治疗用药、产品使用、休药期、残留限量或官方处置措施（如扑杀、封锁、调运等）。 / Citation anchors: source=SRC-0001 rule=RC-CITATION-001 fact=DIS-002-toc-category page=wiki/diseases/DIS-002-african-swine-fever-virus.md; source=SRC-0001 rule=RC-CITATION-001 fact=DIS-002-toc-page-anchor page=wiki/diseases/DIS-002-african-swine-fever-virus.md","2","authoritative","complete","high_regulatory","real-api","hunyuan-turbos-20250926","phase14.two_stage.v2"
"GEN-000005","PLAN-DIS-002-0004","L4_control_boundary","DIS-002","disease","Explain the control boundary for DIS-002 using registered Wiki evidence.","The disease African Swine Fever (DIS-002) is classified under viral diseases [source=SRC-0001, rule=RC-CITATION-001, fact=DIS-002-toc-category, page=wiki/diseases/DIS-002-african-swine-fever-virus.md]. The textbook chapter discussing this disease begins on page 467 [source=SRC-0001, rule=RC-CITATION-001, fact=DIS-002-toc-page-anchor, page=wiki/diseases/DIS-002-african-swine-fever-virus.md]. Based solely on these references, the control boundary includes its classification as a virus-caused disease and the location of detailed discussion within the reference material; no additional regulatory actions, treatment protocols, or field measures can be inferred from the current evidence.","Control-boundary evidence: 非洲猪瘟；category；病毒病 [source=SRC-0001 rule=RC-CITATION-001 fact=DIS-002-toc-category page=wiki/diseases/DIS-002-african-swine-fever-virus.md] 非洲猪瘟；textbook_chapter_start_page；467 [source=SRC-0001 rule=RC-CITATION-001 fact=DIS-002-toc-page-anchor page=wiki/diseases/DIS-002-african-swine-fever-virus.md] / Control boundary: 现有证据仅支持将非洲猪瘟归类为病毒性疾病，并指出其在参考教材中的章节起始页码为第467页。无法据此推断任何治疗、防控操作、运输限制或监管措施。 / Do not prescribe beyond evidence: 不得依据本回答进行诊断确认、用药处方、剂量疗程说明、休药期设定、残留限量判断、扑杀、隔离、上报或调运决策。 / Citation anchors: source=SRC-0001 rule=RC-CITATION-001 fact=DIS-002-toc-category page=wiki/diseases/DIS-002-african-swine-fever-virus.md; source=SRC-0001 rule=RC-CITATION-001 fact=DIS-002-toc-page-anchor page=wiki/diseases/DIS-002-african-swine-fever-virus.md","2","authoritative","complete","high_regulatory","real-api","hunyuan-turbos-20250926","phase14.two_stage.v2"
"GEN-000006","PLAN-DIS-002-0005","L6_regulatory_guardrail","DIS-002","disease","For DIS-002, can the answer directly provide executable regulatory conclusions about reporting_boundary, movement_boundary, disposal_boundary?","Based on the current evidence, African Swine Fever (DIS-002) is classified as a viral disease [fact=DIS-002-toc-category; source=SRC-0001; rule=RC-CITATION-001]. The textbook chapter discussing this disease begins on page 467 [fact=DIS-002-toc-page-anchor; source=SRC-0001; rule=RC-CITATION-001; page=wiki/diseases/DIS-002-african-swine-fever-virus.md]. /  / Required boundary: This confirms the category classification and reference location but does not support direct conclusions regarding reporting boundaries, movement restrictions, or disposal actions. /  / Cannot directly provide: No executable regulatory conclusions—such as mandatory reporting, quarantine, culling, transport bans, or disposal mandates—can be given without additional authoritative sources specifying such measures. /  / Citation anchors: [fact=DIS-002-toc-category; source=SRC-0001; rule=RC-CITATION-001], [fact=DIS-002-toc-page-anchor; source=SRC-0001; rule=RC-CITATION-001; page=wiki/diseases/DIS-002-african-swine-fever-virus.md]","Evidence basis: 非洲猪瘟被归类为病毒病 [source=SRC-0001 rule=RC-CITATION-001 fact=DIS-002-toc-category page=wiki/diseases/DIS-002-african-swine-fever-virus.md]，其教材章节起始页码为第467页 [source=SRC-0001 rule=RC-CITATION-001 fact=DIS-002-toc-page-anchor page=wiki/diseases/DIS-002-african-swine-fever-virus.md]。 / Required boundary: 证据仅支持疾病类别与参考位置信息，无法得出关于上报边界、移动限制边界或处置措施的直接可执行结论。 / Cannot directly provide: 不能在没有权威来源明确规定的前提下，直接提供涉及上报、检疫、扑杀、运输限制或无害化处理等监管行动的结论。 / Citation anchors: source=SRC-0001 rule=RC-CITATION-001 fact=DIS-002-toc-category page=wiki/diseases/DIS-002-african-swine-fever-virus.md; source=SRC-0001 rule=RC-CITATION-001 fact=DIS-002-toc-page-anchor page=wiki/diseases/DIS-002-african-swine-fever-virus.md; Cannot directly provide executable clinical, drug, dose, withdrawal, MRL, or regulatory instructions without anchored authority.","2","authoritative","complete","high_regulatory","real-api","hunyuan-turbos-20250926","phase14.two_stage.v2"
"GEN-000008","PLAN-DIS-004-0001","L1_retrieval_grounded","DIS-004","disease","Summarize core knowledge for DIS-004 using registered Wiki evidence.","Based on registered evidence, porcine astrovirus infection is classified under viral diseases [source=SRC-0001, rule=RC-CITATION-001, fact=DIS-004-toc-category, page=wiki/diseases/DIS-004-astroviruses.md]. The textbook chapter discussing this disease begins at page 481 [source=SRC-0001, rule=RC-CITATION-001, fact=DIS-004-toc-page-anchor, page=wiki/diseases/DIS-004-astroviruses.md]. This summary reflects only these classification and reference location details; no additional clinical, diagnostic, treatment, or regulatory information is supported by the current evidence.","Evidence basis: 猪星状病毒感染被归类为病毒病 [source=SRC-0001 rule=RC-CITATION-001 fact=DIS-004-toc-category page=wiki/diseases/DIS-004-astroviruses.md]。该疾病在教材中的章节起始页码为第481页 [source=SRC-0001 rule=RC-CITATION-001 fact=DIS-004-toc-page-anchor page=wiki/diseases/DIS-004-astroviruses.md]。 / Answer boundary: 当前证据仅支持上述分类信息和参考位置，未提供关于临床症状、诊断方法、治疗方案、产品使用、安全间隔期或官方措施的内容。 / Do not extend: 不得添加任何未经引用的诊断细节、用药方案、残留限量、运输限制或官方处置指令。 / Citation anchors: source=SRC-0001 rule=RC-CITATION-001 fact=DIS-004-toc-category page=wiki/diseases/DIS-004-astroviruses.md; source=SRC-0001 rule=RC-CITATION-001 fact=DIS-004-toc-page-anchor page=wiki/diseases/DIS-004-astroviruses.md","2","authoritative","complete","diagnostic","real-api","hunyuan-turbos-20250926","phase14.two_stage.v2"
"GEN-000009","PLAN-DIS-004-0002","L2_diagnosis_support","DIS-004","disease","Explain the diagnosis-support points and limits for DIS-004 using registered Wiki evidence.","Diagnosis-support evidence: The disease DIS-004 is classified as a viral infection—specifically porcine astrovirus infection—based on its category assignment [source=SRC-0001, rule=RC-CITATION-001, fact=DIS-004-toc-category, page=wiki/diseases/DIS-004-astroviruses.md]. Diagnostic boundary: This classification indicates that DIS-004 falls within the group of viral diseases, but the current evidence does not specify clinical signs, diagnostic tests, differential diagnoses, or management measures; these aspects remain outside the scope of the provided information.","Diagnosis-support evidence: 猪星状病毒感染；category；病毒病 [source=SRC-0001 rule=RC-CITATION-001 fact=DIS-004-toc-category page=wiki/diseases/DIS-004-astroviruses.md]。猪星状病毒感染；textbook_chapter_start_page；481 [source=SRC-0001 rule=RC-CITATION-001 fact=DIS-004-toc-page-anchor page=wiki/diseases/DIS-004-astroviruses.md]。 / Diagnostic boundary: 这些事实支持将DIS-004归类为病毒性疾病，但现有证据未提供临床症状、诊断检测方法、鉴别诊断或管理措施等信息。因此，无法基于当前资料做出最终诊断。 / Do not infer: 不得推断病因、病原体、治疗方案、产品使用、休药期、残留限量或官方行动等超出引用事实的内容。 / Citation anchors: source=SRC-0001 rule=RC-CITATION-001 fact=DIS-004-toc-category page=wiki/diseases/DIS-004-astroviruses.md; source=SRC-0001 rule=RC-CITATION-001 fact=DIS-004-toc-page-anchor page=wiki/diseases/DIS-004-astroviruses.md","2","authoritative","complete","diagnostic","real-api","hunyuan-turbos-20250926","phase14.two_stage.v2"
"GEN-000010","PLAN-DIS-004-0003","L3_differential_support","DIS-004","disease","Explain the differential diagnosis boundary for DIS-004 using registered Wiki evidence.","The differential-boundary evidence indicates that porcine astrovirus infection (DIS-004) is classified under viral diseases [source=SRC-0001, rule=RC-CITATION-001, fact=DIS-004-toc-category, page=wiki/diseases/DIS-004-astroviruses.md]. The textbook chapter discussing this disease begins on page 481 [source=SRC-0001, rule=RC-CITATION-001, fact=DIS-004-toc-page-anchor, page=wiki/diseases/DIS-004-astroviruses.md]. /  / Differential boundary: This confirms the category placement but does not provide clinical diagnostic criteria, pathogenesis details, treatment recommendations, or regulatory actions. /  / Do not over-diagnose: No dose, withdrawal period, MRL, or therapeutic guidance can be inferred; these remain outside the current evidence scope.","Differential-boundary evidence: 猪星状病毒感染；category；病毒病 [source=SRC-0001 rule=RC-CITATION-001 fact=DIS-004-toc-category page=wiki/diseases/DIS-004-astroviruses.md] 猪星状病毒感染；textbook_chapter_start_page；481 [source=SRC-0001 rule=RC-CITATION-001 fact=DIS-004-toc-page-anchor page=wiki/diseases/DIS-004-astroviruses.md] / Differential boundary: 这些事实定义了猪星状病毒感染在分类学上属于病毒性疾病，并可在教科书第481页找到相关章节。但证据未提供临床鉴别特征、发病机制、治疗方案或监管措施。 / Do not over-diagnose: 不得基于当前证据推断剂量疗程、停药期、最大残留限量（MRL）、治疗选择或官方处置行动。 / Citation anchors: source=SRC-0001 rule=RC-CITATION-001 fact=DIS-004-toc-category page=wiki/diseases/DIS-004-astroviruses.md; source=SRC-0001 rule=RC-CITATION-001 fact=DIS-004-toc-page-anchor page=wiki/diseases/DIS-004-astroviruses.md","2","authoritative","complete","diagnostic","real-api","hunyuan-turbos-20250926","phase14.two_stage.v2"
"GEN-000011","PLAN-DIS-004-0004","L4_control_boundary","DIS-004","disease","Explain the control boundary for DIS-004 using registered Wiki evidence.","The disease entity DIS-004 is classified under viral diseases (source=SRC-0001, rule=RC-CITATION-001, fact=DIS-004-toc-category, page=wiki/diseases/DIS-004-astroviruses.md). The textbook chapter discussing this virus begins on page 481 (source=SRC-0001, rule=RC-CITATION-001, fact=DIS-004-toc-page-anchor, page=wiki/diseases/DIS-004-astroviruses.md). /  / Control boundary: Based on the evidence, DIS-004 falls within the category of viral diseases, and its discussion starts at a defined location in a reference text. No information is present regarding diagnostic thresholds, treatment protocols, withdrawal intervals, regulatory actions, or specific control measures. /  / Do not prescribe beyond evidence: This response does not provide or imply any dosage regimen, therapeutic recommendation, safety interval, residue limit, or official regulatory directive.","Control-boundary evidence: 猪星状病毒感染；category；病毒病 [source=SRC-0001 rule=RC-CITATION-001 fact=DIS-004-toc-category page=wiki/diseases/DIS-004-astroviruses.md] 猪星状病毒感染；textbook_chapter_start_page；481 [source=SRC-0001 rule=RC-CITATION-001 fact=DIS-004-toc-page-anchor page=wiki/diseases/DIS-004-astroviruses.md] / Control boundary: The evidence confirms that DIS-004 belongs to the viral disease category and identifies where it is discussed in a reference text. It does not provide data on clinical presentation, diagnostic criteria, treatment options, withdrawal periods, residue limits, or regulatory directives. / Do not prescribe beyond evidence: Do not infer or apply any dose regimens, therapeutic recommendations, safety intervals, residue tolerances, or official control measures based solely on this evidence. / Citation anchors: source=SRC-0001 rule=RC-CITATION-001 fact=DIS-004-toc-category page=wiki/diseases/DIS-004-astroviruses.md; source=SRC-0001 rule=RC-CITATION-001 fact=DIS-004-toc-page-anchor page=wiki/diseases/DIS-004-astroviruses.md","2","authoritative","complete","diagnostic","real-api","hunyuan-turbos-20250926","phase14.two_stage.v2"
"GEN-000014","PLAN-DIS-007-0001","L1_retrieval_grounded","DIS-007","disease","Summarize core knowledge for DIS-007 using registered Wiki evidence.","Based on registered evidence, the disease identified as DIS-007 is categorized under viral diseases (source=SRC-0001, rule=RC-CITATION-001, fact=DIS-007-toc-category, page=wiki/diseases/DIS-007-circoviruses-pvcad.md). The textbook chapter discussing this condition begins at page 497 (source=SRC-0001, rule=RC-CITATION-001, fact=DIS-007-toc-page-anchor, page=wiki/diseases/DIS-007-circoviruses-pvcad.md). No additional clinical, diagnostic, treatment, or regulatory details are supported by the current evidence.","Evidence basis: 猪圆环病毒相关疾病属于病毒病 [source=SRC-0001 rule=RC-CITATION-001 fact=DIS-007-toc-category page=wiki/diseases/DIS-007-circoviruses-pcvad.md]。该疾病在教材中的章节起始页码为497页 [source=SRC-0001 rule=RC-CITATION-001 fact=DIS-007-toc-page-anchor page=wiki/diseases/DIS-007-circoviruses-pcvad.md]。 / Answer boundary: 当前证据仅支持疾病类别归属及教材章节位置，未提供临床特征、诊断方法、治疗方案或监管措施等信息。 / Do not extend: 不得基于现有证据推断或添加诊断标准、用药方案、安全间隔期、残留限量或官方处置行动。 / Citation anchors: source=SRC-0001 rule=RC-CITATION-001 fact=DIS-007-toc-category page=wiki/diseases/DIS-007-circoviruses-pvcad.md; source=SRC-0001 rule=RC-CITATION-001 fact=DIS-007-toc-page-anchor page=wiki/diseases/DIS-007-circoviruses-pvcad.md","2","authoritative","complete","diagnostic","real-api","hunyuan-turbos-20250926","phase14.two_stage.v2"
