sample_id,final_decision,reject_reason
GEN-000001,rejected,structure:anchor_0_missing_rule_card_id
GEN-000001,rejected,structure:anchor_1_missing_rule_card_id
GEN-000001,rejected,fact:answer_missing_rule_citation
GEN-000001,rejected,judge:deterministic_placeholder_failed
GEN-000003,rejected,hard_gate:executive_content_missing_a0_source
GEN-000003,rejected,judge:deterministic_placeholder_failed
GEN-000004,rejected,hard_gate:executive_content_missing_a0_source
GEN-000004,rejected,judge:deterministic_placeholder_failed
GEN-000005,rejected,hard_gate:executive_content_missing_a0_source
GEN-000005,rejected,judge:deterministic_placeholder_failed
GEN-000006,rejected,hard_gate:executive_content_missing_a0_source
GEN-000006,rejected,judge:deterministic_placeholder_failed
GEN-000007,rejected,structure:anchor_0_missing_rule_card_id
GEN-000007,rejected,structure:anchor_1_missing_rule_card_id
GEN-000007,rejected,fact:answer_missing_rule_citation
GEN-000007,rejected,judge:deterministic_placeholder_failed
GEN-000002,rejected,structure:anchor_0_missing_rule_card_id
GEN-000002,rejected,structure:anchor_1_missing_rule_card_id
GEN-000002,rejected,fact:answer_missing_rule_citation
GEN-000002,rejected,judge:deterministic_placeholder_failed
GEN-000003,rejected,structure:anchor_0_missing_rule_card_id
GEN-000003,rejected,structure:anchor_1_missing_rule_card_id
GEN-000003,rejected,fact:answer_missing_rule_citation
GEN-000003,rejected,judge:deterministic_placeholder_failed
GEN-000006,rejected,structure:anchor_0_missing_rule_card_id
GEN-000006,rejected,structure:anchor_1_missing_rule_card_id
GEN-000006,rejected,structure:anchor_2_missing_rule_card_id
GEN-000006,rejected,fact:answer_missing_rule_citation
GEN-000006,rejected,judge:deterministic_placeholder_failed
GEN-000001,rejected,structure:anchor_0_missing_rule_card_id
GEN-000001,rejected,structure:anchor_1_missing_rule_card_id
GEN-000001,rejected,fact:answer_missing_rule_citation
GEN-000001,rejected,judge:deterministic_placeholder_failed
GEN-000002,rejected,structure:anchor_0_missing_rule_card_id
GEN-000002,rejected,structure:anchor_1_missing_rule_card_id
GEN-000002,rejected,fact:answer_missing_rule_citation
GEN-000002,rejected,judge:deterministic_placeholder_failed
GEN-000003,rejected,hard_gate:executive_content_missing_a0_source
GEN-000003,rejected,judge:deterministic_placeholder_failed
GEN-000004,rejected,hard_gate:executive_content_missing_a0_source
GEN-000004,rejected,judge:deterministic_placeholder_failed
GEN-000005,rejected,hard_gate:executive_content_missing_a0_source
GEN-000005,rejected,judge:deterministic_placeholder_failed
GEN-000006,rejected,hard_gate:executive_content_missing_a0_source
GEN-000006,rejected,judge:deterministic_placeholder_failed
GEN-000007,rejected,hard_gate:executive_content_missing_a0_source
GEN-000007,rejected,judge:deterministic_placeholder_failed
GEN-000008,rejected,hard_gate:executive_content_missing_a0_source
GEN-000008,rejected,judge:deterministic_placeholder_failed
GEN-000009,rejected,structure:anchor_0_missing_rule_card_id
GEN-000009,rejected,structure:anchor_1_missing_rule_card_id
GEN-000009,rejected,fact:answer_missing_rule_citation
GEN-000009,rejected,judge:deterministic_placeholder_failed
GEN-000010,rejected,structure:anchor_0_missing_rule_card_id
GEN-000010,rejected,structure:anchor_1_missing_rule_card_id
GEN-000010,rejected,fact:answer_missing_rule_citation
GEN-000010,rejected,judge:deterministic_placeholder_failed
