sample_id,final_decision,reject_reason
REALAPI30-006,rejected,hard_gate:executive_content_missing_a0_source
REALAPI30-006,rejected,judge:deterministic_placeholder_failed
REALAPI30-007,rejected,fact:sample_source_trust_not_authoritative
REALAPI30-007,rejected,fact:answer_missing_fact_citation
REALAPI30-007,rejected,judge:deterministic_placeholder_failed
REALAPI30-013,rejected,hard_gate:executive_content_missing_a0_source
REALAPI30-013,rejected,judge:deterministic_placeholder_failed
REALAPI30-014,rejected,fact:sample_source_trust_not_authoritative
REALAPI30-014,rejected,fact:answer_missing_fact_citation
REALAPI30-014,rejected,judge:deterministic_placeholder_failed
REALAPI30-020,rejected,hard_gate:executive_content_missing_a0_source
REALAPI30-020,rejected,judge:deterministic_placeholder_failed
REALAPI30-021,rejected,fact:sample_source_trust_not_authoritative
REALAPI30-021,rejected,fact:answer_missing_fact_citation
REALAPI30-021,rejected,judge:deterministic_placeholder_failed
REALAPI30-027,rejected,hard_gate:executive_content_missing_a0_source
REALAPI30-027,rejected,judge:deterministic_placeholder_failed
REALAPI30-028,rejected,fact:sample_source_trust_not_authoritative
REALAPI30-028,rejected,fact:answer_missing_fact_citation
REALAPI30-028,rejected,judge:deterministic_placeholder_failed
