metric,value
generated_count,30
evaluated_count,30
accepted,22
rejected,8
anchor_preserved_count,8
L2_diagnosis_support_total,5
L2_diagnosis_support_accepted,5
L2_diagnosis_support_rejected,0
L3_differential_support_total,5
L3_differential_support_accepted,5
L3_differential_support_rejected,0
L4_control_boundary_total,5
L4_control_boundary_accepted,5
L4_control_boundary_rejected,0
L5_drug_boundary_negative_total,5
L5_drug_boundary_negative_accepted,5
L5_drug_boundary_negative_rejected,0
L6_regulatory_guardrail_total,4
L6_regulatory_guardrail_accepted,0
L6_regulatory_guardrail_rejected,4
L7_judge_calibration_total,4
L7_judge_calibration_accepted,0
L7_judge_calibration_rejected,4
L1_retrieval_grounded_total,2
L1_retrieval_grounded_accepted,2
L1_retrieval_grounded_rejected,0
