entity,drug_page,title,url,field,status,content_type,bytes,text_chars,html_file,text_file,attachment_file,skipped,retrieved_at
"替米考星",wiki/drugs/DRUG-045-tilmicosin.md,"农业农村部公告第70号 替米考星预混剂进口再注册",https://www.moa.gov.cn/nybgb/2018/201811/201901/t20190102_6165919.htm,"进口再注册;质量标准;说明书;标签",200,text/html,118850,18133,pages_html\a3cf24c30c8b_t20190102_6165919.htm.html,pages_text\a3cf24c30c8b_t20190102_6165919.htm.html.txt,,,2026-05-08T09:16:21
"替米考星",wiki/drugs/DRUG-045-tilmicosin.md,"替米考星预混剂说明书/标签 PDF",https://www.moa.gov.cn/govpublic/xmsyj/202501/P020250106406726821410.pdf,"进口再注册;说明书;标签附件",200,application/pdf,225435,0,,,attachments\1d57d4e09d5d_P020250106406726821410.pdf,,2026-05-08T09:16:22
"头孢喹肟",wiki/drugs/DRUG-044-cefquinome.md,"硫酸头孢喹肟注射液说明书/标签 PDF",https://www.moa.gov.cn/govpublic/xmsyj/202403/P020240318411263940772.pdf,"进口注册;处方药;说明书;标签",200,application/pdf,397346,0,,,attachments\f9ed11fd3fa8_P020240318411263940772.pdf,,2026-05-08T09:16:24
"头孢喹肟",wiki/drugs/DRUG-044-cefquinome.md,"农业部公告第661号 硫酸头孢喹肟注射液进口注册",https://www.moa.gov.cn/gk/tzgg_1/gg/200607/t20060704_641878.htm,"注册/进口注册;质量标准;标签/说明书",200,text/html,34306,1238,pages_html\592917eeae67_t20060704_641878.htm.html,pages_text\592917eeae67_t20060704_641878.htm.html.txt,,,2026-05-08T09:16:28
"氨苄西林",wiki/drugs/DRUG-042-ampicillin.md,"农业部公告第278号 兽药国家标准和部分品种停药期规定",https://www.moa.gov.cn/gk/tzgg_1/gg/200306/t20030611_90514.htm,"停药期;国家标准;历史公告",200,text/html,637289,12919,pages_html\0deb27262333_t20030611_90514.htm.html,pages_text\0deb27262333_t20030611_90514.htm.html.txt,,,2026-05-08T09:16:29
"氨苄西林",wiki/drugs/DRUG-042-ampicillin.md,"农业农村部规章 兽药标签和说明书管理办法",https://www.moa.gov.cn/gk/nyncbgzk/gzk/202210/t20221012_6413171.htm,"标签/说明书;管理办法",200,text/html,74723,10706,pages_html\fb21bdae3433_t20221012_6413171.htm.html,pages_text\fb21bdae3433_t20221012_6413171.htm.html.txt,,,2026-05-08T09:16:33
"甲氧苄啶-磺胺二甲嘧啶-磺胺噻唑组合",wiki/drugs/DRUG-041-sulfadimidine-sulfathiazole-combinations.md,"农业部公告第2471号 兽用处方药品种目录（第二批）",https://www.moa.gov.cn/govpublic/SYJ/201612/t20161201_5386856.htm,"处方药;目录;处方药标识",200,text/html,66649,6332,pages_html\1c3be3bf0a62_t20161201_5386856.htm.html,pages_text\1c3be3bf0a62_t20161201_5386856.htm.html.txt,,,2026-05-08T09:16:36
"磺胺类组合/兽药残留",wiki/drugs/DRUG-041-sulfadimidine-sulfathiazole-combinations.md,"农业农村部关于印发2025年兽药质量监督抽检和风险监测等3个计划的通知",https://www.moa.gov.cn/ztzl/sqxzjcgs/xzjcbz/202507/t20250702_6475363.htm,"兽药质量;风险监测;抽检;MRL边界",200,text/html,1174171,30803,pages_html\d2f3aadaa2f7_t20250702_6475363.htm.html,pages_text\d2f3aadaa2f7_t20250702_6475363.htm.html.txt,,,2026-05-08T09:16:50
"磺胺二甲嘧啶/磺胺噻唑",wiki/drugs/DRUG-041-sulfadimidine-sulfathiazole-combinations.md,"农业农村部公告第183号 食品动物中禁止使用的药品及其他化合物清单相关边界",https://www.moa.gov.cn/nybgb/2019/201907/202001/t20200106_6334358.htm,"MRL和不得检出边界;残留监测",200,text/html,137317,20149,pages_html\87c8e98f173a_t20200106_6334358.htm.html,pages_text\87c8e98f173a_t20200106_6334358.htm.html.txt,,,2026-05-08T09:16:52
"磺胺二甲氧嘧啶",wiki/drugs/DRUG-039-sulfadimethoxine.md,"农业部公告第278号 兽药国家标准和部分品种停药期规定",https://www.moa.gov.cn/gk/tzgg_1/gg/200306/t20030611_90514.htm,"停药期规定;标准/历史公告",200,text/html,637289,12919,pages_html\0deb27262333_t20030611_90514.htm.html,pages_text\0deb27262333_t20030611_90514.htm.html.txt,,,2026-05-08T09:16:55
"磺胺二甲氧嘧啶",wiki/drugs/DRUG-039-sulfadimethoxine.md,"兽药标签和说明书编写细则",https://www.moa.gov.cn/gk/tzgg_1/gg/200302/t20030208_52632.htm,"标签说明书;适应证外推边界",200,text/html,48148,7364,pages_html\89d80810d35a_t20030208_52632.htm.html,pages_text\89d80810d35a_t20030208_52632.htm.html.txt,,,2026-05-08T09:16:56
