link_text,url,source_page,status,content_type,bytes,file,error
农办牧〔2019〕41号.ceb,https://www.moa.gov.cn/ztzl/fzzwfk/gzdt/201904/P020190428352923877462.ceb,https://www.moa.gov.cn/ztzl/fzzwfk/gzdt/201904/t20190428_6212985.htm,200,application/octet-stream,15317,attachments\241adc8d469c_P020190428352923877462.ceb.ceb,
农办牧〔2019〕39号.ceb,https://www.moa.gov.cn/ztzl/fzzwfk/gzdt/201904/P020190418597432128111.ceb,https://www.moa.gov.cn/ztzl/fzzwfk/gzdt/201904/t20190418_6190075.htm,200,application/octet-stream,15769,attachments\eae9928a102f_P020190418597432128111.ceb.ceb,
P020190318339350274711.ceb,https://www.moa.gov.cn/ztzl/fzzwfk/gzdt/201903/P020190319509367538707.ceb,https://www.moa.gov.cn/ztzl/fzzwfk/gzdt/201903/t20190319_6176857.htm,200,application/octet-stream,43147,attachments\bffdb56b6ae2_P020190319509367538707.ceb.ceb,
农办牧〔2019〕12号.CEB,https://www.moa.gov.cn/ztzl/fzzwfk/zcfg/201902/P020190218418855895942.ceb,https://www.moa.gov.cn/ztzl/fzzwfk/zcfg/201902/t20190218_6172054.htm,200,application/octet-stream,16557,attachments\442aea19762c_P020190218418855895942.ceb.ceb,
农业农村部关于印发《非洲猪瘟疫情应急实施方案（2019年版）》的通知（农牧发〔2019〕5号）.CEB,https://www.moa.gov.cn/govpublic/SYJ/201901/P020190129421632167788.ceb,http://www.moa.gov.cn/govpublic/SYJ/201901/t20190129_6170838.htm,200,application/octet-stream,60895,attachments\3019a6344281_P020190129421632167788.ceb.ceb,
农办牧〔2019〕7号.CEB,https://www.moa.gov.cn/ztzl/fzzwfk/gzdt/201901/P020190125632391328275.ceb,https://www.moa.gov.cn/ztzl/fzzwfk/gzdt/201901/t20190125_6170764.htm,200,application/octet-stream,15054,attachments\764b8fc335d0_P020190125632391328275.ceb.ceb,
农办牧[2019]8号.CEB,https://www.moa.gov.cn/govpublic/SYJ/201901/P020190118685608228235.ceb,http://www.moa.gov.cn/govpublic/SYJ/201901/t20190118_6170359.htm,200,application/octet-stream,48389,attachments\e1664cd648f8_P020190118685608228235.ceb.ceb,
农办牧〔2019〕3号.CEB,https://www.moa.gov.cn/govpublic/SYJ/201901/P020190103515657889881.ceb,http://www.moa.gov.cn/govpublic/SYJ/201901/t20190103_6166048.htm,200,application/octet-stream,10460,attachments\ed79b021a3f4_P020190103515657889881.ceb.ceb,
附件.doc,https://www.moa.gov.cn/ztzl/fzzwfk/gzdt/201901/P020190103444690367074.doc,https://www.moa.gov.cn/ztzl/fzzwfk/gzdt/201901/t20190103_6166038.htm,200,application/msword,297984,attachments\ab492d8f4884_P020190103444690367074.doc.doc,
农办牧〔2018〕66号.CEB,https://www.moa.gov.cn/gk/tzgg_1/tfw/201812/P020181218360514507223.ceb,http://www.moa.gov.cn/gk/tzgg_1/tfw/201812/t20181218_6165085.htm,200,application/octet-stream,12782,attachments\9275a0275f6a_P020181218360514507223.ceb.ceb,
农办牧〔2018〕71号.CEB,https://www.moa.gov.cn/ztzl/fzzwfk/gzdt/201811/P020181128596758965078.ceb,https://www.moa.gov.cn/ztzl/fzzwfk/gzdt/201811/t20181128_6163913.htm,200,application/octet-stream,52924,attachments\9e66d9b43e68_P020181128596758965078.ceb.ceb,
农牧发〔2018〕14号.CEB,https://www.moa.gov.cn/govpublic/SYJ/201811/P020181206568421581267.ceb,http://www.moa.gov.cn/govpublic/SYJ/201811/t20181121_6163388.htm,200,application/octet-stream,17672,attachments\d6d2322a8024_P020181206568421581267.ceb.ceb,
direct search result,https://www.moa.gov.cn/ztzl/fzzwfk/gzjl/201906/P020190624400227144397.pdf,direct_suffix_search_result,200,application/pdf,1837323,attachments\13880fc73203_P020190624400227144397.pdf.pdf,
农办牧〔2019〕41号.ceb,https://www.moa.gov.cn/ztzl/fzzwfk/zcfg/201904/P020190428353609350716.ceb,https://www.moa.gov.cn/ztzl/fzzwfk/zcfg/201904/t20190428_6212986.htm,200,application/octet-stream,15317,attachments\fdf2a9275df1_P020190428353609350716.ceb.ceb,
农办牧〔2019〕39号.ceb,https://www.moa.gov.cn/ztzl/fzzwfk/zcfg/201904/P020190428355719218381.ceb,https://www.moa.gov.cn/ztzl/fzzwfk/zcfg/201904/t20190428_6212987.htm,200,application/octet-stream,15769,attachments\c2db67b5f238_P020190428355719218381.ceb.ceb,
P020190319509367538707.ceb,https://www.moa.gov.cn/ztzl/fzzwfk/zcfg/201903/P020190319511266951168.ceb,https://www.moa.gov.cn/ztzl/fzzwfk/zcfg/201903/t20190319_6176858.htm,200,application/octet-stream,43147,attachments\83297a979360_P020190319511266951168.ceb.ceb,
农办牧〔2018〕54号.CEB,https://www.moa.gov.cn/gk/tzgg_1/tfw/201810/P020181026503512665000.ceb,http://www.moa.gov.cn/gk/tzgg_1/tfw/201810/t20181026_6161573.htm,200,application/octet-stream,14537,attachments\d64f27d43fa6_P020181026503512665000.ceb.ceb,
农办医〔2018〕38号.CEB,https://www.moa.gov.cn/govpublic/SYJ/201808/P020180810423443607821.ceb,https://www.moa.gov.cn/govpublic/SYJ/201808/t20180810_6155550.htm,200,application/octet-stream,14573,attachments\295b41bdd339_P020180810423443607821.ceb.ceb,
农办医〔2017〕14号.CEB,https://www.moa.gov.cn/govpublic/SYJ/201704/P020170412544949191227.ceb,https://www.moa.gov.cn/govpublic/SYJ/201704/t20170412_5557878.htm,200,application/octet-stream,15328,attachments\a55a6fc9abd3_P020170412544949191227.ceb.ceb,
农医发31.CEB,https://www.moa.gov.cn/zxfile/reader?file=https://www.moa.gov.cn/govpublic/SYJ/201511/P020151125628261658854.ceb,https://www.moa.gov.cn/govpublic/SYJ/201511/t20151125_4914796.htm,200,text/html;charset=UTF-8,15411,attachments\94a163b50caf_reader.bin,
非洲猪瘟防控远程培训-典型案例通报解读.pdf,https://www.moa.gov.cn/ztzl/fzzwfk/fkzs/201901/P020190110525787347637.pdf,https://www.moa.gov.cn/ztzl/fzzwfk/fkzs/201901/t20190110_6166424.htm,200,application/pdf,2499078,attachments\581b301129e8_P020190110525787347637.pdf.pdf,
非洲猪瘟防控远程培训-典型案例通报解读.pdf,https://www.moa.gov.cn/ztzl/fzzwfk/rdgz/201901/P020190110529171778929.pdf,https://www.moa.gov.cn/ztzl/fzzwfk/rdgz/201901/t20190110_6166426.htm,200,application/pdf,2499078,attachments\af7384b4c02e_P020190110529171778929.pdf.pdf,
农办牧14号附件1.docx,https://www.moa.gov.cn/nybgb/2021/202103/202110/P020211019477882187625.docx,https://www.moa.gov.cn/nybgb/2021/202103/202110/t20211019_6379752.htm,200,application/vnd.openxmlformats-officedocument.wordprocessingml.document,13303,attachments\f62cbb54c241_P020211019477882187625.docx.docx,
农办牧14号附件2.docx,https://www.moa.gov.cn/nybgb/2021/202103/202110/P020211019477882597316.docx,https://www.moa.gov.cn/nybgb/2021/202103/202110/t20211019_6379752.htm,200,application/vnd.openxmlformats-officedocument.wordprocessingml.document,12869,attachments\eb4bef8766a4_P020211019477882597316.docx.docx,
农办牧14号附件3.docx,https://www.moa.gov.cn/nybgb/2021/202103/202110/P020211019477882826080.docx,https://www.moa.gov.cn/nybgb/2021/202103/202110/t20211019_6379752.htm,200,application/vnd.openxmlformats-officedocument.wordprocessingml.document,12370,attachments\464245d2bb44_P020211019477882826080.docx.docx,
