title,url,final_url,matched,discovery_method,discovered_from,anchor_text,status,text_chars,attachments,html_file,text_file,skipped,is_direct_attachment,attachment_file,bytes,content_type
农业农村部办公厅 市场监督管理总局办公厅 关于做好非洲猪瘟病毒检测结果通报和发布的通知,https://www.moa.gov.cn/ztzl/fzzwfk/gzdt/201905/t20190516_6305477.htm,https://www.moa.gov.cn/ztzl/fzzwfk/gzdt/201905/t20190516_6305477.htm,"['非洲猪瘟 + 通知', '非洲猪瘟 + 公告', '非洲猪瘟 + 通报']",moa_topic_anchor_asf_plus_suffix,https://www.moa.gov.cn/ztzl/fzzwfk/gzdt/,农业农村部办公厅 市场监督管理总局办公厅 关于做好非洲猪瘟病毒检测结果通报和...,200,831,0,pages_html\d0074f0a1c50_t20190516_6305477.htm.html,pages_text\d0074f0a1c50_t20190516_6305477.htm.txt,,,,,
农业农村部办公厅关于加强国家非洲猪瘟相关实验室管理的通知,https://www.moa.gov.cn/ztzl/fzzwfk/gzdt/201904/t20190428_6212985.htm,https://www.moa.gov.cn/ztzl/fzzwfk/gzdt/201904/t20190428_6212985.htm,['非洲猪瘟 + 通知'],moa_topic_anchor_asf_plus_suffix,https://www.moa.gov.cn/ztzl/fzzwfk/gzdt/,农业农村部办公厅关于加强国家非洲猪瘟相关实验室管理的通知,200,1315,1,pages_html\dac89de48f64_t20190428_6212985.htm.html,pages_text\dac89de48f64_t20190428_6212985.htm.txt,,,,,
农业农村部办公厅关于加强养殖环节非洲猪瘟疫情排查工作的通知,https://www.moa.gov.cn/ztzl/fzzwfk/gzdt/201904/t20190418_6190075.htm,https://www.moa.gov.cn/ztzl/fzzwfk/gzdt/201904/t20190418_6190075.htm,"['非洲猪瘟 + 通知', '非洲猪瘟 + 通报', '非洲猪瘟 + 实施方案']",moa_topic_anchor_asf_plus_suffix,https://www.moa.gov.cn/ztzl/fzzwfk/gzdt/index_1.htm,农业农村部办公厅关于加强养殖环节非洲猪瘟疫情排查工作的通知,200,1348,1,pages_html\f1b9c2b0b1c1_t20190418_6190075.htm.html,pages_text\f1b9c2b0b1c1_t20190418_6190075.htm.txt,,,,,
农业农村部关于加强屠宰环节非洲猪瘟检测工作的通知,https://www.moa.gov.cn/ztzl/fzzwfk/gzdt/201903/t20190319_6176857.htm,https://www.moa.gov.cn/ztzl/fzzwfk/gzdt/201903/t20190319_6176857.htm,"['非洲猪瘟 + 通知', '非洲猪瘟 + 公告', '非洲猪瘟 + 实施方案']",moa_topic_anchor_asf_plus_suffix,https://www.moa.gov.cn/ztzl/fzzwfk/gzdt/index_1.htm,农业农村部关于加强屠宰环节非洲猪瘟检测工作的通知,200,1713,1,pages_html\97d5386ae652_t20190319_6176857.htm.html,pages_text\97d5386ae652_t20190319_6176857.htm.txt,,,,,
农业农村部办公厅关于加强非洲猪瘟病毒相关实验活动生物安全监管工作的通知,https://www.moa.gov.cn/ztzl/fzzwfk/zcfg/201902/t20190218_6172054.htm,https://www.moa.gov.cn/ztzl/fzzwfk/zcfg/201902/t20190218_6172054.htm,['非洲猪瘟 + 通知'],moa_topic_anchor_asf_plus_suffix,https://www.moa.gov.cn/ztzl/fzzwfk/gzdt/index_2.htm,农业农村部办公厅关于加强非洲猪瘟病毒相关实验活动生物安全监管工作的通知,200,1499,1,pages_html\31a771515f04_t20190218_6172054.htm.html,pages_text\31a771515f04_t20190218_6172054.htm.txt,,,,,
农业农村部畜牧兽医局有关负责人就《非洲猪瘟疫情应急实施方案（2019版）》答记者问,http://www.moa.gov.cn/xw/zwdt/201902/t20190202_6171163.htm,https://www.moa.gov.cn/xw/zwdt/201902/t20190202_6171163.htm,"['非洲猪瘟 + 通知', '非洲猪瘟 + 实施方案']",moa_topic_anchor_asf_plus_suffix,https://www.moa.gov.cn/ztzl/fzzwfk/gzdt/index_2.htm,农业农村部畜牧兽医局有关负责人就《非洲猪瘟疫情应急实施方案（2019版）》答记者问,200,2189,0,pages_html\d0ba05dd2a16_t20190202_6171163.htm.html,pages_text\d0ba05dd2a16_t20190202_6171163.htm.txt,,,,,
农业农村部关于印发《非洲猪瘟疫情应急实施方案（2019年版）》的通知,http://www.moa.gov.cn/govpublic/SYJ/201901/t20190129_6170838.htm,https://www.moa.gov.cn/govpublic/SYJ/201901/t20190129_6170838.htm,"['非洲猪瘟 + 通知', '非洲猪瘟 + 实施方案']",moa_topic_anchor_asf_plus_suffix,https://www.moa.gov.cn/ztzl/fzzwfk/gzdt/index_3.htm,农业农村部关于印发《非洲猪瘟疫情应急实施方案（2019年版）》的通知,200,302,1,pages_html\d782fe519283_t20190129_6170838.htm.html,pages_text\d782fe519283_t20190129_6170838.htm.txt,,,,,
农业农村部办公厅关于进一步加强非洲猪瘟综合防控技术科研攻关的通知,https://www.moa.gov.cn/ztzl/fzzwfk/gzdt/201901/t20190125_6170764.htm,https://www.moa.gov.cn/ztzl/fzzwfk/gzdt/201901/t20190125_6170764.htm,['非洲猪瘟 + 通知'],moa_topic_anchor_asf_plus_suffix,https://www.moa.gov.cn/ztzl/fzzwfk/gzdt/index_3.htm,农业农村部办公厅关于进一步加强非洲猪瘟综合防控技术科研攻关的通知,200,1153,1,pages_html\667841ff5cbf_t20190125_6170764.htm.html,pages_text\667841ff5cbf_t20190125_6170764.htm.txt,,,,,
农业农村部办公厅关于近期两起规模养殖企业非洲猪瘟疫情调查情况的通报,http://www.moa.gov.cn/govpublic/SYJ/201901/t20190118_6170359.htm,https://www.moa.gov.cn/govpublic/SYJ/201901/t20190118_6170359.htm,['非洲猪瘟 + 通报'],moa_topic_anchor_asf_plus_suffix,https://www.moa.gov.cn/ztzl/fzzwfk/gzdt/index_3.htm,农业农村部办公厅关于近期两起规模养殖企业非洲猪瘟疫情调查情况的通报,200,1985,1,pages_html\df2e6787c570_t20190118_6170359.htm.html,pages_text\df2e6787c570_t20190118_6170359.htm.txt,,,,,
农业农村部畜牧兽医局关于国家非洲猪瘟参考实验室候选实验室基本情况公示的通知,https://www.moa.gov.cn/ztzl/fzzwfk/gzdt/201901/t20190115_6166664.htm,https://www.moa.gov.cn/ztzl/fzzwfk/gzdt/201901/t20190115_6166664.htm,['非洲猪瘟 + 通知'],moa_topic_anchor_asf_plus_suffix,https://www.moa.gov.cn/ztzl/fzzwfk/gzdt/index_4.htm,农业农村部畜牧兽医局关于国家非洲猪瘟参考实验室候选实验室基本情况公示的通知,200,571,0,pages_html\5e7d06caa959_t20190115_6166664.htm.html,pages_text\5e7d06caa959_t20190115_6166664.htm.txt,,,,,
农业农村部办公厅关于非洲猪瘟病毒检测试剂盒有关事宜的通知,http://www.moa.gov.cn/govpublic/SYJ/201901/t20190103_6166048.htm,https://www.moa.gov.cn/govpublic/SYJ/201901/t20190103_6166048.htm,['非洲猪瘟 + 通知'],moa_topic_anchor_asf_plus_suffix,https://www.moa.gov.cn/ztzl/fzzwfk/gzdt/index_5.htm,农业农村部办公厅关于非洲猪瘟病毒检测试剂盒有关事宜的通知,200,2939,1,pages_html\ddcf15e32d4f_t20190103_6166048.htm.html,pages_text\ddcf15e32d4f_t20190103_6166048.htm.txt,,,,,
