entity_id,entity_name,entity_type,query,title,url,summary,doc_date,channel,file_type,source_site,api_attachments,score,matched_terms,error
DIS-018,猪伪狂犬病,disease,猪伪狂犬病通知,生猪养殖降本增效技术指导意见,https://www.moa.gov.cn/gk/nszd_1/2025n/202512/t20251203_6479419.htm,猪伪狂犬病...,2025-12-03,新闻,html,www.moa.gov.cn,{},-15,entity_in_summary;disease_title_miss,
DIS-018,猪伪狂犬病,disease,猪伪狂犬病通知,春季生猪常见疫病防控技术指南,https://xmsyj.moa.gov.cn/zcjd/202103/t20210304_6362923.htm,猪伪狂犬病是由伪狂犬病病毒引起猪的一种高度接触性传染病...,2021-03-04,政策,html,xmsyj.moa.gov.cn,{},28,entity_in_summary;disease_title_miss;suffix:技术指南|防控;high_value_title;priority_channel,
DIS-018,猪伪狂犬病,disease,猪伪狂犬病通知,猪伪狂犬病规范.doc,http://www.moa.gov.cn/govpublic/SYJ/201006/P020100606587048047146.doc,猪伪狂犬病规范.doc...,2005-06-04,政策,word,www.moa.gov.cn,{},40,entity_in_title;priority_channel,
DIS-018,猪伪狂犬病,disease,猪伪狂犬病通知,福建永诚华多种猪有限公司获“猪伪狂犬病净化示范场”称号,http://www.moa.gov.cn/xw/qg/201812/t20181227_6165714.htm,猪伪狂犬病净化示范场...,2018-12-24,新闻,html,www.moa.gov.cn,{},30,entity_in_title,
DIS-018,猪伪狂犬病,disease,猪伪狂犬病通知,农业部关于印发《2013年国家动物疫病监测与流行病学调查计划》的通知,https://www.moa.gov.cn/govpublic/SYJ/201302/t20130228_3235251.htm,猪伪狂犬病等疫病动态...,2013-02-28,政策,html,www.moa.gov.cn,"{""https://www.moa.gov.cn/govpublic/SYJ/201302/P020130228604657639483.ceb"": ""农医发〔2013〕9号.CEB""}",36,entity_in_summary;disease_title_miss;suffix:通知|监测;high_value_title;priority_channel;has_api_attachments,
DIS-018,猪伪狂犬病,disease,猪伪狂犬病通知,农业农村部关于推进动物疫病净化工作的意见,https://www.moa.gov.cn/govpublic/xmsyj/202110/t20211011_6379123.htm,猪伪狂犬病...,2021-10-28,政策,html,www.moa.gov.cn,{},-5,entity_in_summary;disease_title_miss;priority_channel,
DIS-018,猪伪狂犬病,disease,猪伪狂犬病通知,农业部关于印发《常见动物疫病免疫推荐方案（试行）》的通知,https://www.moa.gov.cn/govpublic/SYJ/201403/t20140314_3814172.htm,狂犬病...,2014-03-12,政策,html,www.moa.gov.cn,"{""https://www.moa.gov.cn/govpublic/SYJ/201403/P020140314328471703104.ceb"": ""农医发〔2014〕10号.CEB""}",-27,entity_not_found;disease_title_miss;suffix:通知;high_value_title;priority_channel;has_api_attachments,
DIS-018,猪伪狂犬病,disease,猪伪狂犬病通知,中华人民共和国农业农村部公告 第129号,https://www.moa.gov.cn/govpublic/SYJ/201901/t20190128_6170815.htm,猪伪狂犬病毒gB竞争ELISA抗体检测试剂盒...,2019-01-28,政策,html,www.moa.gov.cn,"{""https://www.moa.gov.cn/govpublic/SYJ/201901/P020190128620345412506.doc"": ""说明书和标签.doc"", ""https://www.moa.gov.cn/govpublic/SYJ/201901/P020190128620344988679.ceb"": ""农业农村部公告第129号.ceb""}",21,entity_in_summary;disease_title_miss;suffix:公告;priority_channel;has_api_attachments,
DIS-015,猪乙型脑炎,disease,猪乙型脑炎通知,中华人民共和国农业农村部公告 第981号,https://www.moa.gov.cn/govpublic/xmsyj/202601/t20260107_6480491.htm,猪乙型脑炎灭活疫苗...,2026-01-07,政策,html,www.moa.gov.cn,"{""https://www.moa.gov.cn/govpublic/xmsyj/202601/P020260108543412355695.pdf"": ""说明书和标签.pdf""}",21,entity_in_summary;disease_title_miss;suffix:公告;priority_channel;has_api_attachments,
DIS-015,猪乙型脑炎,disease,猪乙型脑炎通知,农业部关于印发《常见动物疫病免疫推荐方案（试行）》的通知,https://www.moa.gov.cn/govpublic/SYJ/201403/t20140314_3814172.htm,猪乙型脑炎...,2014-03-12,政策,html,www.moa.gov.cn,"{""https://www.moa.gov.cn/govpublic/SYJ/201403/P020140314328471703104.ceb"": ""农医发〔2014〕10号.CEB""}",33,entity_in_summary;disease_title_miss;suffix:通知;high_value_title;priority_channel;has_api_attachments,
