entity_id,entity_name,entity_type,query,title,url,summary,doc_date,channel,file_type,source_site,api_attachments,score,matched_terms,error,status,content_type,bytes,text_chars,attachments,html_file,text_file,is_direct_attachment,attachment_file,skipped
DIS-018,猪伪狂犬病,disease,猪伪狂犬病通知,猪伪狂犬病规范.doc,http://www.moa.gov.cn/govpublic/SYJ/201006/P020100606587048047146.doc,猪伪狂犬病规范.doc...,2005-06-04,政策,word,www.moa.gov.cn,{},40,entity_in_title;priority_channel,,200,application/msword,38912,0,0,,,True,attachments\865680c6b05a_P020100606587048047146.doc,
DIS-018,猪伪狂犬病,disease,猪伪狂犬病通知,农业部关于印发《2013年国家动物疫病监测与流行病学调查计划》的通知,https://www.moa.gov.cn/govpublic/SYJ/201302/t20130228_3235251.htm,猪伪狂犬病等疫病动态...,2013-02-28,政策,html,www.moa.gov.cn,"{""https://www.moa.gov.cn/govpublic/SYJ/201302/P020130228604657639483.ceb"": ""农医发〔2013〕9号.CEB""}",36,entity_in_summary;disease_title_miss;suffix:通知|监测;high_value_title;priority_channel;has_api_attachments,,200,text/html,316294,28536,1,pages_html\36a09e4fc6a6_t20130228_3235251.htm.html,pages_text\36a09e4fc6a6_t20130228_3235251.htm.html.txt,False,,
DIS-018,猪伪狂犬病,disease,猪伪狂犬病通知,福建永诚华多种猪有限公司获“猪伪狂犬病净化示范场”称号,http://www.moa.gov.cn/xw/qg/201812/t20181227_6165714.htm,猪伪狂犬病净化示范场...,2018-12-24,新闻,html,www.moa.gov.cn,{},30,entity_in_title,,200,text/html,51925,12879,0,pages_html\0aaa2acca856_t20181227_6165714.htm.html,pages_text\0aaa2acca856_t20181227_6165714.htm.html.txt,False,,
DIS-015,猪乙型脑炎,disease,猪乙型脑炎通知,农业部关于印发《常见动物疫病免疫推荐方案（试行）》的通知,https://www.moa.gov.cn/govpublic/SYJ/201403/t20140314_3814172.htm,猪乙型脑炎...,2014-03-12,政策,html,www.moa.gov.cn,"{""https://www.moa.gov.cn/govpublic/SYJ/201403/P020140314328471703104.ceb"": ""农医发〔2014〕10号.CEB""}",33,entity_in_summary;disease_title_miss;suffix:通知;high_value_title;priority_channel;has_api_attachments,,200,text/html,58001,9460,1,pages_html\833f8554de3b_t20140314_3814172.htm.html,pages_text\833f8554de3b_t20140314_3814172.htm.html.txt,False,,
DIS-015,猪乙型脑炎,disease,猪乙型脑炎通知,洪涝灾害动物疫病防控技术指南,https://www.moa.gov.cn/govpublic/xmsyj/202007/t20200716_6348701.htm,猪乙型脑炎...,2020-07-16,政策,html,www.moa.gov.cn,{},28,entity_in_summary;disease_title_miss;suffix:技术指南|防控;high_value_title;priority_channel,,200,text/html,101314,24030,0,pages_html\51689719ce16_t20200716_6348701.htm.html,pages_text\51689719ce16_t20200716_6348701.htm.html.txt,False,,
DIS-038,猪布鲁氏菌病,disease,布鲁氏菌病通知,农业农村部关于印发《畜间布鲁氏菌病防控五年行动方案（2022—2026年）》的通知,https://www.moa.gov.cn/govpublic/xmsyj/202203/t20220330_6394685.htm,自治区、直辖市及计划单列市农业农村（农牧）、畜牧兽医厅（局、委），新疆生产建设兵团农业农村局，部属有关事业单位： 为贯彻落实2022年中央一号文件有关要求，强化畜间布鲁氏菌病防控，保障畜牧业生产安全、公共卫生安全和生物安全，我部制定了《畜间布鲁氏菌病防控五年行动方案（2022—2026年）》。...,2022-03-30,政策,html,www.moa.gov.cn,"{""https://www.moa.gov.cn/govpublic/xmsyj/202203/P020220330377158279349.pdf"": ""农牧发〔2022〕13号.pdf""}",81,entity_in_title;suffix:通知|防控;high_value_title;priority_channel;has_api_attachments,,200,text/html,63207,12227,0,pages_html\2283f1db5937_t20220330_6394685.htm.html,pages_text\2283f1db5937_t20220330_6394685.htm.html.txt,False,,
DIS-038,猪布鲁氏菌病,disease,布鲁氏菌病通知,农业部 国家卫生计生委关于印发《国家布鲁氏菌病防治计划（2016-2020年）》的通知,https://www.moa.gov.cn/govpublic/SYJ/201609/t20160909_5270524.htm,进一步做好全国布鲁氏菌病防治工作...,2016-09-09,公开,html,www.moa.gov.cn,"{""https://www.moa.gov.cn/govpublic/SYJ/201609/P020160909545336908217.ceb"": ""农医发〔2016〕38号.CEB""}",78,entity_in_title;suffix:通知;high_value_title;priority_channel;has_api_attachments,,200,text/html,43520,6147,1,pages_html\30e304f362b7_t20160909_5270524.htm.html,pages_text\30e304f362b7_t20160909_5270524.htm.html.txt,False,,
DIS-038,猪布鲁氏菌病,disease,布鲁氏菌病通知,农业部办公厅关于举办中国—蒙古布鲁氏菌病防控联合演练的通知,http://www.moa.gov.cn/govpublic/SYJ/201309/t20130918_3610139.htm,蒙古布鲁氏菌病防控联合演练...,2013-09-17,公开,html,www.moa.gov.cn,"{""http://www.moa.gov.cn/govpublic/SYJ/201309/P020130918333160853386.ceb"": ""农办医〔2013〕46号.CEB""}",69,entity_in_title;suffix:通知|防控;priority_channel;has_api_attachments,,200,text/html,53797,6263,1,pages_html\2d7baa9c6e6f_t20130918_3610139.htm.html,pages_text\2d7baa9c6e6f_t20130918_3610139.htm.html.txt,False,,
DIS-051,猪链球菌病,disease,猪链球菌病通知,狠抓关键措施 加大防控力度 坚决遏制猪链球菌病疫情扩散蔓延,http://www.moa.gov.cn/xw/zwdt/200508/t20050804_430543.htm,农业部还迅速发出通知...,2005-08-04,新闻,html,www.moa.gov.cn,{},48,entity_in_title;suffix:防控,,200,text/html,53997,12920,0,pages_html\bb193615517c_t20050804_430543.htm.html,pages_text\bb193615517c_t20050804_430543.htm.html.txt,False,,
DIS-051,猪链球菌病,disease,猪链球菌病通知,杜青林强调：依靠科学做好猪链球菌病防控工作,http://www.moa.gov.cn/xw/zwdt/200508/t20050805_431466.htm,针对目前猪链球菌病的防控形势...,2005-08-05,新闻,html,www.moa.gov.cn,{},48,entity_in_title;suffix:防控,,200,text/html,50227,11711,0,pages_html\e8e159d2ed67_t20050805_431466.htm.html,pages_text\e8e159d2ed67_t20050805_431466.htm.html.txt,False,,
DIS-051,猪链球菌病,disease,猪链球菌病通知,四川省猪链球菌病防控成效明显,http://www.moa.gov.cn/xw/zwdt/200508/t20050807_432365.htm,四川省猪链球菌病疫情累计病死猪644头...,2005-08-07,新闻,html,www.moa.gov.cn,{},48,entity_in_title;suffix:防控,,200,text/html,50902,11946,0,pages_html\d1434bd6bf1d_t20050807_432365.htm.html,pages_text\d1434bd6bf1d_t20050807_432365.htm.html.txt,False,,
DIS-008,猪流行性腹泻,disease,猪流行性腹泻通知,春季生猪常见疫病防控技术指南,https://xmsyj.moa.gov.cn/zcjd/202103/t20210304_6362923.htm,引起仔猪腹泻的病毒主要有猪流行性腹泻病毒...,2021-03-04,政策,html,xmsyj.moa.gov.cn,{},28,entity_in_summary;disease_title_miss;suffix:技术指南|防控;high_value_title;priority_channel,,200,text/html,119688,18580,0,pages_html\a339c1d00ddb_t20210304_6362923.htm.html,pages_text\a339c1d00ddb_t20210304_6362923.htm.html.txt,False,,
DIS-009,猪传染性胃肠炎,disease,猪传染性胃肠炎通知,春季生猪常见疫病防控技术指南,https://xmsyj.moa.gov.cn/zcjd/202103/t20210304_6362923.htm,猪传染性胃肠炎是由传染性胃肠炎病毒引起的高度接触性传染病...,2021-03-04,政策,html,xmsyj.moa.gov.cn,{},28,entity_in_summary;disease_title_miss;suffix:技术指南|防控;high_value_title;priority_channel,,200,text/html,119688,18580,0,pages_html\a339c1d00ddb_t20210304_6362923.htm.html,pages_text\a339c1d00ddb_t20210304_6362923.htm.html.txt,False,,
DIS-021,猪流感,disease,猪流感通知,农业部办公厅关于印发《农业部门人感染猪流感应急预案（试行）》的通知,https://www.moa.gov.cn/govpublic/SYJ/201006/t20100606_1535740.htm,农业部办公厅关于印发《农业部门人感染猪流感应急预案（试行）》的通知 为应对北美人感染猪流感病毒疫情，做好我国人感染猪流感病毒防控工作，保障人民身体健康，维护公共卫生安全，确保经济发展和社会稳定，我部制定了《农业部门人感染猪流感应急预案（试行）》，请遵照执行。...,2009-05-11,政策,html,www.moa.gov.cn,"{""https://www.moa.gov.cn/govpublic/SYJ/201006/P020100606587919281235.ceb"": ""农办医〔2009〕26号.ceb""}",81,entity_in_title;suffix:通知|应急;high_value_title;priority_channel;has_api_attachments,,200,text/html,20302,9108,1,pages_html\e4ca3de42acb_t20100606_1535740.htm.html,pages_text\e4ca3de42acb_t20100606_1535740.htm.html.txt,False,,
DIS-021,猪流感,disease,猪流感通知,农业部门人感染猪流感应急预案（试行）,https://www.moa.gov.cn/gk/zcfg/nybgz/200905/t20090511_1270730.htm,开展防控猪流感变异病毒科普知识的宣传...,2009-05-11,公开,html,www.moa.gov.cn,{},60,entity_in_title;suffix:应急;high_value_title,,200,text/html,14154,3061,0,pages_html\38fe8c4a99fb_t20090511_1270730.htm.html,pages_text\38fe8c4a99fb_t20090511_1270730.htm.html.txt,False,,
DIS-021,猪流感,disease,猪流感通知,农业部门人感染猪流感应急预案,https://www.moa.gov.cn/gk/yjgl_1/yjcl/200905/t20090504_1266212.htm,开展防控猪流感变异病毒科普知识的宣传...,2009-05-04,公开,html,www.moa.gov.cn,{},60,entity_in_title;suffix:应急;high_value_title,,200,text/html,13530,2957,0,pages_html\2d372d506ee4_t20090504_1266212.htm.html,pages_text\2d372d506ee4_t20090504_1266212.htm.html.txt,False,,
DIS-023,猪细小病毒病,disease,猪细小病毒病通知,春季生猪常见疫病防控技术指南,https://xmsyj.moa.gov.cn/zcjd/202103/t20210304_6362923.htm,猪细小病毒病是由猪细小病毒引起的一种猪繁殖障碍病...,2021-03-04,政策,html,xmsyj.moa.gov.cn,{},28,entity_in_summary;disease_title_miss;suffix:技术指南|防控;high_value_title;priority_channel,,200,text/html,119688,18580,0,pages_html\a339c1d00ddb_t20210304_6362923.htm.html,pages_text\a339c1d00ddb_t20210304_6362923.htm.html.txt,False,,
