link_text,url,source_page,status,content_type,bytes,file,error
农业农村部关于印发2026年兽药质量监督抽检和风险监测等3个计划的通知.ofd,https://www.moa.gov.cn/govpublic/xmsyj/202603/P020260318598272942969.ofd,https://www.moa.gov.cn/govpublic/xmsyj/202603/t20260318_6482396.htm,200,application/octet-stream,1482978,attachments\e7e51a2841db_P020260318598272942969.ofd,
中华人民共和国农业农村部公告 第851号.ofd,https://www.moa.gov.cn/govpublic/xmsyj/202412/P020241205547237338191.ofd,https://www.moa.gov.cn/govpublic/xmsyj/202412/t20241205_6467547.htm,200,,737429,attachments\2f4cb796bccf_P020241205547237338191.ofd,
公告第2085号.CEB,https://www.moa.gov.cn/govpublic/SYJ/201404/P020140414501857551737.ceb,https://www.moa.gov.cn/govpublic/SYJ/201404/t20140414_3849469.htm,200,application/octet-stream,9832,attachments\50cfbd8168e2_P020140414501857551737.ceb,
兽药残留检测结果通报.doc,https://www.moa.gov.cn/govpublic/xmsyj/202003/P020200331353949093130.doc,https://www.moa.gov.cn/govpublic/xmsyj/202003/t20200331_6340273.htm,200,application/msword,458752,attachments\a92cf33e4d93_P020200331353949093130.doc,
农办质〔2011〕27号.CEB,https://www.moa.gov.cn/govpublic/ncpzlaq/201107/P020110701585866757711.ceb,https://www.moa.gov.cn/govpublic/ncpzlaq/201107/t20110701_2043705.htm,200,application/octet-stream,97896,attachments\b66ee4908152_P020110701585866757711.ceb,
说明书和标签,https://www.moa.gov.cn/govpublic/SYJ/201701/P020170119423091652136.doc,https://www.moa.gov.cn/govpublic/SYJ/201701/t20170119_5450214.htm,200,application/msword,729088,attachments\6af81818616a_P020170119423091652136.doc,
gg2485,https://www.moa.gov.cn/govpublic/SYJ/201701/P020170119423091180052.ceb,https://www.moa.gov.cn/govpublic/SYJ/201701/t20170119_5450214.htm,200,application/octet-stream,4651280,attachments\528c7f855d1e_P020170119423091180052.ceb,
公告2207最终版.ceb,https://www.moa.gov.cn/govpublic/SYJ/201502/P020150202391681620326.ceb,https://www.moa.gov.cn/govpublic/SYJ/201502/t20150202_4380821.htm,200,application/octet-stream,42735,attachments\d4b6bf4c1ec3_P020150202391681620326.ceb,
2012GG1860.CEB,https://www.moa.gov.cn/govpublic/SYJ/201212/P020121220393182199589.ceb,https://www.moa.gov.cn/govpublic/SYJ/201212/t20121220_3111216.htm,200,application/octet-stream,22950,attachments\3dcc4427298f_P020121220393182199589.ceb,
nby41.ceb,https://www.moa.gov.cn/govpublic/SYJ/201808/P020180829398860436480.ceb,https://www.moa.gov.cn/govpublic/SYJ/201808/t20180829_6156498.htm,200,application/octet-stream,1897193,attachments\c81e7778b530_P020180829398860436480.ceb,
公告2139.ceb,https://www.moa.gov.cn/govpublic/SYJ/201409/P020140910346791348874.ceb,https://www.moa.gov.cn/govpublic/SYJ/201409/t20140910_4050018.htm,200,application/octet-stream,41217,attachments\29b40db0e77c_P020140910346791348874.ceb,
公告1691.CEB,http://www.moa.gov.cn/govpublic/SYJ/201201/P020120112517272114719.ceb,http://www.moa.gov.cn/govpublic/SYJ/201201/t20120112_2456041.htm,200,application/octet-stream,13846,attachments\9b79b94333c3_P020120112517272114719.ceb,
说明书和标签.pdf,https://www.moa.gov.cn/govpublic/xmsyj/202509/P020250929336859804981.pdf,https://www.moa.gov.cn/govpublic/xmsyj/202509/t20250929_6477854.htm,200,application/pdf,380432,attachments\7214a9453e29_P020250929336859804981.pdf,
说明书和标签.pdf,https://www.moa.gov.cn/govpublic/xmsyj/202601/P020260108543412355695.pdf,https://www.moa.gov.cn/govpublic/xmsyj/202601/t20260107_6480491.htm,200,application/pdf,778446,attachments\f6e6f119118b_P020260108543412355695.pdf,
农医发〔2009〕8号.CEB,https://www.moa.gov.cn/govpublic/SYJ/201006/P020100606587823886864.ceb,https://www.moa.gov.cn/govpublic/SYJ/201006/t20100606_1535715.htm,200,application/octet-stream,105709,attachments\36b0ffb5982f_P020100606587823886864.ceb,
农业农村部公告151.ceb,https://www.moa.gov.cn/govpublic/SYJ/201904/P020190426597764680117.ceb,https://www.moa.gov.cn/govpublic/SYJ/201904/t20190403_6177917.htm,200,application/octet-stream,2855392,attachments\2303eb8e87c7_P020190426597764680117.ceb,
说明书和标签.doc,https://www.moa.gov.cn/govpublic/SYJ/201904/P020190403530048902729.doc,https://www.moa.gov.cn/govpublic/SYJ/201904/t20190403_6177917.htm,200,application/msword,246272,attachments\41ffe84e8a86_P020190403530048902729.doc,
农业农村部公告 第1015号说明书标签.pdf,https://www.moa.gov.cn/govpublic/xmsyj/202604/P020260428343462773402.pdf,https://www.moa.gov.cn/govpublic/xmsyj/202604/t20260428_6483711.htm,200,application/pdf,354102,attachments\bc58c89c3d70_P020260428343462773402.pdf,
农业农村部公告 第411号.ofd,https://www.moa.gov.cn/govpublic/xmsyj/202104/P020210409319040931336.ofd,https://www.moa.gov.cn/govpublic/xmsyj/202104/t20210409_6365476.htm,200,,646622,attachments\c636e5c50544_P020210409319040931336.ofd,
说明书和标签.docx,https://www.moa.gov.cn/govpublic/xmsyj/202301/P020230128355228868108.docx,https://www.moa.gov.cn/govpublic/xmsyj/202301/t20230116_6418872.htm,200,application/vnd.openxmlformats-officedocument.wordprocessingml.document,199270,attachments\d55665ae4235_P020230128355228868108.docx,
第1974号.ceb,https://www.moa.gov.cn/govpublic/SYJ/201308/P020130809303014978892.ceb,https://www.moa.gov.cn/govpublic/SYJ/201308/t20130809_3553822.htm,200,application/octet-stream,550445,attachments\25ed2c4c9fda_P020130809303014978892.ceb,
