entity_id,entity_name,entity_type,query,title,url,summary,doc_date,channel,file_type,source_site,api_attachments,score,matched_terms,error
MANUAL-001,阿莫西林,drug,阿莫西林公告,农业农村部关于印发2026年兽药质量监督抽检和风险监测等3个计划的通知,https://www.moa.gov.cn/govpublic/xmsyj/202603/t20260318_6482396.htm,阿莫西林...,2026-03-18,政策,html,www.moa.gov.cn,"{""https://www.moa.gov.cn/govpublic/xmsyj/202603/P020260318598272942969.ofd"": ""农业农村部关于印发2026年兽药质量监督抽检和风险监测等3个计划的通知.ofd""}",58,entity_in_summary;suffix:兽药;high_value_title;priority_channel;has_api_attachments,
MANUAL-001,阿莫西林,drug,阿莫西林公告,农业农村部办公厅关于2025年第四期兽药质量监督抽检情况的通报,https://www.moa.gov.cn/govpublic/xmsyj/202601/t20260122_6480955.htm,阿莫西林...,2026-01-22,政策,html,www.moa.gov.cn,{},38,entity_in_summary;suffix:兽药;priority_channel,
MANUAL-001,阿莫西林,drug,阿莫西林公告,农业农村部办公厅关于2026年第一期兽药质量监督抽检情况的通报,https://www.moa.gov.cn/govpublic/xmsyj/202603/t20260323_6482526.htm,阿莫西林可溶性粉...,2026-03-23,政策,html,www.moa.gov.cn,{},38,entity_in_summary;suffix:兽药;priority_channel,
MANUAL-001,阿莫西林,drug,阿莫西林公告,中华人民共和国农业农村部公告 第851号,https://www.moa.gov.cn/govpublic/xmsyj/202412/t20241205_6467547.htm,阿莫西林...,2024-12-05,政策,html,www.moa.gov.cn,"{""https://www.moa.gov.cn/govpublic/xmsyj/202412/P020241205547237338191.ofd"": ""中华人民共和国农业农村部公告 第851号.ofd""}",46,entity_in_summary;suffix:公告;priority_channel;has_api_attachments,
MANUAL-001,阿莫西林,drug,阿莫西林公告,中华人民共和国农业农村部公告 第768号,https://www.moa.gov.cn/govpublic/xmsyj/202403/t20240325_6452363.htm,农业部公告第2543号...,2024-03-25,政策,html,www.moa.gov.cn,"{""https://www.moa.gov.cn/govpublic/xmsyj/202403/P020240325610854510739.ofd"": ""中华人民共和国农业农村部公告 第768号.ofd""}",-14,entity_not_found;suffix:公告;priority_channel;has_api_attachments,
MANUAL-001,阿莫西林,drug,阿莫西林公告,中华人民共和国农业部公告 第2085号,https://www.moa.gov.cn/govpublic/SYJ/201404/t20140414_3849469.htm,阿莫西林可溶性粉中非法添加解热镇痛类药物检查方法...,2014-04-14,政策,html,www.moa.gov.cn,"{""https://www.moa.gov.cn/govpublic/SYJ/201404/P020140414501857551737.ceb"": ""公告第2085号.CEB""}",46,entity_in_summary;suffix:公告;priority_channel;has_api_attachments,
MANUAL-001,阿莫西林,drug,阿莫西林公告,中华人民共和国农业农村部公告 第642号,https://www.moa.gov.cn/govpublic/xmsyj/202301/t20230116_6418872.htm,阿莫西林克拉维酸钾片...,2023-01-28,政策,html,www.moa.gov.cn,"{""https://www.moa.gov.cn/govpublic/xmsyj/202301/P020230128355228868108.docx"": ""说明书和标签.docx""}",46,entity_in_summary;suffix:公告;priority_channel;has_api_attachments,
MANUAL-001,阿莫西林,drug,阿莫西林公告,中华人民共和国农业农村部公告 第173号,https://www.moa.gov.cn/govpublic/xmsyj/201905/t20190522_6313857.htm,批准法国诗华动物保健公司等3家公司生产的阿莫西林注射液等6种兽药产品在我国再注册...,2019-05-22,政策,html,www.moa.gov.cn,"{""https://www.moa.gov.cn/govpublic/xmsyj/201905/P020190522391376340046.doc"": ""说明书和标签.doc"", ""https://www.moa.gov.cn/govpublic/xmsyj/201905/P020190522391376103933.ceb"": ""农业农村部公告173.ceb""}",46,entity_in_summary;suffix:公告;priority_channel;has_api_attachments,
MANUAL-001,阿莫西林,drug,阿莫西林禁用,说明书和标签.doc,https://www.moa.gov.cn/govpublic/xmsyj/201905/P020190522391376340046.doc,阿莫西林注射液等6种兽药产品说明书和标签...,2019-05-22,政策,word,www.moa.gov.cn,{},38,entity_in_summary;suffix:说明书;priority_channel,
MANUAL-001,阿莫西林,drug,阿莫西林兽药,中华人民共和国农业部公告 第 1738 号,http://www.moa.gov.cn/govpublic/SYJ/201204/t20120417_2604309.htm,广西北流市龙桥兽药有限公司...,2012-04-17,政策,html,www.moa.gov.cn,"{""http://www.moa.gov.cn/govpublic/SYJ/201204/P020120417395042903284.ceb"": ""公告1738号.ceb"", ""http://www.moa.gov.cn/govpublic/SYJ/201204/P020120417395042902939.doc"": ""附件：注销证书目录.doc"", ""http://www.moa.gov.cn/govpublic/SYJ/201204/P020120417395042435269.xls"": ""注销文号目录.xls""}",-14,entity_not_found;suffix:公告;priority_channel;has_api_attachments,
MANUAL-001,阿莫西林,drug,阿莫西林兽药,附件1.xls,https://www.moa.gov.cn/govpublic/SYJ/201902/P020190202551203786253.xls,注销的兽药产品批准文号目录...,2019-02-02,政策,excel,www.moa.gov.cn,{},-40,entity_not_found;priority_channel,
MANUAL-001,阿莫西林,drug,阿莫西林兽药,中华人民共和国农业农村部公告 第853号,https://www.moa.gov.cn/govpublic/xmsyj/202412/t20241213_6467897.htm,据《兽药管理条例》和《兽药注册办法》规定，经审查，批准法国威隆制药股份有限公司等8家公司生产的马波沙星片等8种兽药产品在我国再注册，核发《进口兽药注册证书》，并发布工艺规程和修订后的质量标准、说明书和标签，自发布之日起执行。...,2024-12-13,政策,html,www.moa.gov.cn,"{""https://www.moa.gov.cn/govpublic/xmsyj/202412/P020241219530174587893.ofd"": ""中华人民共和国农业农村部公告 第853号.ofd""}",-14,entity_not_found;suffix:公告;priority_channel;has_api_attachments,
MANUAL-001,阿莫西林,drug,阿莫西林兽药,中华人民共和国农业农村部公告 第735号,https://www.moa.gov.cn/govpublic/xmsyj/202312/t20231227_6443581.htm,据《兽药管理条例》和《兽药注册办法》规定，经审查，批准法国诗华动物保健公司生产的盐酸头孢噻呋注射液在我国注册，核发《进口兽药注册证书》，并发布该兽药质量标准、工艺规程、说明书和标签，自发布之日起执行。...,2023-12-27,政策,html,www.moa.gov.cn,"{""https://www.moa.gov.cn/govpublic/xmsyj/202312/P020231227423842777104.ofd"": ""中华人民共和国农业农村部公告第735号.ofd""}",-14,entity_not_found;suffix:公告;priority_channel;has_api_attachments,
MANUAL-001,阿莫西林,drug,阿莫西林兽药,中华人民共和国农业部公告第1301号,https://www.moa.gov.cn/govpublic/SYJ/201006/t20100606_1535835.htm,2009年11月9日，我部下达《行政处罚决定书》（农（兽药）罚〔2009〕11号），对山东启发药业有限公司违反《兽药管理条例》生产劣兽药的违法行为实施了行政处罚，吊销了该公司的《兽药生产许可证》（〔2006〕兽药生产证字15179号）。...,2009-12-25,政策,html,www.moa.gov.cn,"{""https://www.moa.gov.cn/govpublic/SYJ/201006/P020100606588330216730.ceb"": ""公告1301.ceb""}",-14,entity_not_found;suffix:公告;priority_channel;has_api_attachments,
MANUAL-001,阿莫西林,drug,阿莫西林兽药,附件1.doc,https://www.moa.gov.cn/govpublic/SYJ/201610/P020161021313194459948.doc,注销的兽药产品批准文号目录...,2016-10-21,政策,word,www.moa.gov.cn,{},-40,entity_not_found;priority_channel,
MANUAL-001,阿莫西林,drug,阿莫西林质量标准,中华人民共和国农业农村部公告 第335号,https://www.moa.gov.cn/govpublic/xmsyj/202009/t20200921_6352553.htm,批准宜昌三峡制药有限公司等6家单位申报的硫酸新霉素可溶性粉等3种兽药产品变更注册，发布修订后的质量标准、说明书和标签及新霉素残留检测方法标准（试行），自发布之日起执行，原我部发布的本产品质量标准、说明书和标签同时废止。...,2020-09-21,政策,html,www.moa.gov.cn,"{""https://www.moa.gov.cn/govpublic/xmsyj/202009/P020201009594907045048.ofd"": ""公告335.ofd"", ""https://www.moa.gov.cn/govpublic/xmsyj/202009/P020200921574203116935.doc"": ""附件4 说明书和标签.doc"", ""https://www.moa.gov.cn/govpublic/xmsyj/202009/P020200921574203481834.docx"": ""附件5 新霉素残留检测方法标准（试行）.docx""}",-14,entity_not_found;suffix:公告;priority_channel;has_api_attachments,
MANUAL-001,阿莫西林,drug,阿莫西林质量标准,中华人民共和国农业农村部公告 第150号,https://www.moa.gov.cn/govpublic/SYJ/201904/t20190404_6178029.htm,据《兽药管理条例》和《兽药注册办法》规定，经审查，批准宁波第二激素厂等14家单位申报的注射用戈那瑞林等4种兽药产品变更注册，并发布修订后的复方阿莫西林乳房注入剂（泌乳期）质量标准、说明书和标签，自发布之日起执行，原我部发布的该产品质量标准、说明书和标签同时废止。...,2019-04-04,政策,html,www.moa.gov.cn,"{""https://www.moa.gov.cn/govpublic/SYJ/201904/P020190404389289026052.doc"": ""附件4舒巴坦最高残留限量（暂定）.doc"", ""https://www.moa.gov.cn/govpublic/SYJ/201904/P020190404389288781875.ceb"": ""农业农村部公告150.ceb"", ""https://www.moa.gov.cn/govpublic/SYJ/201904/P020190404393695776706.doc"": ""说明书和标签.doc"", ""https://www.moa.gov.cn/govpublic/SYJ/201904/P020190404389289423739.doc"": ""附件5舒巴坦残留检测方法标准（试行）.doc""}",46,entity_in_summary;suffix:公告;priority_channel;has_api_attachments,
