entity_id,entity_name,entity_type,query,title,url,summary,doc_date,channel,file_type,source_site,api_attachments,score,matched_terms,error,status,content_type,bytes,text_chars,attachments,html_file,text_file,is_direct_attachment,attachment_file,skipped
MANUAL-001,阿莫西林,drug,阿莫西林公告,农业农村部关于印发2026年兽药质量监督抽检和风险监测等3个计划的通知,https://www.moa.gov.cn/govpublic/xmsyj/202603/t20260318_6482396.htm,阿莫西林...,2026-03-18,政策,html,www.moa.gov.cn,"{""https://www.moa.gov.cn/govpublic/xmsyj/202603/P020260318598272942969.ofd"": ""农业农村部关于印发2026年兽药质量监督抽检和风险监测等3个计划的通知.ofd""}",58,entity_in_summary;suffix:兽药;high_value_title;priority_channel;has_api_attachments,,200,text/html,1137646,25696,0,pages_html\70f6439d3875_t20260318_6482396.htm.html,pages_text\70f6439d3875_t20260318_6482396.htm.html.txt,False,,
MANUAL-001,阿莫西林,drug,阿莫西林公告,中华人民共和国农业农村部公告 第851号,https://www.moa.gov.cn/govpublic/xmsyj/202412/t20241205_6467547.htm,阿莫西林...,2024-12-05,政策,html,www.moa.gov.cn,"{""https://www.moa.gov.cn/govpublic/xmsyj/202412/P020241205547237338191.ofd"": ""中华人民共和国农业农村部公告 第851号.ofd""}",46,entity_in_summary;suffix:公告;priority_channel;has_api_attachments,,200,text/html,256309,10224,0,pages_html\bba4ec861b54_t20241205_6467547.htm.html,pages_text\bba4ec861b54_t20241205_6467547.htm.html.txt,False,,
MANUAL-001,阿莫西林,drug,阿莫西林公告,中华人民共和国农业部公告 第2085号,https://www.moa.gov.cn/govpublic/SYJ/201404/t20140414_3849469.htm,阿莫西林可溶性粉中非法添加解热镇痛类药物检查方法...,2014-04-14,政策,html,www.moa.gov.cn,"{""https://www.moa.gov.cn/govpublic/SYJ/201404/P020140414501857551737.ceb"": ""公告第2085号.CEB""}",46,entity_in_summary;suffix:公告;priority_channel;has_api_attachments,,200,text/html,42529,5834,1,pages_html\af9cf0583771_t20140414_3849469.htm.html,pages_text\af9cf0583771_t20140414_3849469.htm.html.txt,False,,
MANUAL-002,磺胺类,drug,磺胺类公告,农业农村部办公厅关于2019年畜禽及蜂产品兽药残留监控结果的通报,https://www.moa.gov.cn/govpublic/xmsyj/202003/t20200331_6340273.htm,磺胺类检测1106批样品...,2020-03-31,政策,html,www.moa.gov.cn,"{""https://www.moa.gov.cn/govpublic/xmsyj/202003/P020200331353949093130.doc"": ""兽药残留检测结果通报.doc""}",46,entity_in_summary;suffix:兽药;priority_channel;has_api_attachments,,200,text/html,53045,7033,1,pages_html\0c76171b4ba4_t20200331_6340273.htm.html,pages_text\0c76171b4ba4_t20200331_6340273.htm.html.txt,False,,
MANUAL-002,磺胺类,drug,磺胺类公告,关于举办首届全国农产品质量安全基层检测技术人员大比武的通知,https://www.moa.gov.cn/govpublic/ncpzlaq/201107/t20110701_2043705.htm,磺胺二甲氧嘧啶和磺胺喹恶啉5种磺胺类药物残留的测定...,2011-06-30,政策,html,www.moa.gov.cn,"{""https://www.moa.gov.cn/govpublic/ncpzlaq/201107/P020110701585866757711.ceb"": ""农办质〔2011〕27号.CEB""}",28,entity_in_summary;priority_channel;has_api_attachments,,200,text/html,78822,9599,0,pages_html\3522325ce19f_t20110701_2043705.htm.html,pages_text\3522325ce19f_t20110701_2043705.htm.html.txt,False,,
MANUAL-003,林可霉素,drug,林可霉素公告,中华人民共和国农业部公告 第2485号,https://www.moa.gov.cn/govpublic/SYJ/201701/t20170119_5450214.htm,并发布大观霉素和林可霉素残留检测方法...,2017-01-19,政策,html,www.moa.gov.cn,"{""https://www.moa.gov.cn/govpublic/SYJ/201701/P020170119423091652136.doc"": ""说明书和标签"", ""https://www.moa.gov.cn/govpublic/SYJ/201701/P020170119423091180052.ceb"": ""gg2485""}",46,entity_in_summary;suffix:公告;priority_channel;has_api_attachments,,200,text/html,48088,6114,2,pages_html\9386c80fc9c8_t20170119_5450214.htm.html,pages_text\9386c80fc9c8_t20170119_5450214.htm.html.txt,False,,
MANUAL-003,林可霉素,drug,林可霉素公告,农业农村部办公厅关于2025年第四期兽药质量监督抽检情况的通报,https://www.moa.gov.cn/govpublic/xmsyj/202601/t20260122_6480955.htm,盐酸林可霉素...,2026-01-22,政策,html,www.moa.gov.cn,{},38,entity_in_summary;suffix:兽药;priority_channel,,200,text/html,420497,11838,0,pages_html\9a17dc21f5fd_t20260122_6480955.htm.html,pages_text\9a17dc21f5fd_t20260122_6480955.htm.html.txt,False,,
MANUAL-003,林可霉素,drug,林可霉素公告,农业农村部办公厅关于2025年第二期兽药质量监督抽检情况的通报,https://www.moa.gov.cn/govpublic/xmsyj/202506/t20250610_6474520.htm,盐酸林可霉素...,2025-06-10,政策,html,www.moa.gov.cn,{},38,entity_in_summary;suffix:兽药;priority_channel,,200,text/html,333209,11771,0,pages_html\d63ad0917ea5_t20250610_6474520.htm.html,pages_text\d63ad0917ea5_t20250610_6474520.htm.html.txt,False,,
MANUAL-004,磺胺二甲嘧啶,drug,磺胺二甲嘧啶公告,农业农村部关于印发2026年兽药质量监督抽检和风险监测等3个计划的通知,https://www.moa.gov.cn/govpublic/xmsyj/202603/t20260318_6482396.htm,磺胺二甲嘧啶...,2026-03-18,政策,html,www.moa.gov.cn,"{""https://www.moa.gov.cn/govpublic/xmsyj/202603/P020260318598272942969.ofd"": ""农业农村部关于印发2026年兽药质量监督抽检和风险监测等3个计划的通知.ofd""}",58,entity_in_summary;suffix:兽药;high_value_title;priority_channel;has_api_attachments,,200,text/html,1137646,25696,0,pages_html\70f6439d3875_t20260318_6482396.htm.html,pages_text\70f6439d3875_t20260318_6482396.htm.html.txt,False,,
MANUAL-004,磺胺二甲嘧啶,drug,磺胺二甲嘧啶公告,中华人民共和国农业部公告 第2207号,https://www.moa.gov.cn/govpublic/SYJ/201502/t20150202_4380821.htm,磺胺二甲嘧啶...,2015-02-02,政策,html,www.moa.gov.cn,"{""https://www.moa.gov.cn/govpublic/SYJ/201502/P020150202391681620326.ceb"": ""公告2207最终版.ceb""}",46,entity_in_summary;suffix:公告;priority_channel;has_api_attachments,,0,,103,0,0,pages_html\dc4e4597165d_t20150202_4380821.htm.html,pages_text\dc4e4597165d_t20150202_4380821.htm.html.txt,False,,fetch_failed
