link_text,url,source_page,status,content_type,bytes,file,error
09年农办医[2009]6号.CEB,https://www.moa.gov.cn/govpublic/SYJ/201006/P020100606587768925117.ceb,https://www.moa.gov.cn/govpublic/SYJ/201006/t20100606_1535702.htm,200,application/octet-stream,30026,attachments\d4f44f2528e4_P020100606587768925117.ceb,
农业农村部关于印发2026年兽药质量监督抽检和风险监测等3个计划的通知.ofd,https://www.moa.gov.cn/govpublic/xmsyj/202603/P020260318598272942969.ofd,https://www.moa.gov.cn/govpublic/xmsyj/202603/t20260318_6482396.htm,200,application/octet-stream,1482978,attachments\e7e51a2841db_P020260318598272942969.ofd,
农业农村部办公厅关于印发2023年畜禽屠宰质量安全风险监测计划的通知 农办牧〔2023〕3号.doc,https://www.moa.gov.cn/govpublic/xmsyj/202302/P020230213553680378567.doc,https://www.moa.gov.cn/govpublic/xmsyj/202302/t20230213_6420415.htm,200,application/msword,224957,attachments\0dac64bf8421_P020230213553680378567.doc,
农业农村部办公厅关于印发2022年生猪等畜禽屠宰质量安全风险监测计划的通知 农办牧〔2022〕9号.doc,https://www.moa.gov.cn/govpublic/xmsyj/202203/P020220309544660991611.doc,https://www.moa.gov.cn/govpublic/xmsyj/202203/t20220309_6391172.htm,200,application/msword,249856,attachments\5959fc7a1a07_P020220309544660991611.doc,
农业农村部办公厅关于印发2022年生猪等畜禽屠宰质量安全风险监测计划的通知 农办牧〔2022〕9号.pdf,https://www.moa.gov.cn/govpublic/xmsyj/202203/P020220310393615170684.pdf,https://www.moa.gov.cn/govpublic/xmsyj/202203/t20220309_6391172.htm,200,application/pdf,9381852,attachments\371636a4634b_P020220310393615170684.pdf,
gg2428.ceb,https://www.moa.gov.cn/govpublic/SYJ/201608/P020160801570268658817.ceb,https://www.moa.gov.cn/govpublic/SYJ/201608/t20160801_5224428.htm,200,application/octet-stream,2198336,attachments\cd2d8f30a76e_P020160801570268658817.ceb,
公告2150.ceb,https://www.moa.gov.cn/govpublic/SYJ/201409/P020140929605386444298.ceb,https://www.moa.gov.cn/govpublic/SYJ/201409/t20140929_4069977.htm,200,application/octet-stream,55850,attachments\192e1f517353_P020140929605386444298.ceb,
说明书和标签.doc,https://www.moa.gov.cn/govpublic/xmsyj/202301/P020230113336116251021.doc,https://www.moa.gov.cn/govpublic/xmsyj/202301/t20230113_6418774.htm,200,application/msword,0,attachments\c1589a930713_P020230113336116251021.doc,
nby41.ceb,https://www.moa.gov.cn/govpublic/SYJ/201808/P020180829398860436480.ceb,https://www.moa.gov.cn/govpublic/SYJ/201808/t20180829_6156498.htm,200,application/octet-stream,1897193,attachments\c81e7778b530_P020180829398860436480.ceb,
中华人民共和国农业农村部公告 第517号.ofd,https://www.moa.gov.cn/govpublic/xmsyj/202201/P020220127390206284861.ofd,https://www.moa.gov.cn/govpublic/xmsyj/202201/t20220114_6386948.htm,200,,1331149,attachments\90f682f46969_P020220127390206284861.ofd,
附件.ofd,https://www.moa.gov.cn/govpublic/xmsyj/202007/P020200717589418926231.ofd,https://www.moa.gov.cn/govpublic/xmsyj/202007/t20200717_6348875.htm,200,application/octet-stream,600482,attachments\3461aacea6ac_P020200717589418926231.ofd,
说明书和标签.pdf,https://www.moa.gov.cn/govpublic/xmsyj/202404/P020240424386469351906.pdf,https://www.moa.gov.cn/govpublic/xmsyj/202404/t20240424_6454306.htm,200,application/pdf,507125,attachments\1d1b2c2f05cf_P020240424386469351906.pdf,
说明书和标签.pdf,https://www.moa.gov.cn/govpublic/xmsyj/202503/P020251202550735385682.pdf,https://www.moa.gov.cn/govpublic/xmsyj/202503/t20250331_6472534.htm,200,application/pdf,437921,attachments\37f9dbca8bed_P020251202550735385682.pdf,
公告2207最终版.ceb,https://www.moa.gov.cn/govpublic/SYJ/201502/P020150202391681620326.ceb,https://www.moa.gov.cn/govpublic/SYJ/201502/t20150202_4380821.htm,200,application/octet-stream,42735,attachments\d4b6bf4c1ec3_P020150202391681620326.ceb,
2012GG1860.CEB,https://www.moa.gov.cn/govpublic/SYJ/201212/P020121220393182199589.ceb,https://www.moa.gov.cn/govpublic/SYJ/201212/t20121220_3111216.htm,200,application/octet-stream,22950,attachments\3dcc4427298f_P020121220393182199589.ceb,
说明书和标签.pdf,https://www.moa.gov.cn/govpublic/xmsyj/202603/P020260306314850760869.pdf,https://www.moa.gov.cn/govpublic/xmsyj/202603/t20260306_6481993.htm,200,application/pdf,384396,attachments\802ea869373a_P020260306314850760869.pdf,
中华人民共和国农业农村部公告 第525号.ofd,https://www.moa.gov.cn/govpublic/xmsyj/202202/P020220214499302551409.ofd,https://www.moa.gov.cn/govpublic/xmsyj/202202/t20220214_6388591.htm,200,,1027350,attachments\68f4e3020afa_P020220214499302551409.ofd,
