entity_id,entity_name,entity_type,query,title,url,summary,doc_date,channel,file_type,source_site,api_attachments,score,matched_terms,error
MANUAL-001,氯霉素,drug,氯霉素公告,农业农村部关于印发2026年兽药质量监督抽检和风险监测等3个计划的通知,https://www.moa.gov.cn/govpublic/xmsyj/202603/t20260318_6482396.htm,按农业部公告第2353号...,2026-03-18,政策,html,www.moa.gov.cn,"{""https://www.moa.gov.cn/govpublic/xmsyj/202603/P020260318598272942969.ofd"": ""农业农村部关于印发2026年兽药质量监督抽检和风险监测等3个计划的通知.ofd""}",-2,entity_not_found;suffix:兽药;high_value_title;priority_channel;has_api_attachments,
MANUAL-001,氯霉素,drug,氯霉素公告,农业部办公厅关于开展2017年全国农产品质量安全检测技术能力验证工作的通知,http://www.moa.gov.cn/govpublic/ncpzlaq/201702/t20170223_5493788.htm,农业部783号公告...,2017-02-20,政策,html,www.moa.gov.cn,"{""http://www.moa.gov.cn/govpublic/ncpzlaq/201702/P020170223557812493724.ceb"": ""农业部办公厅关于开展2017年全国农产品质量安全检测技术能力验证工作的通知.ceb""}",-32,entity_not_found;priority_channel;has_api_attachments,
MANUAL-001,氯霉素,drug,氯霉素公告,农业部办公厅关于开展2018年水产品质检机构检测能力验证工作的通知,https://www.moa.gov.cn/govpublic/YYJ/201803/t20180309_6138192.htm,氯霉素...,2018-03-09,政策,html,www.moa.gov.cn,"{""https://www.moa.gov.cn/govpublic/YYJ/201803/P020180312338013746669.doc"": ""附件.doc""}",28,entity_in_summary;priority_channel;has_api_attachments,
MANUAL-001,氯霉素,drug,氯霉素公告,农业农村部办公厅关于2018年上半年畜禽及蜂产品兽药残留监控检测结果的通报,https://www.moa.gov.cn/govpublic/SYJ/201808/t20180829_6156498.htm,积极参加兽药残留检测方法制修订工作 对存在问题的检测方法及时提出修订意见 对兽药残留监控工作中发现的问题和建议 请及时反馈我部畜牧兽医局 全国兽药残留和耐药性控制专家委员会办公室 附件 2018年上半年兽药残留检测项目类别 农业农村部办公厅 2018年8月23日 联系人 巩忠福 联系电话 010-62103939 附件 2018年上半年兽药残留检测项目类别 序号 动物产品类别 检测药物种类数量 药物通用名称...,2018-08-29,政策,html,www.moa.gov.cn,"{""https://www.moa.gov.cn/govpublic/SYJ/201808/P020180829398860436480.ceb"": ""nby41.ceb""}",-14,entity_not_found;suffix:兽药;priority_channel;has_api_attachments,
MANUAL-001,氯霉素,drug,氯霉素公告,农业部办公厅关于开展2017年水产品质检机构检测能力验证工作的通知,https://www.moa.gov.cn/govpublic/YYJ/201703/t20170313_5518950.htm,动物源食品中氯霉素残留量的测定...,2017-03-09,政策,html,www.moa.gov.cn,"{""https://www.moa.gov.cn/govpublic/YYJ/201703/P020170313401162072057.ceb"": ""农办渔〔2017〕16号.ceb""}",28,entity_in_summary;priority_channel;has_api_attachments,
MANUAL-001,氯霉素,drug,氯霉素公告,中华人民共和国农业部公告第781号,https://www.moa.gov.cn/govpublic/SCYJJXXS/201006/t20100606_1532970.htm,动物源食品中氯霉素残留量的测定气相色谱...,2006-12-16,政策,html,www.moa.gov.cn,{},38,entity_in_summary;suffix:公告;priority_channel,
MANUAL-001,氯霉素,drug,氯霉素公告,农业农村部畜牧兽医局关于2019年全国饲料质量安全监督抽查结果的通报,https://www.moa.gov.cn/govpublic/xmsyj/202005/t20200511_6343615.htm,氯霉素...,2020-05-09,政策,html,www.moa.gov.cn,{},20,entity_in_summary;priority_channel,
MANUAL-001,氯霉素,drug,氯霉素公告,农业部办公厅关于开展水产品药残监督抽查的通知,https://yyj.moa.gov.cn/bjwj/201904/t20190419_6197204.htm,氯霉素和已烯雌酚...,2007-11-12,政策,html,yyj.moa.gov.cn,"{""https://yyj.moa.gov.cn/bjwj/201904/P020190419350436760536.doc"": ""补充通知.doc"", ""https://yyj.moa.gov.cn/bjwj/201904/P020190419350436546498.xls"": ""附件.xls""}",18,entity_in_summary;has_api_attachments,
MANUAL-001,氯霉素,drug,氯霉素禁用,大连市海洋与渔业局采取六项措施确保水产品质量安全,http://www.moa.gov.cn/xw/bmdt/201309/t20130911_3603252.htm,有针对的开展专项检查，以水产育苗、工厂养殖为重点生产环节，以硝基呋喃类、氯霉素禁用渔药为重点查处对象，全市继续深入开展水产品质量安全专项整治，组织水产品质量安全执法拉练检查。...,2013-09-11,新闻,html,www.moa.gov.cn,{},10,entity_in_summary,
MANUAL-001,氯霉素,drug,氯霉素禁用,农业部办公厅关于印发《水产品药残专项整治行动方案》的通知,https://yyj.moa.gov.cn/bjwj/201904/t20190419_6197197.htm,发文单位】农业部办公厅 【发文文号】农办渔[2007]66号 【签发时间】2007年9月4日 【印发时间】2007年9月4日 各省、自治区、直辖市及计划单列市渔业主管厅（局）： 为贯彻落实国务院关于产品质量和食品安全专项整治工作的各项决策和部署，根据《全国产品质量和食品安全专项整治行动方案》和农产品整治组总体方案，我部组织制定了《水产品药残专项整治行动方案》。请结合本省（区、市）生产实际情况，认真贯彻落实。...,2007-09-05,政策,html,yyj.moa.gov.cn,{},-38,entity_not_found;high_value_title,
