entity_id,entity_name,entity_type,query,title,url,summary,doc_date,channel,file_type,source_site,api_attachments,score,matched_terms,error,status,content_type,bytes,text_chars,attachments,html_file,text_file,is_direct_attachment,attachment_file,skipped
MANUAL-001,氯霉素,drug,氯霉素兽药,组织查处涉嫌非法兽药行动的通知,https://www.moa.gov.cn/govpublic/SYJ/201006/t20100606_1535702.htm,组织查处涉嫌非法兽药行动的通知 近期，我部收到有关部门反映部分中兽药产品中添加氯霉素、硝基呋喃等禁用药物和砷类化合物等违法违规问题的通报。...,2009-03-06,政策,html,www.moa.gov.cn,"{""https://www.moa.gov.cn/govpublic/SYJ/201006/P020100606587768925117.ceb"": ""09年农办医[2009]6号.CEB""}",46,entity_in_summary;suffix:兽药;priority_channel;has_api_attachments,,200,text/html,13850,7184,1,pages_html\4cc533992b99_t20100606_1535702.htm.html,pages_text\4cc533992b99_t20100606_1535702.htm.html.txt,False,,
MANUAL-001,氯霉素,drug,氯霉素兽药,杜绝禁用兽药的滥用,http://www.moa.gov.cn/gk/tzgg_1/gg/200212/t20021204_32357.htm,禁止氯霉素等29种兽药用于食品用于动物...,2002-12-04,公开,html,www.moa.gov.cn,{},41,entity_in_summary;suffix:禁用|兽药;priority_channel,,200,text/html,76093,2854,0,pages_html\a4be3330019b_t20021204_32357.htm.html,pages_text\a4be3330019b_t20021204_32357.htm.html.txt,False,,
MANUAL-001,氯霉素,drug,氯霉素公告,中华人民共和国农业部公告第781号,https://www.moa.gov.cn/govpublic/SCYJJXXS/201006/t20100606_1532970.htm,动物源食品中氯霉素残留量的测定气相色谱...,2006-12-16,政策,html,www.moa.gov.cn,{},38,entity_in_summary;suffix:公告;priority_channel,,200,text/html,69519,7183,0,pages_html\6e420c93fc1c_t20100606_1532970.htm.html,pages_text\6e420c93fc1c_t20100606_1532970.htm.html.txt,False,,
MANUAL-003,喹乙醇,disease,喹乙醇通知,关于征求《关于停止喹乙醇、氨苯胂酸、洛克沙胂用于食品动物的公告》（征求意见稿）意见的函,https://www.moa.gov.cn/hd/zqyj/201712/t20171219_6109343.htm,停止生产喹乙醇...,2017-12-06,互动,html,www.moa.gov.cn,{},48,entity_in_title;suffix:公告,,200,text/html,14720,6627,0,pages_html\a1b0eb28fb69_t20171219_6109343.htm.html,pages_text\a1b0eb28fb69_t20171219_6109343.htm.html.txt,False,,
MANUAL-003,喹乙醇,disease,喹乙醇通知,农业部再禁3种兽药用于食品动物——农业部兽医局负责人就禁止喹乙醇等3种兽药用于食品动物等有关情况答记者问,http://www.moa.gov.cn/xw/zwdt/201801/t20180119_6135358.htm,停止在食品动物中使用喹乙醇...,2018-01-19,新闻,html,www.moa.gov.cn,{},30,entity_in_title,,200,text/html,58676,14533,0,pages_html\ffd2d4ce504e_t20180119_6135358.htm.html,pages_text\ffd2d4ce504e_t20180119_6135358.htm.html.txt,False,,
MANUAL-006,莱克多巴胺,disease,莱克多巴胺通知,农业农村部关于印发2026年兽药质量监督抽检和风险监测等3个计划的通知,https://www.moa.gov.cn/govpublic/xmsyj/202603/t20260318_6482396.htm,莱克多巴胺...,2026-03-18,政策,html,www.moa.gov.cn,"{""https://www.moa.gov.cn/govpublic/xmsyj/202603/P020260318598272942969.ofd"": ""农业农村部关于印发2026年兽药质量监督抽检和风险监测等3个计划的通知.ofd""}",36,entity_in_summary;disease_title_miss;suffix:通知|监测;high_value_title;priority_channel;has_api_attachments,,200,text/html,1137646,25696,0,pages_html\70f6439d3875_t20260318_6482396.htm.html,pages_text\70f6439d3875_t20260318_6482396.htm.html.txt,False,,
MANUAL-006,莱克多巴胺,disease,莱克多巴胺通知,农业农村部办公厅关于印发2023年畜禽屠宰质量安全风险监测计划的通知,https://www.moa.gov.cn/govpublic/xmsyj/202302/t20230213_6420415.htm,莱克多巴胺...,2023-02-13,政策,html,www.moa.gov.cn,"{""https://www.moa.gov.cn/govpublic/xmsyj/202302/P020230213553680378567.doc"": ""农业农村部办公厅关于印发2023年畜禽屠宰质量安全风险监测计划的通知 农办牧〔2023〕3号.doc""}",36,entity_in_summary;disease_title_miss;suffix:通知|监测;high_value_title;priority_channel;has_api_attachments,,200,text/html,53296,9984,0,pages_html\db51d086a0d6_t20230213_6420415.htm.html,pages_text\db51d086a0d6_t20230213_6420415.htm.html.txt,False,,
MANUAL-006,莱克多巴胺,disease,莱克多巴胺通知,农业农村部办公厅关于印发2022年生猪等畜禽屠宰质量安全风险监测计划的通知,https://www.moa.gov.cn/govpublic/xmsyj/202203/t20220309_6391172.htm,莱克多巴胺...,2022-03-09,政策,html,www.moa.gov.cn,"{""https://www.moa.gov.cn/govpublic/xmsyj/202203/P020220309544660991611.doc"": ""农业农村部办公厅关于印发2022年生猪等畜禽屠宰质量安全风险监测计划的通知 农办牧〔2022〕9号.doc"", ""https://www.moa.gov.cn/govpublic/xmsyj/202203/P020220310393615170684.pdf"": ""农业农村部办公厅关于印发2022年生猪等畜禽屠宰质量安全风险监测计划的通知 农办牧〔2022〕9号.pdf""}",36,entity_in_summary;disease_title_miss;suffix:通知|监测;high_value_title;priority_channel;has_api_attachments,,200,text/html,54396,10047,0,pages_html\08eeeeee9c62_t20220309_6391172.htm.html,pages_text\08eeeeee9c62_t20220309_6391172.htm.html.txt,False,,
MANUAL-007,黏菌素,drug,黏菌素公告,中华人民共和国农业部公告 第2428号,https://www.moa.gov.cn/govpublic/SYJ/201608/t20160801_5224428.htm,发布修订后的硫酸黏菌素预混剂和硫酸黏菌素预混剂...,2016-07-26,政策,html,www.moa.gov.cn,"{""https://www.moa.gov.cn/govpublic/SYJ/201608/P020160801570268658817.ceb"": ""gg2428.ceb""}",46,entity_in_summary;suffix:公告;priority_channel;has_api_attachments,,200,text/html,43857,6273,1,pages_html\2d11cbc187b7_t20160801_5224428.htm.html,pages_text\2d11cbc187b7_t20160801_5224428.htm.html.txt,False,,
MANUAL-007,黏菌素,drug,黏菌素公告,中华人民共和国农业部公告 第2150号,https://www.moa.gov.cn/govpublic/SYJ/201409/t20140929_4069977.htm,硫酸黏菌素...,2014-09-29,政策,html,www.moa.gov.cn,"{""https://www.moa.gov.cn/govpublic/SYJ/201409/P020140929605386444298.ceb"": ""公告2150.ceb""}",46,entity_in_summary;suffix:公告;priority_channel;has_api_attachments,,200,text/html,90404,8937,1,pages_html\cadb23313e38_t20140929_4069977.htm.html,pages_text\cadb23313e38_t20140929_4069977.htm.html.txt,False,,
