entity_id,entity_name,entity_type,query,title,url,summary,doc_date,channel,file_type,source_site,api_attachments,score,matched_terms,error
RESCUE-001,卡巴氧,drug,卡巴氧通知,农业农村部办公厅关于2018年上半年畜禽及蜂产品兽药残留监控检测结果的通报,https://www.moa.gov.cn/govpublic/SYJ/201808/t20180829_6156498.htm,农业部关于印发2018年动物及动物产品兽药残留监控计划的通知...,2018-08-29,政策,html,www.moa.gov.cn,"{""https://www.moa.gov.cn/govpublic/SYJ/201808/P020180829398860436480.ceb"": ""nby41.ceb""}",-14,entity_not_found;suffix:兽药;priority_channel;has_api_attachments,
RESCUE-001,卡巴氧,drug,卡巴氧通知,农业农村部办公厅关于2019年畜禽及蜂产品兽药残留监控结果的通报,https://www.moa.gov.cn/govpublic/xmsyj/202003/t20200331_6340273.htm,卡巴氧和喹乙醇残留标示物检测...,2020-03-31,政策,html,www.moa.gov.cn,"{""https://www.moa.gov.cn/govpublic/xmsyj/202003/P020200331353949093130.doc"": ""兽药残留检测结果通报.doc""}",46,entity_in_summary;suffix:兽药;priority_channel;has_api_attachments,
RESCUE-001,卡巴氧,drug,卡巴氧通知,中华人民共和国农业农村部公告 第250号,http://www.moa.gov.cn/govpublic/xmsyj/202001/t20200106_6334375.htm,卡巴氧...,2020-01-06,政策,html,www.moa.gov.cn,{},38,entity_in_summary;suffix:公告;priority_channel,
RESCUE-001,卡巴氧,drug,卡巴氧通知,农业部办公厅关于2017年下半年畜禽及蜂产品兽药残留监控检测结果的通报,http://www.moa.gov.cn/govpublic/SYJ/201802/t20180226_6137439.htm,62批样品开展卡巴氧和喹乙醇...,2018-02-26,政策,html,www.moa.gov.cn,"{""http://www.moa.gov.cn/govpublic/SYJ/201802/P020180226370735697250.docx"": ""附件.docx"", ""http://www.moa.gov.cn/govpublic/SYJ/201802/P020180226370735093101.ceb"": ""农办医[2018]6号""}",46,entity_in_summary;suffix:兽药;priority_channel;has_api_attachments,
RESCUE-001,卡巴氧,drug,卡巴氧通知,农业部办公厅关于2017年上半年畜禽及蜂产品兽药残留监控计划检测结果的通报,http://www.moa.gov.cn/govpublic/SYJ/201709/t20170906_5808153.htm,3批来自河南的鸡肉检出呋喃唑酮 7批来自贵州的鸡肉尼卡巴嗪残留标示物超标 针对阳性样品 有关省份及时开展了跟踪抽样检测和相关处理处罚工作 按检测的药物及有害化学物质类别统计 共对983批样品检测氟喹诺酮类残留 1批来自重庆的猪肉检出培氟沙星 3批来自河南的鸡蛋检出氧氟沙星 检测127批样品中尼卡巴嗪残留标示物残留 7批鸡肉样品残留超标 检测160批样品中硝基呋喃类残留 3批来自河南的鸡肉检出呋喃唑酮...,2017-09-06,政策,html,www.moa.gov.cn,{},-22,entity_not_found;suffix:兽药;priority_channel,
RESCUE-001,卡巴氧,drug,卡巴氧通知,中华人民共和国农业部公告第2086号,https://www.moa.gov.cn/govpublic/ncpzlaq/201404/t20140417_3875937.htm,饲料中卡巴氧...,2014-04-17,政策,html,www.moa.gov.cn,"{""https://www.moa.gov.cn/govpublic/ncpzlaq/201404/P020140417600407850189.ceb"": ""第2086号.ceb""}",46,entity_in_summary;suffix:公告;priority_channel;has_api_attachments,
RESCUE-001,卡巴氧,drug,卡巴氧通知,中华人民共和国农业部公告第560号,https://www.moa.gov.cn/govpublic/SYJ/201006/t20100606_1535306.htm,卡巴氧因安全性问题...,2005-10-28,政策,html,www.moa.gov.cn,"{""https://www.moa.gov.cn/govpublic/SYJ/201006/P020100606586278378139.doc"": ""兽药地方标准废止目录.doc""}",46,entity_in_summary;suffix:公告;priority_channel;has_api_attachments,
RESCUE-001,卡巴氧,drug,卡巴氧通知,农业农村部办公厅关于2019年畜禽及蜂产品兽药残留监控检测结果的通报,http://www.moa.gov.cn/nybgb/2020/202005/202006/t20200603_6345877.htm,卡巴氧和喹乙醇残留标示物...,2020-06-03,公开,html,www.moa.gov.cn,{},38,entity_in_summary;suffix:兽药;priority_channel,
RESCUE-001,卡巴氧,drug,卡巴氧监测,2012年上半年残留检测结果汇总表.xls,http://www.moa.gov.cn/gk/tzgg_1/gg/201210/P020121017342855225304.xls,表 附件 2012年上半年动物及动物产品兽药残留检测结果汇总表 检测单位 Testing Laboratory 化合物类别 Group of Substance 化合物 Compound 动物 组织Species Matrix 计划 检样数 samples in plan 完成样数 未检出数 ND 检出数 MRL 超标数 MRL 北京市兽药监察所 B1抗菌类药物Antibacterials 内酰胺类 lactams 牛 奶Bovine Milk 100 50 50 0 0 广东省兽药与饲料监察总...,2012-10-17,公开,excel,www.moa.gov.cn,{},-40,entity_not_found;priority_channel,
RESCUE-007,喹乙醇,drug,喹乙醇通知,农办医【2009】23号,https://www.moa.gov.cn/govpublic/SYJ/201006/t20100606_1535743.htm,喹乙醇超范围滥用现象蔓延...,2009-05-20,政策,html,www.moa.gov.cn,"{""https://www.moa.gov.cn/govpublic/SYJ/201006/P020100606587931305578.ceb"": ""农办医〔2009〕23号.ceb""}",28,entity_in_summary;priority_channel;has_api_attachments,
