entity_id,entity_name,entity_type,query,title,url,summary,doc_date,channel,file_type,source_site,api_attachments,score,matched_terms,error,status,content_type,bytes,text_chars,attachments,html_file,text_file,is_direct_attachment,attachment_file,skipped
RESCUE-001,卡巴氧,drug,卡巴氧通知,农业农村部办公厅关于2019年畜禽及蜂产品兽药残留监控结果的通报,https://www.moa.gov.cn/govpublic/xmsyj/202003/t20200331_6340273.htm,卡巴氧和喹乙醇残留标示物检测...,2020-03-31,政策,html,www.moa.gov.cn,"{""https://www.moa.gov.cn/govpublic/xmsyj/202003/P020200331353949093130.doc"": ""兽药残留检测结果通报.doc""}",46,entity_in_summary;suffix:兽药;priority_channel;has_api_attachments,,200,text/html,53045,7033,1,pages_html\0c76171b4ba4_t20200331_6340273.htm.html,pages_text\0c76171b4ba4_t20200331_6340273.htm.html.txt,False,,
RESCUE-001,卡巴氧,drug,卡巴氧通知,农业部办公厅关于2017年下半年畜禽及蜂产品兽药残留监控检测结果的通报,http://www.moa.gov.cn/govpublic/SYJ/201802/t20180226_6137439.htm,62批样品开展卡巴氧和喹乙醇...,2018-02-26,政策,html,www.moa.gov.cn,"{""http://www.moa.gov.cn/govpublic/SYJ/201802/P020180226370735697250.docx"": ""附件.docx"", ""http://www.moa.gov.cn/govpublic/SYJ/201802/P020180226370735093101.ceb"": ""农办医[2018]6号""}",46,entity_in_summary;suffix:兽药;priority_channel;has_api_attachments,,200,text/html,60374,8090,2,pages_html\d8a2b1fe31da_t20180226_6137439.htm.html,pages_text\d8a2b1fe31da_t20180226_6137439.htm.html.txt,False,,
RESCUE-001,卡巴氧,drug,卡巴氧通知,中华人民共和国农业部公告第2086号,https://www.moa.gov.cn/govpublic/ncpzlaq/201404/t20140417_3875937.htm,饲料中卡巴氧...,2014-04-17,政策,html,www.moa.gov.cn,"{""https://www.moa.gov.cn/govpublic/ncpzlaq/201404/P020140417600407850189.ceb"": ""第2086号.ceb""}",46,entity_in_summary;suffix:公告;priority_channel;has_api_attachments,,200,text/html,53587,6424,1,pages_html\bdfe6827d0e1_t20140417_3875937.htm.html,pages_text\bdfe6827d0e1_t20140417_3875937.htm.html.txt,False,,
RESCUE-002,二甲硝咪唑,drug,二甲硝咪唑通知,中华人民共和国农业部公告第545号,https://www.moa.gov.cn/govpublic/SCYJJXXS/201006/t20100606_1532955.htm,饲料中二甲硝咪唑的测定...,2005-09-21,政策,html,www.moa.gov.cn,{},38,entity_in_summary;suffix:公告;priority_channel,,200,text/html,78313,6888,0,pages_html\c3bb958aebe1_t20100606_1532955.htm.html,pages_text\c3bb958aebe1_t20100606_1532955.htm.html.txt,False,,
RESCUE-002,二甲硝咪唑,drug,二甲硝咪唑通知,中华人民共和国农业部公告 第545号,http://www.moa.gov.cn/gk/tzgg_1/gg/200510/t20051021_479329.htm,饲料中二甲硝咪唑的测定...,2005-10-12,公开,html,www.moa.gov.cn,{},38,entity_in_summary;suffix:公告;priority_channel,,200,text/html,35067,854,0,pages_html\beae2f171727_t20051021_479329.htm.html,pages_text\beae2f171727_t20051021_479329.htm.html.txt,False,,
RESCUE-002,二甲硝咪唑,drug,二甲硝咪唑通知,批准日本武田药品工业株式会社等7家公司的7 种兽药产品在我国注册或再注册,http://www.moa.gov.cn/gk/tzgg_1/gg/200210/t20021016_14626.htm,复方二甲硝咪唑可溶性粉...,2001-04-02,公开,html,www.moa.gov.cn,{},38,entity_in_summary;suffix:兽药;priority_channel,,200,text/html,11681,1491,0,pages_html\526651fc7821_t20021016_14626.htm.html,pages_text\526651fc7821_t20021016_14626.htm.html.txt,False,,
RESCUE-003,罗硝唑,drug,罗硝唑通知,兽药非法添加物检测标准与方法汇总,https://xmsyj.moa.gov.cn/zcjd/202403/t20240321_6452006.htm,罗硝唑...,2024-03-21,新闻,html,xmsyj.moa.gov.cn,"{""https://xmsyj.moa.gov.cn/zcjd/202403/P020240321537386365269.pdf"": ""中华人民共和国农业农村部公告第611号-复方麻黄散中非法添加咋烯酮检查方法.pdf"", ""https://xmsyj.moa.gov.cn/zcjd/202403/P020240321537365308338.pdf"": ""农业部公告第2448号-12.pdf"", ""https://xmsyj.moa.gov.cn/zcjd/202403/P020240321537373984565.pdf"": ""农业部公告第2448号-27.pdf"", ""https://xmsyj.moa.gov.cn/zcjd/202403/P020240321537358143820.pdf"": ""农业部公告第2395号.pdf"", ""https://xmsyj.moa.gov.cn/zcjd/202403/P020240321537378132598.pdf"": ""农业部公告第2451号-4.pdf"", ""https://xmsyj.moa.gov.cn/zcjd/202403/P020240321537361489847.pdf"": ""农业部公告第2448号-6.pdf"", ""https://xmsyj.moa.gov.cn/zcjd/202403/P020240321537368372653.pdf"": ""农业部公告第2448号-18.pdf"", ""https://xmsyj.moa.gov.cn/zcjd/202403/P020240321537366444376.pdf"": ""农业部公告第2448号-13.pdf"", ""https://xmsyj.moa.gov.cn/zcjd/202403/P020240321537376512789.pdf"": ""农业部公告第2448号-34.pdf"", ""https://xmsyj.moa.gov.cn/zcjd/202403/P020240321537370749617.pdf"": ""农业部公告第2448号-20.pdf"", ""https://xmsyj.moa.gov.cn/zcjd/202403/P020240321537373637374.pdf"": ""农业部公告第2448号-26.pdf"", ""https://xmsyj.moa.gov.cn/zcjd/202403/P020240321537366820888.pdf"": ""农业部公告第2448号-14.pdf"", ""https://xmsyj.moa.gov.cn/zcjd/202403/P020240321537374365927.pdf"": ""农业部公告第2448号-28.pdf"", ""https://xmsyj.moa.gov.cn/zcjd/202403/P020240321537373305577.pdf"": ""农业部公告第2448号-25.pdf"", ""https://xmsyj.moa.gov.cn/zcjd/202403/P020240321537362914813.pdf"": ""农业部公告第2448号-9.pdf"", ""https://xmsyj.moa.gov.cn/zcjd/202403/P020240321537377642126.pdf"": ""农业部公告第2451号-3.pdf"", ""https://xmsyj.moa.gov.cn/zcjd/202403/P020240321537383902768.pdf"": ""中华人民共和国农业农村部公告第199号.pdf"", ""https://xmsyj.moa.gov.cn/zcjd/202403/P020240321537385513973.pdf"": ""中华人民共和国农业农村部公告第485号.pdf"", ""https://xmsyj.moa.gov.cn/zcjd/202403/P020240322410746185916.pdf"": ""农业部公告第2538号.pdf"", ""https://xmsyj.moa.gov.cn/zcjd/202403/P020240321537385129575.pdf"": ""中华人民共和国农业农村部公告第384号.pdf"", ""https://xmsyj.moa.gov.cn/zcjd/202403/P020240321537367229953.pdf"": ""农业部公告第2448号-15.pdf"", ""https://xmsyj.moa.gov.cn/zcjd/202403/P020240321537370177273.pdf"": ""农业部公告第2448号-19.pdf"", ""https://xmsyj.moa.gov.cn/zcjd/202403/P020240321537371791519.pdf"": ""农业部公告第2448号-23.pdf"", ""https://xmsyj.moa.gov.cn/zcjd/202403/P020240321537367586408.pdf"": ""农业部公告第2448号-16.pdf"", ""https://xmsyj.moa.gov.cn/zcjd/202403/P020240321537362044945.pdf"": ""农业部公告第2448号-7.pdf"", ""https://xmsyj.moa.gov.cn/zcjd/202403/P020240321537376933762.pdf"": ""农业部公告第2451号-1.pdf"", ""https://xmsyj.moa.gov.cn/zcjd/202403/P020240321537358599595.pdf"": ""农业部公告第2398号.pdf"", ""https://xmsyj.moa.gov.cn/zcjd/202403/P020240321537374703752.pdf"": ""农业部公告第2448号-29.pdf"", ""https://xmsyj.moa.gov.cn/zcjd/202403/P020240321537375756540.pdf"": ""农业部公告第2448号-32.pdf"", ""https://xmsyj.moa.gov.cn/zcjd/202403/P020240321537381670858.pdf"": ""农业部公告第2451号-5.pdf"", ""https://xmsyj.moa.gov.cn/zcjd/202403/P020240321537387134582.pdf"": ""中华人民共和国农业农村部公告第169号.pdf"", ""https://xmsyj.moa.gov.cn/zcjd/202403/P020240321537371452160.pdf"": ""农业部公告第2448号-22.pdf"", ""https://xmsyj.moa.gov.cn/zcjd/202403/P020240321537372948944.pdf"": ""农业部公告第2448号-24.pdf"", ""https://xmsyj.moa.gov.cn/zcjd/202403/P020240321537375408415.pdf"": ""农业部公告第2448号-31.pdf"", ""https://xmsyj.moa.gov.cn/zcjd/202403/P020240321537360607573.pdf"": ""农业部公告第2448号-4.pdf"", ""https://xmsyj.moa.gov.cn/zcjd/202403/P020240321537383112052.pdf"": ""农业部公告第2571号.pdf"", ""https://xmsyj.moa.gov.cn/zcjd/202403/P020240321537371101130.pdf"": ""农业部公告第2448号-21.pdf"", ""https://xmsyj.moa.gov.cn/zcjd/202403/P020240321537358988985.pdf"": ""农业部公告第2448号-1.pdf"", ""https://xmsyj.moa.gov.cn/zcjd/202403/P020240321537382699851.pdf"": ""农业部公告第2494号.pdf"", ""https://xmsyj.moa.gov.cn/zcjd/202403/P020240321537377280279.pdf"": ""农业部公告第2451号-2.pdf"", ""https://xmsyj.moa.gov.cn/zcjd/202403/P020240321537359715723.pdf"": ""农业部公告第2448号-2.pdf"", ""https://xmsyj.moa.gov.cn/zcjd/202403/P020240321537384755582.pdf"": ""中华人民共和国农业农村部公告第361号.pdf"", ""https://xmsyj.moa.gov.cn/zcjd/202403/P020240321537375044869.pdf"": ""农业部公告第2448号-30.pdf"", ""https://xmsyj.moa.gov.cn/zcjd/202403/P020240321537363754418.pdf"": ""农业部公告第2448号-11.pdf"", ""https://xmsyj.moa.gov.cn/zcjd/202403/P020240321537367977936.pdf"": ""农业部公告第2448号-17.pdf"", ""https://xmsyj.moa.gov.cn/zcjd/202403/P020240321537360087664.pdf"": ""农业部公告第2448号-3.pdf"", ""https://xmsyj.moa.gov.cn/zcjd/202403/P020240321537384333191.pdf"": ""中华人民共和国农业农村部公告第289号.pdf"", ""https://xmsyj.moa.gov.cn/zcjd/202403/P020240321537363343773.pdf"": ""农业部公告第2448号-10.pdf"", ""https://xmsyj.moa.gov.cn/zcjd/202403/P020240322410745368369.pdf"": ""中华人民共和国农业农村部公告第717号.pdf"", ""https://xmsyj.moa.gov.cn/zcjd/202403/P020240321537376129656.pdf"": ""农业部公告第2448号-33.pdf"", ""https://xmsyj.moa.gov.cn/zcjd/202403/P020240321537385923163.pdf"": ""中华人民共和国农业农村部公告第611号-恩诺沙星注射液中非法添加吠塞米检查方法.pdf"", ""https://xmsyj.moa.gov.cn/zcjd/202403/P020240321537361067867.pdf"": ""农业部公告第2448号-5.pdf"", ""https://xmsyj.moa.gov.cn/zcjd/202403/P020240321537362411918.pdf"": ""农业部公告第2448号-8.pdf"", ""https://xmsyj.moa.gov.cn/zcjd/202403/P020240321537386762400.pdf"": ""中华人民共和国农业农村部公告第611号-硫酸新霉素可溶性粉中非法添加苯并咪咄.pdf""}",46,entity_in_summary;suffix:兽药;priority_channel;has_api_attachments,,200,text/html,357971,18153,55,pages_html\96c452c9a614_t20240321_6452006.htm.html,pages_text\96c452c9a614_t20240321_6452006.htm.html.txt,False,,
RESCUE-003,罗硝唑,drug,罗硝唑通知,附件.doc,https://www.moa.gov.cn/govpublic/xmsyj/202005/P020200508518681078507.doc,本方法罗硝唑...,2020-05-08,政策,word,www.moa.gov.cn,{},20,entity_in_summary;priority_channel,,200,application/msword,94208,0,0,,,True,attachments\f3d3be784966_P020200508518681078507.doc,
RESCUE-006,替米考星,drug,替米考星通知,农业农村部关于印发2026年兽药质量监督抽检和风险监测等3个计划的通知,https://www.moa.gov.cn/govpublic/xmsyj/202603/t20260318_6482396.htm,替米考星...,2026-03-18,政策,html,www.moa.gov.cn,"{""https://www.moa.gov.cn/govpublic/xmsyj/202603/P020260318598272942969.ofd"": ""农业农村部关于印发2026年兽药质量监督抽检和风险监测等3个计划的通知.ofd""}",58,entity_in_summary;suffix:兽药;high_value_title;priority_channel;has_api_attachments,,200,text/html,1137646,25696,0,pages_html\70f6439d3875_t20260318_6482396.htm.html,pages_text\70f6439d3875_t20260318_6482396.htm.html.txt,False,,
RESCUE-006,替米考星,drug,替米考星通知,中华人民共和国农业农村部公告 第1015号,https://www.moa.gov.cn/govpublic/xmsyj/202604/t20260428_6483711.htm,替米考星溶液...,2026-04-28,政策,html,www.moa.gov.cn,"{""https://www.moa.gov.cn/govpublic/xmsyj/202604/P020260428343462773402.pdf"": ""农业农村部公告 第1015号说明书标签.pdf""}",46,entity_in_summary;suffix:公告;priority_channel;has_api_attachments,,200,text/html,154151,9119,0,pages_html\ef9585110a45_t20260428_6483711.htm.html,pages_text\ef9585110a45_t20260428_6483711.htm.html.txt,False,,
