link_text,url,source_page,status,content_type,bytes,file,error
农业农村部关于印发《非洲猪瘟疫情应急实施方案（第六版）》的通知.ofd,https://www.moa.gov.cn/govpublic/xmsyj/202412/P020241227576711451182.ofd,https://www.moa.gov.cn/govpublic/xmsyj/202412/t20241227_6468604.htm,200,,1098192,attachments\b68e5ba65f67_P020241227576711451182.ofd,
农牧发【2021】7号.ofd,https://www.moa.gov.cn/govpublic/xmsyj/202104/P020210429591751077962.ofd,https://www.moa.gov.cn/govpublic/xmsyj/202104/t20210429_6367009.htm,200,application/octet-stream,1361742,attachments\d9d36de3acc2_P020210429591751077962.ofd,
农牧发[2020]21号.ofd,http://www.moa.gov.cn/govpublic/xmsyj/202006/P020200602410620485706.ofd,http://www.moa.gov.cn/govpublic/xmsyj/202006/t20200602_6345726.htm,200,,1474119,attachments\227ff99bc318_P020200602410620485706.ofd,
《口蹄疫疫情应急实施方案（2026年版）（征求意见稿）》.docx,https://xmsyj.moa.gov.cn/gzdt/202605/P020260507566304703096.docx,https://xmsyj.moa.gov.cn/gzdt/202605/t20260507_6483971.htm,200,application/vnd.openxmlformats-officedocument.wordprocessingml.document,3845361,attachments\d5ac1f3e6d46_P020260507566304703096.docx,
国家兽医参考专业实验室申请表.docx,https://www.moa.gov.cn/govpublic/xmsyj/202412/P020241210336254873984.docx,https://www.moa.gov.cn/govpublic/xmsyj/202412/t20241210_6467722.htm,200,application/vnd.openxmlformats-officedocument.wordprocessingml.document,58980,attachments\17f351485d5e_P020241210336254873984.docx,
农医发〔2014〕10号.CEB,https://www.moa.gov.cn/govpublic/SYJ/201403/P020140314328471703104.ceb,https://www.moa.gov.cn/govpublic/SYJ/201403/t20140314_3814172.htm,200,application/octet-stream,30585,attachments\a20472c4595b_P020140314328471703104.ceb,
说明书和标签.pdf,https://www.moa.gov.cn/govpublic/xmsyj/202601/P020260108543412355695.pdf,https://www.moa.gov.cn/govpublic/xmsyj/202601/t20260107_6480491.htm,200,application/pdf,778446,attachments\f6e6f119118b_P020260108543412355695.pdf,
农业农村部关于印发2026年兽药质量监督抽检和风险监测等3个计划的通知.ofd,https://www.moa.gov.cn/govpublic/xmsyj/202603/P020260318598272942969.ofd,https://www.moa.gov.cn/govpublic/xmsyj/202603/t20260318_6482396.htm,200,application/octet-stream,1482978,attachments\e7e51a2841db_P020260318598272942969.ofd,
说明书和标签.pdf,https://www.moa.gov.cn/govpublic/xmsyj/202604/P020260416314446595047.pdf,https://www.moa.gov.cn/govpublic/xmsyj/202604/t20260416_6483273.htm,200,application/pdf,522846,attachments\4d11539c696b_P020260416314446595047.pdf,
公告55.ceb,https://www.moa.gov.cn/govpublic/SYJ/201809/P020180903588935138850.ceb,https://www.moa.gov.cn/govpublic/SYJ/201809/t20180903_6156735.htm,200,application/octet-stream,1962428,attachments\4f5708195c69_P020180903588935138850.ceb,
农业农村部公告 第995号.ofd,https://www.moa.gov.cn/govpublic/xmsyj/202602/P020260330510774656990.ofd,https://www.moa.gov.cn/govpublic/xmsyj/202602/t20260204_6481296.htm,200,application/octet-stream,1597215,attachments\88a10c056e18_P020260330510774656990.ofd,
公告1738号.ceb,http://www.moa.gov.cn/govpublic/SYJ/201204/P020120417395042903284.ceb,http://www.moa.gov.cn/govpublic/SYJ/201204/t20120417_2604309.htm,200,application/octet-stream,89368,attachments\3278b89cbaa1_P020120417395042903284.ceb,
附件：注销证书目录.doc,http://www.moa.gov.cn/govpublic/SYJ/201204/P020120417395042902939.doc,http://www.moa.gov.cn/govpublic/SYJ/201204/t20120417_2604309.htm,200,application/msword,30208,attachments\95343c31c0d5_P020120417395042902939.doc,
注销文号目录.xls,http://www.moa.gov.cn/govpublic/SYJ/201204/P020120417395042435269.xls,http://www.moa.gov.cn/govpublic/SYJ/201204/t20120417_2604309.htm,200,application/vnd.ms-excel,42496,attachments\fef330bef90c_P020120417395042435269.xls,
