entity_id,entity_name,entity_type,query,title,url,summary,doc_date,channel,file_type,source_site,api_attachments,score,matched_terms,error,status,content_type,bytes,text_chars,attachments,html_file,text_file,is_direct_attachment,attachment_file,skipped
MANUAL-001,猪瘟,disease,猪瘟通知,农业农村部关于印发《非洲猪瘟疫情应急实施方案（第六版）》的通知,https://www.moa.gov.cn/govpublic/xmsyj/202412/t20241227_6468604.htm,"自治区、直辖市及计划单列市农业农村（农牧）、畜牧兽医厅（局、委），新疆生产建设兵团农业农村局，部属有关事业单位： 为更加科学精准处置非洲猪瘟疫情,强化常态化防控,根据近年防控实践和当前防控形势需要,我部组织制定了《非洲猪瘟疫情应急实施方案（第六版）》，现予印发，请遵照执行。...",2024-12-20,政策,html,www.moa.gov.cn,"{""https://www.moa.gov.cn/govpublic/xmsyj/202412/P020241227576711451182.ofd"": ""农业农村部关于印发《非洲猪瘟疫情应急实施方案（第六版）》的通知.ofd""}",84,entity_in_title;suffix:通知|实施方案|应急;high_value_title;priority_channel;has_api_attachments,,200,text/html,46522,6942,0,pages_html\e5b9ef098ffe_t20241227_6468604.htm.html,pages_text\e5b9ef098ffe_t20241227_6468604.htm.html.txt,False,,
MANUAL-001,猪瘟,disease,猪瘟通报,农业农村部关于印发《非洲猪瘟疫情应急实施方案（第五版）》的通知,https://www.moa.gov.cn/govpublic/xmsyj/202104/t20210429_6367009.htm,索 引 号 07B260371202100189 信息所属单位 畜牧兽医局 信息名称 农业农村部关于印发《非洲猪瘟疫情应急实施方案（第五版）》的通知 文 号 农牧发〔2021〕7号 生效日期 发布日期 2021年04月29日 内容概述 为适应非洲猪瘟防控新形势新要求，强化常态化防控，指导各地科学规范处置疫情，我部在总结前期防控实践经验的基础上，结合当前防控实际，组织制定了《非洲猪瘟疫情应急实施方案（第五版）》，现印发你们，请遵照执行。...,2021-04-29,政策,html,www.moa.gov.cn,"{""https://www.moa.gov.cn/govpublic/xmsyj/202104/P020210429591751077962.ofd"": ""农牧发【2021】7号.ofd""}",84,entity_in_title;suffix:通知|实施方案|应急;high_value_title;priority_channel;has_api_attachments,,200,text/html,46796,6995,0,pages_html\6f0969ecfabe_t20210429_6367009.htm.html,pages_text\6f0969ecfabe_t20210429_6367009.htm.html.txt,False,,
MANUAL-001,猪瘟,disease,猪瘟实施方案,农业农村部关于印发《非洲猪瘟疫情应急实施方案（2020年第二版）》的通知,http://www.moa.gov.cn/govpublic/xmsyj/202006/t20200602_6345726.htm,非洲猪瘟疫情应急实施方案...,2020-06-02,政策,html,www.moa.gov.cn,"{""http://www.moa.gov.cn/govpublic/xmsyj/202006/P020200602410620485706.ofd"": ""农牧发[2020]21号.ofd""}",84,entity_in_title;suffix:通知|实施方案|应急;high_value_title;priority_channel;has_api_attachments,,200,text/html,42550,5472,1,pages_html\c310d392d066_t20200602_6345726.htm.html,pages_text\c310d392d066_t20200602_6345726.htm.html.txt,False,,
MANUAL-002,口蹄疫,disease,口蹄疫通知,农业农村部畜牧兽医局关于公开征求口蹄疫疫情应急实施方案意见的通知,https://xmsyj.moa.gov.cn/gzdt/202605/t20260507_6483971.htm,农业农村部畜牧兽医局关于公开征求口蹄疫疫情应急实施方案意见的通知...,2026-05-07,新闻,html,xmsyj.moa.gov.cn,"{""https://xmsyj.moa.gov.cn/gzdt/202605/P020260507566304703096.docx"": ""《口蹄疫疫情应急实施方案（2026年版）（征求意见稿）》.docx""}",84,entity_in_title;suffix:通知|实施方案|应急;high_value_title;priority_channel;has_api_attachments,,200,text/html,57671,9498,1,pages_html\0628d65de10f_t20260507_6483971.htm.html,pages_text\0628d65de10f_t20260507_6483971.htm.html.txt,False,,
MANUAL-002,口蹄疫,disease,口蹄疫技术指南,家畜口蹄疫防控技术指南,https://xmsyj.moa.gov.cn/zcjd/202404/t20240423_6454217.htm,我国口蹄疫疫情形势总体平稳，但国家口蹄疫参考实验室发现部分猪群中口蹄疫流行毒株发生变异，同时中东地区近年来流行的南非2型（SAT 2型）口蹄疫病毒传入我国风险较高，防控工作面临新挑战。...,2024-04-23,新闻,html,xmsyj.moa.gov.cn,{},73,entity_in_title;suffix:技术指南|防控;high_value_title;priority_channel,,200,text/html,79390,11426,0,pages_html\07007e75892d_t20240423_6454217.htm.html,pages_text\07007e75892d_t20240423_6454217.htm.html.txt,False,,
MANUAL-002,口蹄疫,disease,口蹄疫通知,农业农村部畜牧兽医局关于组织申报小反刍兽疫等动物疫病国家参考实验室和国家口蹄疫专业实验室的通知,https://www.moa.gov.cn/govpublic/xmsyj/202412/t20241210_6467722.htm,各有关单位: 根据《国家兽医参考实验室管理办法》（以下简称《办法》），我局拟组织开展小反刍兽疫、炭疽、蓝舌病、牛结节性皮肤病、沙门氏菌病、禽白血病、伪狂犬病、山羊传染性胸膜肺炎等动物疫病国家参考实验室和国家口蹄疫专业实验室申报工作。...,2024-12-10,政策,html,www.moa.gov.cn,"{""https://www.moa.gov.cn/govpublic/xmsyj/202412/P020241210336254873984.docx"": ""国家兽医参考专业实验室申请表.docx""}",66,entity_in_title;suffix:通知;priority_channel;has_api_attachments,,200,text/html,49965,8432,0,pages_html\ab8ae0e5f988_t20241210_6467722.htm.html,pages_text\ab8ae0e5f988_t20241210_6467722.htm.html.txt,False,,
MANUAL-003,猪繁殖与呼吸综合征,disease,猪繁殖与呼吸综合征通知,农业部关于印发《常见动物疫病免疫推荐方案（试行）》的通知,https://www.moa.gov.cn/govpublic/SYJ/201403/t20140314_3814172.htm,猪繁殖与呼吸综合征...,2014-03-12,政策,html,www.moa.gov.cn,"{""https://www.moa.gov.cn/govpublic/SYJ/201403/P020140314328471703104.ceb"": ""农医发〔2014〕10号.CEB""}",58,entity_in_summary;suffix:通知;high_value_title;priority_channel;has_api_attachments,,200,text/html,58001,9460,1,pages_html\833f8554de3b_t20140314_3814172.htm.html,pages_text\833f8554de3b_t20140314_3814172.htm.html.txt,False,,
MANUAL-003,猪繁殖与呼吸综合征,disease,猪繁殖与呼吸综合征通知,春季生猪常见疫病防控技术指南,https://xmsyj.moa.gov.cn/zcjd/202103/t20210304_6362923.htm,猪繁殖与呼吸综合征...,2021-03-04,政策,html,xmsyj.moa.gov.cn,{},53,entity_in_summary;suffix:技术指南|防控;high_value_title;priority_channel,,200,text/html,119688,18580,0,pages_html\a339c1d00ddb_t20210304_6362923.htm.html,pages_text\a339c1d00ddb_t20210304_6362923.htm.html.txt,False,,
MANUAL-003,猪繁殖与呼吸综合征,disease,猪繁殖与呼吸综合征通知,中华人民共和国农业农村部公告 第981号,https://www.moa.gov.cn/govpublic/xmsyj/202601/t20260107_6480491.htm,猪繁殖与呼吸综合征病毒...,2026-01-07,政策,html,www.moa.gov.cn,"{""https://www.moa.gov.cn/govpublic/xmsyj/202601/P020260108543412355695.pdf"": ""说明书和标签.pdf""}",46,entity_in_summary;suffix:公告;priority_channel;has_api_attachments,,200,text/html,341686,14297,0,pages_html\ba3b163782da_t20260107_6480491.htm.html,pages_text\ba3b163782da_t20260107_6480491.htm.html.txt,False,,
MANUAL-004,恩诺沙星,drug,恩诺沙星公告,农业农村部关于印发2026年兽药质量监督抽检和风险监测等3个计划的通知,https://www.moa.gov.cn/govpublic/xmsyj/202603/t20260318_6482396.htm,恩诺沙星与环丙沙星之和...,2026-03-18,政策,html,www.moa.gov.cn,"{""https://www.moa.gov.cn/govpublic/xmsyj/202603/P020260318598272942969.ofd"": ""农业农村部关于印发2026年兽药质量监督抽检和风险监测等3个计划的通知.ofd""}",58,entity_in_summary;suffix:兽药;high_value_title;priority_channel;has_api_attachments,,200,text/html,1137646,25696,0,pages_html\70f6439d3875_t20260318_6482396.htm.html,pages_text\70f6439d3875_t20260318_6482396.htm.html.txt,False,,
