entity_id,entity_name,entity_type,query,title,url,summary,doc_date,channel,file_type,source_site,api_attachments,score,matched_terms,error
DIS-024,猪瘟,disease,猪瘟通知,农业农村部办公厅关于进一步严厉打击非洲猪瘟假疫苗有关违法行为的通知,https://www.moa.gov.cn/govpublic/xmsyj/202103/t20210308_6363156.htm,现就进一步严厉打击非洲猪瘟假疫苗违法行为有关工作通知如下...,2021-03-08,政策,html,www.moa.gov.cn,"{""https://www.moa.gov.cn/govpublic/xmsyj/202103/P020210308442953632268.docx"": ""附件1 严厉打击非洲猪瘟假疫苗明白纸.docx"", ""https://www.moa.gov.cn/govpublic/xmsyj/202103/P020210308442953776049.docx"": ""附件2 严厉打击非洲猪瘟假疫苗工作情况统计表.docx"", ""https://www.moa.gov.cn/govpublic/xmsyj/202103/P020210308442953920564.docx"": ""附件3 非洲猪瘟病毒毒株鉴别检测阳性信息表.docx"", ""https://www.moa.gov.cn/govpublic/xmsyj/202103/P020210308442954086300.ofd"": ""农业农村部办公厅关于进一步严厉打击非洲猪瘟假疫苗有关违法行为的通知.ofd""}",-14,entity_in_title;confusion:非洲猪瘟;suffix:通知;priority_channel;has_api_attachments,
DIS-024,猪瘟,disease,猪瘟通知,农业农村部关于开展落实生猪屠宰环节非洲猪瘟自检和 官方兽医派驻制度百日行动的通知,https://www.moa.gov.cn/govpublic/SYJ/201904/t20190425_6212855.htm,农业农村部关于加强屠宰环节非洲猪瘟检测工作的通知...,2019-04-25,政策,html,www.moa.gov.cn,{},-22,entity_in_title;confusion:非洲猪瘟;suffix:通知;priority_channel,
DIS-024,猪瘟,disease,猪瘟通知,农业农村部关于印发《非洲猪瘟疫情应急实施方案（第六版）》的通知,https://www.moa.gov.cn/govpublic/xmsyj/202412/t20241227_6468604.htm,"自治区、直辖市及计划单列市农业农村（农牧）、畜牧兽医厅（局、委），新疆生产建设兵团农业农村局，部属有关事业单位： 为更加科学精准处置非洲猪瘟疫情,强化常态化防控,根据近年防控实践和当前防控形势需要,我部组织制定了《非洲猪瘟疫情应急实施方案（第六版）》，现予印发，请遵照执行。...",2024-12-20,政策,html,www.moa.gov.cn,"{""https://www.moa.gov.cn/govpublic/xmsyj/202412/P020241227576711451182.ofd"": ""农业农村部关于印发《非洲猪瘟疫情应急实施方案（第六版）》的通知.ofd""}",4,entity_in_title;confusion:非洲猪瘟;suffix:通知|实施方案|应急;high_value_title;priority_channel;has_api_attachments,
DIS-024,猪瘟,disease,猪瘟通知,农业农村部办公厅关于进一步严厉打击违法研制生产经营使用非洲猪瘟疫苗行为的通知,https://www.moa.gov.cn/govpublic/xmsyj/202008/t20200825_6350896.htm,为切实推动非洲猪瘟防控工作有序开展，保持生猪生产恢复向好势头，现就严厉打击违法研制生产经营使用非洲猪瘟疫苗行为有关事项通知如下。...,2020-08-25,政策,html,www.moa.gov.cn,"{""https://www.moa.gov.cn/govpublic/xmsyj/202008/P020200825588190237957.docx"": ""附件 非洲猪瘟病毒流行株与基因缺失株鉴别检测规范 .docx"", ""https://www.moa.gov.cn/govpublic/xmsyj/202008/P020200825588190619154.ofd"": ""农办牧〔2020〕39号.ofd""}",-14,entity_in_title;confusion:非洲猪瘟;suffix:通知;priority_channel;has_api_attachments,
DIS-024,猪瘟,disease,猪瘟通知,农业农村部办公厅 公安部办公厅 市场监管总局办公厅关于开展打击私屠滥宰防控非洲猪瘟保证生猪产品质量安全专项治理行动的通知,http://www.moa.gov.cn/govpublic/SYJ/201812/t20181218_6165133.htm,国务院办公厅关于做好非洲猪瘟等动物疫病防控工作的通知...,2018-12-18,政策,html,www.moa.gov.cn,"{""http://www.moa.gov.cn/govpublic/SYJ/201812/P020181218574881175567.ceb"": ""农办牧〔2018〕72号.CEB""}",-11,entity_in_title;confusion:非洲猪瘟;suffix:通知|防控;priority_channel;has_api_attachments,
DIS-024,猪瘟,disease,猪瘟通知,农业农村部办公厅关于印发《打击生猪屠宰领域违法行为 做好非洲猪瘟防控专项行动方案》的通知,http://www.moa.gov.cn/govpublic/SYJ/201810/t20181030_6161936.htm,国务院办公厅关于进一步做好非洲猪瘟防控工作的通知...,2018-10-30,政策,html,www.moa.gov.cn,"{""http://www.moa.gov.cn/govpublic/SYJ/201810/P020181030561394115971.ceb"": ""农办牧〔2018〕59号.CEB""}",1,entity_in_title;confusion:非洲猪瘟;suffix:通知|防控;high_value_title;priority_channel;has_api_attachments,
DIS-024,猪瘟,disease,猪瘟通知,严格执行“十不得” 确保非洲猪瘟疫情不反弹,https://www.moa.gov.cn/govpublic/xmsyj/202003/t20200330_6340222.htm,非洲猪瘟疫情应急实施方案...,2020-03-30,政策,html,www.moa.gov.cn,{},-40,entity_in_title;confusion:非洲猪瘟;priority_channel,
DIS-024,猪瘟,disease,猪瘟通知,中华人民共和国农业农村部公告第995号,https://www.moa.gov.cn/govpublic/xmsyj/202602/t20260204_6481296.htm,猪瘟病毒...,2026-02-04,政策,html,www.moa.gov.cn,"{""https://www.moa.gov.cn/govpublic/xmsyj/202602/P020260330510774656990.ofd"": ""农业农村部公告 第995号.ofd""}",46,entity_in_summary;suffix:公告;priority_channel;has_api_attachments,
DIS-024,猪瘟,disease,猪瘟通知,中华人民共和国农业农村部公告 第970号,https://www.moa.gov.cn/govpublic/xmsyj/202511/t20251126_6479218.htm,非洲猪瘟病毒ELISA抗体检测试剂盒...,2025-11-26,政策,html,www.moa.gov.cn,"{""https://www.moa.gov.cn/govpublic/xmsyj/202511/P020251126407200356905.pdf"": ""说明书和标签.pdf""}",46,entity_in_summary;suffix:公告;priority_channel;has_api_attachments,
DIS-024,猪瘟,disease,猪瘟公告,海关总署 农业农村部公告2018年第35号（关于防止匈牙利非洲猪瘟传入我国的公告）,https://www.moa.gov.cn/govpublic/SYJ/201805/t20180521_6142731.htm,4月23日，匈牙利农业部向OIE紧急报告，匈牙利赫维什州（Heves）于4月20日发生1起野猪非洲猪瘟疫情。...,2018-05-07,政策,html,www.moa.gov.cn,{},-22,entity_in_title;confusion:非洲猪瘟;suffix:公告;priority_channel,
DIS-024,猪瘟,disease,猪瘟公告,农业农村部办公厅 市场监督管理总局办公厅 关于做好非洲猪瘟病毒检测结果通报...,http://www.moa.gov.cn/govpublic/SYJ/201905/t20190516_6305465.htm,关于在加工流通环节开展非洲猪瘟病毒检测的公告...,2019-05-14,政策,html,www.moa.gov.cn,{},-22,entity_in_title;confusion:非洲猪瘟;suffix:通报;priority_channel,
DIS-024,猪瘟,disease,猪瘟公告,农业农村部办公厅 市场监督管理总局办公厅 关于做好非洲猪瘟病毒检测结果通报和发布的通知,https://xmsyj.moa.gov.cn/zcjd/201905/t20190522_6313958.htm,关于在加工流通环节开展非洲猪瘟病毒检测的公告...,2019-05-22,政策,html,xmsyj.moa.gov.cn,{},-19,entity_in_title;confusion:非洲猪瘟;suffix:通知|通报;priority_channel,
DIS-024,猪瘟,disease,猪瘟公告,中华人民共和国农业农村部公告 第1013号,https://www.moa.gov.cn/govpublic/xmsyj/202604/t20260424_6483601.htm,非洲猪瘟病毒...,2026-04-24,政策,html,www.moa.gov.cn,"{""https://www.moa.gov.cn/govpublic/xmsyj/202604/P020260424375190580207.ofd"": ""中华人民共和国农业农村部公告第1013号.ofd""}",46,entity_in_summary;suffix:公告;priority_channel;has_api_attachments,
DIS-024,猪瘟,disease,猪瘟技术指南,养猪场非洲猪瘟变异株监测技术指南,https://www.moa.gov.cn/govpublic/xmsyj/202103/t20210322_6364254.htm,国家非洲猪瘟参考实验室 为指导养猪场做好非洲猪瘟监测工作，及时发现非洲猪瘟病毒特别是变异株感染情况，提升非洲猪瘟防控能力，特制定本技术指南。...,2021-03-22,政策,html,www.moa.gov.cn,{},-7,entity_in_title;confusion:非洲猪瘟;suffix:技术指南|监测;high_value_title;priority_channel,
DIS-024,猪瘟,disease,猪瘟技术指南,对十四届全国人大代表第BH0051号建议的答复,https://www.moa.gov.cn/govpublic/xmsyj/202309/t20230926_6437306.htm,徐德全代表： 您提出的关于重点支持规模化养殖场发展的建议收悉，现答复如下： 一、关于促进生猪规模化养殖疫病防控水平整体提升 近年来，农业农村部出台多项政策措施，支持生猪规模养殖场做好疫病防控工作，不断提升防疫能力和生物安全水平。一是加大对规模养殖场建设的金融支持。我部联合中国人民银行，建立农业农村基础设施融资项目库，涵盖包括生猪规模养殖场在内的现代设施农业等多个领域，将纳入项目库的养殖场项目逐级遴选择优推送给银行机构，为养殖场提供融资对接服务。二是建立健全动物疫情防控长效机制。...,2023-09-26,政策,html,www.moa.gov.cn,{},-40,entity_not_found;priority_channel,
DIS-024,猪瘟,disease,猪瘟技术指南,对十三届全国人大二次会议第6391号、第6489号、第6495号、第6496号、第6497号、第6499号、第7086号、第7090号、第7092号建议的答复,http://www.moa.gov.cn/govpublic/xmsyj/201909/t20190929_6329365.htm,您提出的关于做好非洲猪瘟防控工作的9份建议收悉...,2019-09-29,政策,html,www.moa.gov.cn,{},8,entity_in_summary;low_value_title;priority_channel,
DIS-024,猪瘟,disease,猪瘟技术指南,农业农村部办公厅关于印发《非洲猪瘟常态化防控技术指南（试行版）》的通知,http://www.moa.gov.cn/nybgb/2020/202009/202011/t20201124_6356917.htm,非洲猪瘟常态化防控技术指南...,2020-11-24,公开,html,www.moa.gov.cn,{},-4,entity_in_title;confusion:非洲猪瘟;suffix:通知|技术指南|防控;high_value_title;priority_channel,
DIS-024,猪瘟,disease,猪瘟技术指南,对十三届全国人大二次会议第7012号建议的答复,http://www.moa.gov.cn/govpublic/xmsyj/201909/t20190929_6329363.htm,您提出的关于进一步调整非洲猪瘟防控政策的建议收悉...,2019-09-29,政策,html,www.moa.gov.cn,{},8,entity_in_summary;low_value_title;priority_channel,
DIS-024,猪瘟,disease,猪瘟技术指南,对十三届全国人大四次会议第6680号建议的答复,https://www.moa.gov.cn/govpublic/xmsyj/202109/t20210929_6378639.htm,秦英林代表: 您提出的关于建立非洲猪瘟联防联控机制的建议收悉。...,2021-08-20,政策,html,www.moa.gov.cn,{},8,entity_in_summary;low_value_title;priority_channel,
