link_text,url,source_page,status,content_type,bytes,file,error
《口蹄疫疫情应急实施方案（2026年版）（征求意见稿）》.docx,https://xmsyj.moa.gov.cn/gzdt/202605/P020260507566304703096.docx,https://xmsyj.moa.gov.cn/gzdt/202605/t20260507_6483971.htm,200,application/vnd.openxmlformats-officedocument.wordprocessingml.document,3845361,attachments\d5ac1f3e6d46_P020260507566304703096.docx,
国家兽医参考专业实验室申请表.docx,https://www.moa.gov.cn/govpublic/xmsyj/202412/P020241210336254873984.docx,https://www.moa.gov.cn/govpublic/xmsyj/202412/t20241210_6467722.htm,200,application/vnd.openxmlformats-officedocument.wordprocessingml.document,58980,attachments\17f351485d5e_P020241210336254873984.docx,
农医发【2017】10号.CEB,https://www.moa.gov.cn/govpublic/SYJ/201703/P020170324587295840632.ceb,https://www.moa.gov.cn/govpublic/SYJ/201703/t20170324_5537806.htm,200,application/octet-stream,143934,attachments\5fd8bfc17615_P020170324587295840632.ceb,
农业农村部关于印发2026年兽药质量监督抽检和风险监测等3个计划的通知.ofd,https://www.moa.gov.cn/govpublic/xmsyj/202603/P020260318598272942969.ofd,https://www.moa.gov.cn/govpublic/xmsyj/202603/t20260318_6482396.htm,200,application/octet-stream,1482978,attachments\e7e51a2841db_P020260318598272942969.ofd,
说明书和标签.pdf,https://www.moa.gov.cn/govpublic/xmsyj/202604/P020260416314446595047.pdf,https://www.moa.gov.cn/govpublic/xmsyj/202604/t20260416_6483273.htm,200,application/pdf,522846,attachments\4d11539c696b_P020260416314446595047.pdf,
公告55.ceb,https://www.moa.gov.cn/govpublic/SYJ/201809/P020180903588935138850.ceb,https://www.moa.gov.cn/govpublic/SYJ/201809/t20180903_6156735.htm,200,application/octet-stream,1962428,attachments\4f5708195c69_P020180903588935138850.ceb,
农业农村部公告 第995号.ofd,https://www.moa.gov.cn/govpublic/xmsyj/202602/P020260330510774656990.ofd,https://www.moa.gov.cn/govpublic/xmsyj/202602/t20260204_6481296.htm,200,application/octet-stream,1597215,attachments\88a10c056e18_P020260330510774656990.ofd,
公告1738号.ceb,http://www.moa.gov.cn/govpublic/SYJ/201204/P020120417395042903284.ceb,http://www.moa.gov.cn/govpublic/SYJ/201204/t20120417_2604309.htm,200,application/octet-stream,89368,attachments\3278b89cbaa1_P020120417395042903284.ceb,
附件：注销证书目录.doc,http://www.moa.gov.cn/govpublic/SYJ/201204/P020120417395042902939.doc,http://www.moa.gov.cn/govpublic/SYJ/201204/t20120417_2604309.htm,200,application/msword,30208,attachments\95343c31c0d5_P020120417395042902939.doc,
注销文号目录.xls,http://www.moa.gov.cn/govpublic/SYJ/201204/P020120417395042435269.xls,http://www.moa.gov.cn/govpublic/SYJ/201204/t20120417_2604309.htm,200,application/vnd.ms-excel,42496,attachments\fef330bef90c_P020120417395042435269.xls,
