entity_id,entity_name,entity_type,query,title,url,summary,doc_date,channel,file_type,source_site,api_attachments,score,matched_terms,error,status,content_type,bytes,text_chars,attachments,html_file,text_file,is_direct_attachment,attachment_file,skipped
DIS-026,猪口蹄疫,disease,口蹄疫通知,农业农村部畜牧兽医局关于公开征求口蹄疫疫情应急实施方案意见的通知,https://xmsyj.moa.gov.cn/gzdt/202605/t20260507_6483971.htm,农业农村部畜牧兽医局关于公开征求口蹄疫疫情应急实施方案意见的通知...,2026-05-07,新闻,html,xmsyj.moa.gov.cn,"{""https://xmsyj.moa.gov.cn/gzdt/202605/P020260507566304703096.docx"": ""《口蹄疫疫情应急实施方案（2026年版）（征求意见稿）》.docx""}",84,entity_in_title;suffix:通知|实施方案|应急;high_value_title;priority_channel;has_api_attachments,,200,text/html,57671,9498,1,pages_html\0628d65de10f_t20260507_6483971.htm.html,pages_text\0628d65de10f_t20260507_6483971.htm.html.txt,False,,
DIS-026,猪口蹄疫,disease,口蹄疫技术指南,家畜口蹄疫防控技术指南,https://xmsyj.moa.gov.cn/zcjd/202404/t20240423_6454217.htm,我国口蹄疫疫情形势总体平稳，但国家口蹄疫参考实验室发现部分猪群中口蹄疫流行毒株发生变异，同时中东地区近年来流行的南非2型（SAT 2型）口蹄疫病毒传入我国风险较高，防控工作面临新挑战。...,2024-04-23,新闻,html,xmsyj.moa.gov.cn,{},73,entity_in_title;suffix:技术指南|防控;high_value_title;priority_channel,,200,text/html,79390,11426,0,pages_html\07007e75892d_t20240423_6454217.htm.html,pages_text\07007e75892d_t20240423_6454217.htm.html.txt,False,,
DIS-026,猪口蹄疫,disease,口蹄疫通知,农业农村部畜牧兽医局关于组织申报小反刍兽疫等动物疫病国家参考实验室和国家口蹄疫专业实验室的通知,https://www.moa.gov.cn/govpublic/xmsyj/202412/t20241210_6467722.htm,各有关单位: 根据《国家兽医参考实验室管理办法》（以下简称《办法》），我局拟组织开展小反刍兽疫、炭疽、蓝舌病、牛结节性皮肤病、沙门氏菌病、禽白血病、伪狂犬病、山羊传染性胸膜肺炎等动物疫病国家参考实验室和国家口蹄疫专业实验室申报工作。...,2024-12-10,政策,html,www.moa.gov.cn,"{""https://www.moa.gov.cn/govpublic/xmsyj/202412/P020241210336254873984.docx"": ""国家兽医参考专业实验室申请表.docx""}",66,entity_in_title;suffix:通知;priority_channel;has_api_attachments,,200,text/html,49965,8432,0,pages_html\ab8ae0e5f988_t20241210_6467722.htm.html,pages_text\ab8ae0e5f988_t20241210_6467722.htm.html.txt,False,,
DIS-028,猪繁殖与呼吸综合征,disease,蓝耳病通知,农业部关于印发《国家高致病性猪蓝耳病防治指导意见（2017-2020年）》《国家猪瘟防治指导意见（2017-2020年）》的通知,https://www.moa.gov.cn/govpublic/SYJ/201703/t20170324_5537806.htm,据《国家中长期动物疫病防治规划（2012-2020年）》要求，为有效控制和消灭高致病性猪蓝耳病、猪瘟，我部组织制定了《国家高致病性猪蓝耳病防治指导意见（2017-2020年）》和《国家猪瘟防治指导意见（2017-2020年）》。...,2017-03-21,政策,html,www.moa.gov.cn,"{""https://www.moa.gov.cn/govpublic/SYJ/201703/P020170324587295840632.ceb"": ""农医发【2017】10号.CEB""}",78,entity_in_title;suffix:通知;high_value_title;priority_channel;has_api_attachments,,200,text/html,43518,6223,1,pages_html\1840eec5a443_t20170324_5537806.htm.html,pages_text\1840eec5a443_t20170324_5537806.htm.html.txt,False,,
DIS-028,猪繁殖与呼吸综合征,disease,蓝耳病通知,农业部办公厅关于做好夏季高致病性猪蓝耳病防控工作的通知,https://www.moa.gov.cn/govpublic/SYJ/201006/t20100606_1535578.htm,夏季是高致病性猪蓝耳病高发季节...,2008-07-01,公开,html,www.moa.gov.cn,{},61,entity_in_title;suffix:通知|防控;priority_channel,,200,text/html,47993,7673,0,pages_html\66295e97c086_t20100606_1535578.htm.html,pages_text\66295e97c086_t20100606_1535578.htm.html.txt,False,,
DIS-028,猪繁殖与呼吸综合征,disease,蓝耳病通知,农业部再次发出紧急通知要求：正确把握疫情形势 全力落实防控措施 继续加大高致病性猪蓝耳病防控力度,http://www.moa.gov.cn/xw/zwdt/200707/t20070714_852724.htm,针对当前高致病性猪蓝耳病疫情形势...,2007-07-14,新闻,html,www.moa.gov.cn,{},51,entity_in_title;suffix:通知|防控,,200,text/html,55145,13230,0,pages_html\4e6f131921de_t20070714_852724.htm.html,pages_text\4e6f131921de_t20070714_852724.htm.html.txt,False,,
MANUAL-004,恩诺沙星,drug,恩诺沙星公告,农业农村部关于印发2026年兽药质量监督抽检和风险监测等3个计划的通知,https://www.moa.gov.cn/govpublic/xmsyj/202603/t20260318_6482396.htm,恩诺沙星与环丙沙星之和...,2026-03-18,政策,html,www.moa.gov.cn,"{""https://www.moa.gov.cn/govpublic/xmsyj/202603/P020260318598272942969.ofd"": ""农业农村部关于印发2026年兽药质量监督抽检和风险监测等3个计划的通知.ofd""}",58,entity_in_summary;suffix:兽药;high_value_title;priority_channel;has_api_attachments,,200,text/html,1137646,25696,0,pages_html\70f6439d3875_t20260318_6482396.htm.html,pages_text\70f6439d3875_t20260318_6482396.htm.html.txt,False,,
MANUAL-004,恩诺沙星,drug,恩诺沙星公告,中华人民共和国农业农村部公告 第1011号,https://www.moa.gov.cn/govpublic/xmsyj/202604/t20260416_6483273.htm,批准恩诺沙星粉...,2026-04-16,政策,html,www.moa.gov.cn,"{""https://www.moa.gov.cn/govpublic/xmsyj/202604/P020260416314446595047.pdf"": ""说明书和标签.pdf""}",46,entity_in_summary;suffix:公告;priority_channel;has_api_attachments,,200,text/html,193269,10452,0,pages_html\e9e297f0d19f_t20260416_6483273.htm.html,pages_text\e9e297f0d19f_t20260416_6483273.htm.html.txt,False,,
MANUAL-004,恩诺沙星,drug,恩诺沙星公告,中华人民共和国农业农村部公告 第55号,https://www.moa.gov.cn/govpublic/SYJ/201809/t20180903_6156735.htm,动物保健有限公司提交的恩诺沙星溶液质量标准...,2018-09-04,政策,html,www.moa.gov.cn,"{""https://www.moa.gov.cn/govpublic/SYJ/201809/P020180903588935138850.ceb"": ""公告55.ceb""}",46,entity_in_summary;suffix:公告;priority_channel;has_api_attachments,,200,text/html,44619,5809,0,pages_html\bddd71ee1e75_t20180903_6156735.htm.html,pages_text\bddd71ee1e75_t20180903_6156735.htm.html.txt,False,,
MANUAL-005,氟苯尼考,drug,氟苯尼考公告,农业农村部关于印发2026年兽药质量监督抽检和风险监测等3个计划的通知,https://www.moa.gov.cn/govpublic/xmsyj/202603/t20260318_6482396.htm,氟苯尼考与氟苯尼考胺之和...,2026-03-18,政策,html,www.moa.gov.cn,"{""https://www.moa.gov.cn/govpublic/xmsyj/202603/P020260318598272942969.ofd"": ""农业农村部关于印发2026年兽药质量监督抽检和风险监测等3个计划的通知.ofd""}",58,entity_in_summary;suffix:兽药;high_value_title;priority_channel;has_api_attachments,,200,text/html,1137646,25696,0,pages_html\70f6439d3875_t20260318_6482396.htm.html,pages_text\70f6439d3875_t20260318_6482396.htm.html.txt,False,,
