entity_id,entity_name,entity_type,query,title,url,summary,doc_date,channel,file_type,source_site,api_attachments,score,matched_terms,error
MANUAL-001,吡喹酮,drug,吡喹酮公告,中华人民共和国农业农村部公告第995号,https://www.moa.gov.cn/govpublic/xmsyj/202602/t20260204_6481296.htm,米尔贝肟吡喹酮片...,2026-02-04,政策,html,www.moa.gov.cn,"{""https://www.moa.gov.cn/govpublic/xmsyj/202602/P020260330510774656990.ofd"": ""农业农村部公告 第995号.ofd""}",46,entity_in_summary;suffix:公告;priority_channel;has_api_attachments,
MANUAL-001,吡喹酮,drug,吡喹酮公告,中华人民共和国农业农村部公告 第994号,https://www.moa.gov.cn/govpublic/xmsyj/202602/t20260206_6481393.htm,米尔贝肟吡喹酮咀嚼片...,2026-02-06,政策,html,www.moa.gov.cn,"{""https://www.moa.gov.cn/govpublic/xmsyj/202602/P020260206379347166920.pdf"": ""说明书和标签.pdf""}",46,entity_in_summary;suffix:公告;priority_channel;has_api_attachments,
MANUAL-001,吡喹酮,drug,吡喹酮公告,中华人民共和国农业农村部公告 第1000号,https://www.moa.gov.cn/govpublic/xmsyj/202603/t20260310_6482125.htm,吡喹酮滴剂...,2026-03-10,政策,html,www.moa.gov.cn,"{""https://www.moa.gov.cn/govpublic/xmsyj/202603/P020260401325510382254.ofd"": ""农业农村部公告 第1000号.ofd""}",46,entity_in_summary;suffix:公告;priority_channel;has_api_attachments,
MANUAL-001,吡喹酮,drug,吡喹酮公告,农业农村部办公厅关于2025年第四期兽药质量监督抽检情况的通报,https://www.moa.gov.cn/govpublic/xmsyj/202601/t20260122_6480955.htm,吡喹酮片...,2026-01-22,政策,html,www.moa.gov.cn,{},38,entity_in_summary;suffix:兽药;priority_channel,
MANUAL-001,吡喹酮,drug,吡喹酮公告,中华人民共和国农业农村部公告 第782号,https://www.moa.gov.cn/govpublic/xmsyj/202404/t20240428_6454594.htm,批准勃林格殷格翰动物保健有限公司法国吐鲁兹生产厂生产的复方非泼罗尼吡喹酮滴剂在我国变更注册...,2024-04-28,政策,html,www.moa.gov.cn,"{""https://www.moa.gov.cn/govpublic/xmsyj/202404/P020240510589986081347.ofd"": ""中华人民共和国农业农村部公告 第782号.ofd""}",46,entity_in_summary;suffix:公告;priority_channel;has_api_attachments,
MANUAL-001,吡喹酮,drug,吡喹酮公告,中华人民共和国农业农村部公告 第440号,https://www.moa.gov.cn/govpublic/xmsyj/202107/t20210702_6370863.htm,特此公告...,2021-07-02,政策,html,www.moa.gov.cn,"{""https://www.moa.gov.cn/govpublic/xmsyj/202107/P020210702367616213777.ofd"": ""农业农村部公告 第440号.ofd""}",-14,entity_not_found;suffix:公告;priority_channel;has_api_attachments,
MANUAL-001,吡喹酮,drug,吡喹酮公告,中华人民共和国农业农村部公告 第461号,https://www.moa.gov.cn/govpublic/xmsyj/202108/t20210827_6375084.htm,农业农村部公告第192号...,2021-08-27,政策,html,www.moa.gov.cn,"{""https://www.moa.gov.cn/govpublic/xmsyj/202108/P020210827576729870530.ofd"": ""第四批比对试验目录.ofd""}",-14,entity_not_found;suffix:公告;priority_channel;has_api_attachments,
MANUAL-001,吡喹酮,drug,吡喹酮公告,中华人民共和国农业农村部公告 第838号,https://www.moa.gov.cn/govpublic/xmsyj/202410/t20241031_6465447.htm,批准勃林格殷格翰动物保健有限公司法国吐鲁兹生产厂生产的复方非泼罗尼吡喹酮滴剂在我国变更注册...,2024-10-31,政策,html,www.moa.gov.cn,"{""https://www.moa.gov.cn/govpublic/xmsyj/202410/P020241111552329286143.ofd"": ""中华人民共和国农业农村部公告 第838号.ofd""}",46,entity_in_summary;suffix:公告;priority_channel;has_api_attachments,
MANUAL-001,吡喹酮,drug,吡喹酮禁用,兽药国家标准和部分品种的停药期规定,http://www.moa.gov.cn/gk/tzgg_1/gg/200306/t20030611_90514.htm,中华人民共和国农业部公告 第278号 为加强兽药使用管理 保证动物性产品质量安全 根据 兽药管理条例 规定 我部组织制订了兽药国家标准和专业标准中部分品种的停药期规定 附件1 并确定了部分不需制订停药期规定的品种 附件2 现予公告 本公告自发布之日起执行 以前发布过的与本公告同品种兽药停药期不一致的 以本公告为准 附件1 兽药停药期规定 附件2 不需制订停药期的兽药品种 二 三年五月二十二日 附件1 停药期规定 兽药名称 执行标准 停药期 1 乙酰甲喹片 兽药规范92版 牛 猪35日 2 二氢吡...,2003-05-22,公开,html,www.moa.gov.cn,{},-22,entity_not_found;suffix:兽药;priority_channel,
MANUAL-001,吡喹酮,drug,吡喹酮限用,附件.doc,http://www.moa.gov.cn/govpublic/xmsyj/202208/P020220829568341019711.doc,,2022-08-29,政策,word,www.moa.gov.cn,{},-40,entity_not_found;priority_channel,
MANUAL-001,吡喹酮,drug,吡喹酮限用,中华人民共和国农业农村部公告第461号,https://www.moa.gov.cn/nybgb/2021/202109/202112/t20211201_6383467.htm,据《兽药管理条例》《兽药产品批准文号管理办法》有关规定，我部组织制定了《实行比对试验的兽药品种目录（第四批）》及相关要求，现予发布，自发布之日起执行。 特此公告。 附件：实行比对试验的兽药品种目录（第四批）及有关要求 农业农村部 2021年8月27日 附件 实行比对试验的兽药品种目录（第四批）及有关要求 一、进口兽药产品 序号 兽药名称 生产厂名称 公告号 血药法（BE）...,2021-12-01,公开,html,www.moa.gov.cn,{},-22,entity_not_found;suffix:公告;priority_channel,
MANUAL-001,吡喹酮,drug,吡喹酮限用,附件2.注销的兽药产品批准文号（企业申请注销兽药生产许可证）.docx,http://www.moa.gov.cn/govpublic/xmsyj/202105/P020210513375610553612.docx,注销的兽药产品批准文号 企业申请注销兽药生产许可证 序号 企业名称 通用名称 规格 商品名 批准文号 1 北京帕尔阳光科技开发有限公司 浓戊二醛溶液 水产用 20 g g 无 兽药字010229073 2 北京帕尔阳光科技开发有限公司 地克珠利预混剂 水产用 100g 0 5g 无 兽药字010229009 3 北京帕尔阳光科技开发有限公司 甲苯咪唑溶液 水产用 100g 10g 无 兽药字010229034 4 北京帕尔阳光科技开发有限公司 氟苯尼考粉 水产用 50g 5g 无 兽药字0102...,2021-05-13,政策,word,www.moa.gov.cn,{},-19,entity_not_found;suffix:兽药|批准文号;priority_channel,
MANUAL-001,吡喹酮,drug,吡喹酮限用,中华人民共和国农业农村部公告第306号,http://www.moa.gov.cn/nybgb/2020/202007/202008/t20200810_6350138.htm,根据 兽药管理条例 兽药产品批准文号管理办法 有关规定 应企业申请 注销乾元浩生物股份有限公司南京生物药厂等11家生产企业布氏菌病活疫苗等21个兽药产品批准文号 因 兽药生产许可证 注销 企业迁址停止兽药生产等原因 注销哈尔滨生物制品二厂有限责任公司等8家生产企业所有兽药产品批准文号 自发布之日起执行 一 应企业申请注销的兽药产品批准文号目录 序号 企业名称 通用名称 规格 商品名 批准文号 1 乾元浩生物股份有限公司南京生物药厂 布氏菌病活疫苗 S2株 40头份 瓶 80头份 瓶 160...,2020-08-10,公开,html,www.moa.gov.cn,{},-22,entity_not_found;suffix:公告;priority_channel,
MANUAL-001,吡喹酮,drug,吡喹酮限用,附件2.xlsx,https://www.moa.gov.cn/govpublic/SYJ/201902/P020190202551204056267.xlsx,附件2 注销的兽药产品批准文号目录 依企业申请 序号 生产企业名称 兽药通用名称 规格 兽药产品批准文号 1 北京帕尔阳光科技开发有限公司 三氯异氰脲酸粉 按有效氯 cl 计算52 兽药字 2014 010222004 2 北京帕尔阳光科技开发有限公司 苯扎溴铵溶液 水产用 20 兽药字 2014 010229004 3 北京帕尔阳光科技开发有限公司 三氯异氰脲酸粉 水产用 30 有效氯 兽药字 2014 010229062 4 北京帕尔阳光科技开发有限公司 扶正解毒散 水产用 兽药字 2014...,2019-02-02,政策,excel,www.moa.gov.cn,{},-40,entity_not_found;priority_channel,
MANUAL-001,吡喹酮,drug,吡喹酮限用,中华人民共和国农业农村部公告第440号,https://www.moa.gov.cn/nybgb/2021/202107/202111/t20211103_6381169.htm,据《兽药管理条例》和《兽药注册办法》规定，经审查，批准法国维克有限公司生产的米尔贝肟喹酮片（猫用）等2种兽药产品在我国注册，核发《进口兽药注册证书》，并发布产品质量标准、说明书和标签，自发布之日起执行。 批准德国弗里索伊特兽医制药股份有限公司生产的氯前列醇钠注射液在我国再注册及变更注册，核发《进口兽药注册证书》，并发布修订后的产品质量标准、说明书和标签，自发布之日起执行。此前发布的该产品质量标准、说明书和标签同时废止。...,2021-11-03,公开,html,www.moa.gov.cn,{},-22,entity_not_found;suffix:公告;priority_channel,
MANUAL-001,吡喹酮,drug,吡喹酮兽药,中华人民共和国农业农村部公告 第850号,https://www.moa.gov.cn/govpublic/xmsyj/202412/t20241204_6467420.htm,据《兽药管理条例》和《兽药注册办法》规定，经审查，批准普莱柯生物工程股份有限公司等15家单位申报的禽腺病毒（I群，4型）亚单位疫苗（BL21（DE3）-Fiber-2株）等4种兽药产品为新兽药，核发《新兽药注册证书》，发布产品工艺规程、质量标准、说明书和标签，自发布之日起执行。...,2024-12-04,政策,html,www.moa.gov.cn,"{""https://www.moa.gov.cn/govpublic/xmsyj/202412/P020241204342632285621.pdf"": ""说明书和标签.pdf""}",-14,entity_not_found;suffix:公告;priority_channel;has_api_attachments,
MANUAL-001,吡喹酮,drug,吡喹酮兽药,公告附件20120119.doc,http://www.moa.gov.cn/govpublic/SYJ/201202/P020120210362838923252.doc,等4种兽药产品...,2012-02-10,政策,word,www.moa.gov.cn,{},-22,entity_not_found;suffix:公告;priority_channel,
MANUAL-001,吡喹酮,drug,吡喹酮兽药,中华人民共和国农业农村部公告 第805号,https://www.moa.gov.cn/govpublic/xmsyj/202407/t20240710_6458778.htm,据《兽药管理条例》和《兽药注册办法》规定，经审查，批准英特威国际有限公司生产的猪圆环病毒2型、猪肺炎支原体二联灭活疫苗（重组杆状病毒BacPCV2-Orf2株+J株）在我国注册，核发《进口兽药注册证书》，并发布上述兽药质量标准、说明书和标签，自发布之日起执行。...,2024-07-10,政策,html,www.moa.gov.cn,"{""https://www.moa.gov.cn/govpublic/xmsyj/202407/P020240716522116161725.ofd"": ""中华人民共和国农业农村部公告 第805号.ofd""}",-14,entity_not_found;suffix:公告;priority_channel;has_api_attachments,
MANUAL-001,吡喹酮,drug,吡喹酮兽药,中华人民共和国农业部公告 第2272号,https://www.moa.gov.cn/govpublic/SYJ/201507/t20150714_4745005.htm,据《兽药管理条例》和《兽药注册办法》规定，经审查，批准浙江海正动物保健品有限公司等13家单位申报的米尔贝肟吡喹酮片等3种兽药产品为新兽药，现核发《新兽药注册证书》，并发布产品质量标准、说明书和标签，自发布之日起执行。...,2015-07-14,政策,html,www.moa.gov.cn,"{""https://www.moa.gov.cn/govpublic/SYJ/201507/P020150906590375535814.doc"": ""公告附件（2272号）.doc"", ""https://www.moa.gov.cn/govpublic/SYJ/201507/P020150906581821416950.ceb"": ""农业部公告2272带红头.ceb""}",46,entity_in_summary;suffix:公告;priority_channel;has_api_attachments,
MANUAL-001,吡喹酮,drug,吡喹酮兽药,附件3.注销的兽药产品批准文号（企业迁址重建）.docx,http://www.moa.gov.cn/govpublic/xmsyj/202105/P020210513375610804259.docx,注销的兽药产品批准文号...,2021-05-13,政策,word,www.moa.gov.cn,{},-19,entity_not_found;suffix:兽药|批准文号;priority_channel,
MANUAL-001,吡喹酮,drug,吡喹酮兽药,农业部公告第1593号,https://www.moa.gov.cn/govpublic/SYJ/201106/t20110614_2029399.htm,"据《兽药生产质量管理规范》规定,依照《兽药生产质量管理规范检查验收办法》，经现场检查及审核，现批准上海嘉一精细化工有限公司等16家兽药生产企业为兽药GMP企业，重庆市信心农牧科技有限公司等23家兽药生产企业通过兽药GMP复验，并核发《兽药GMP证书》（见附件）。...",2011-06-09,公开,html,www.moa.gov.cn,"{""https://www.moa.gov.cn/govpublic/SYJ/201106/P020110614404548133736.ceb"": ""公告1593.CEB""}",-14,entity_not_found;suffix:公告;priority_channel;has_api_attachments,
MANUAL-001,吡喹酮,drug,吡喹酮质量标准,说明书和标签,http://www.moa.gov.cn/gk/tzgg_1/gg/201704/P020170407380969356531.doc,,2017-04-06,公开,word,www.moa.gov.cn,{},-22,entity_not_found;suffix:说明书;priority_channel,
MANUAL-002,烯丙孕素,drug,烯丙孕素公告,中华人民共和国农业农村部公告 第1011号,https://www.moa.gov.cn/govpublic/xmsyj/202604/t20260416_6483273.htm,烯丙孕素内服溶液...,2026-04-16,政策,html,www.moa.gov.cn,"{""https://www.moa.gov.cn/govpublic/xmsyj/202604/P020260416314446595047.pdf"": ""说明书和标签.pdf""}",46,entity_in_summary;suffix:公告;priority_channel;has_api_attachments,
MANUAL-002,烯丙孕素,drug,烯丙孕素公告,中华人民共和国农业农村部公告 第972号,https://www.moa.gov.cn/govpublic/xmsyj/202512/t20251211_6479633.htm,烯丙孕素内服...,2025-12-11,政策,html,www.moa.gov.cn,"{""https://www.moa.gov.cn/govpublic/xmsyj/202512/P020260130310706037324.pdf"": ""972号说明书和标签.pdf""}",46,entity_in_summary;suffix:公告;priority_channel;has_api_attachments,
MANUAL-002,烯丙孕素,drug,烯丙孕素公告,中华人民共和国农业部公告 第2653号,https://www.moa.gov.cn/govpublic/SYJ/201802/t20180222_6137262.htm,特此公告...,2018-02-22,政策,html,www.moa.gov.cn,"{""https://www.moa.gov.cn/govpublic/SYJ/201802/P020180222565326444254.ceb"": ""公告2653.ceb"", ""https://www.moa.gov.cn/govpublic/SYJ/201802/P020180222565326757407.doc"": ""说明书和标签.doc""}",-14,entity_not_found;suffix:公告;priority_channel;has_api_attachments,
MANUAL-002,烯丙孕素,drug,烯丙孕素公告,中华人民共和国农业农村部公告 第805号,https://www.moa.gov.cn/govpublic/xmsyj/202407/t20240710_6458778.htm,批准法国诗华动物保健公司生产的烯丙孕素内服溶液在我国变更注册...,2024-07-10,政策,html,www.moa.gov.cn,"{""https://www.moa.gov.cn/govpublic/xmsyj/202407/P020240716522116161725.ofd"": ""中华人民共和国农业农村部公告 第805号.ofd""}",46,entity_in_summary;suffix:公告;priority_channel;has_api_attachments,
