entity_id,entity_name,entity_type,query,title,url,summary,doc_date,channel,file_type,source_site,api_attachments,score,matched_terms,error,status,content_type,bytes,text_chars,attachments,html_file,text_file,is_direct_attachment,attachment_file,skipped
MANUAL-001,吡喹酮,drug,吡喹酮公告,中华人民共和国农业农村部公告第995号,https://www.moa.gov.cn/govpublic/xmsyj/202602/t20260204_6481296.htm,米尔贝肟吡喹酮片...,2026-02-04,政策,html,www.moa.gov.cn,"{""https://www.moa.gov.cn/govpublic/xmsyj/202602/P020260330510774656990.ofd"": ""农业农村部公告 第995号.ofd""}",46,entity_in_summary;suffix:公告;priority_channel;has_api_attachments,,200,text/html,386514,15363,0,pages_html\c3648c886280_t20260204_6481296.htm.html,pages_text\c3648c886280_t20260204_6481296.htm.html.txt,False,,
MANUAL-001,吡喹酮,drug,吡喹酮公告,中华人民共和国农业农村部公告 第994号,https://www.moa.gov.cn/govpublic/xmsyj/202602/t20260206_6481393.htm,米尔贝肟吡喹酮咀嚼片...,2026-02-06,政策,html,www.moa.gov.cn,"{""https://www.moa.gov.cn/govpublic/xmsyj/202602/P020260206379347166920.pdf"": ""说明书和标签.pdf""}",46,entity_in_summary;suffix:公告;priority_channel;has_api_attachments,,200,text/html,198157,12235,0,pages_html\d62ca5e462fd_t20260206_6481393.htm.html,pages_text\d62ca5e462fd_t20260206_6481393.htm.html.txt,False,,
MANUAL-001,吡喹酮,drug,吡喹酮公告,中华人民共和国农业农村部公告 第1000号,https://www.moa.gov.cn/govpublic/xmsyj/202603/t20260310_6482125.htm,吡喹酮滴剂...,2026-03-10,政策,html,www.moa.gov.cn,"{""https://www.moa.gov.cn/govpublic/xmsyj/202603/P020260401325510382254.ofd"": ""农业农村部公告 第1000号.ofd""}",46,entity_in_summary;suffix:公告;priority_channel;has_api_attachments,,200,text/html,108862,8270,0,pages_html\5d8ecf3f14f0_t20260310_6482125.htm.html,pages_text\5d8ecf3f14f0_t20260310_6482125.htm.html.txt,False,,
MANUAL-002,烯丙孕素,drug,烯丙孕素公告,中华人民共和国农业农村部公告 第1011号,https://www.moa.gov.cn/govpublic/xmsyj/202604/t20260416_6483273.htm,烯丙孕素内服溶液...,2026-04-16,政策,html,www.moa.gov.cn,"{""https://www.moa.gov.cn/govpublic/xmsyj/202604/P020260416314446595047.pdf"": ""说明书和标签.pdf""}",46,entity_in_summary;suffix:公告;priority_channel;has_api_attachments,,200,text/html,193269,10452,0,pages_html\e9e297f0d19f_t20260416_6483273.htm.html,pages_text\e9e297f0d19f_t20260416_6483273.htm.html.txt,False,,
MANUAL-002,烯丙孕素,drug,烯丙孕素公告,中华人民共和国农业农村部公告 第972号,https://www.moa.gov.cn/govpublic/xmsyj/202512/t20251211_6479633.htm,烯丙孕素内服...,2025-12-11,政策,html,www.moa.gov.cn,"{""https://www.moa.gov.cn/govpublic/xmsyj/202512/P020260130310706037324.pdf"": ""972号说明书和标签.pdf""}",46,entity_in_summary;suffix:公告;priority_channel;has_api_attachments,,200,text/html,227811,10271,0,pages_html\5fa0573faf33_t20251211_6479633.htm.html,pages_text\5fa0573faf33_t20251211_6479633.htm.html.txt,False,,
MANUAL-002,烯丙孕素,drug,烯丙孕素公告,中华人民共和国农业农村部公告 第805号,https://www.moa.gov.cn/govpublic/xmsyj/202407/t20240710_6458778.htm,批准法国诗华动物保健公司生产的烯丙孕素内服溶液在我国变更注册...,2024-07-10,政策,html,www.moa.gov.cn,"{""https://www.moa.gov.cn/govpublic/xmsyj/202407/P020240716522116161725.ofd"": ""中华人民共和国农业农村部公告 第805号.ofd""}",46,entity_in_summary;suffix:公告;priority_channel;has_api_attachments,,200,text/html,169746,9840,0,pages_html\43d3605548d2_t20240710_6458778.htm.html,pages_text\43d3605548d2_t20240710_6458778.htm.html.txt,False,,
MANUAL-003,阿米卡星,drug,阿米卡星公告,附件3 合法企业确认的假兽药汇总表.doc,http://www.moa.gov.cn/gk/tzgg_1/tfw/201212/P020121212548181579212.doc,硫酸阿米卡星注射液...,2012-12-04,公开,word,www.moa.gov.cn,{},38,entity_in_summary;suffix:兽药;priority_channel,,200,application/msword,614912,0,0,,,True,attachments\d1df08baa44e_P020121212548181579212.doc,
MANUAL-004,双甲脒,drug,双甲脒公告,中华人民共和国农业农村部公告 第601号,https://www.moa.gov.cn/govpublic/xmsyj/202209/t20220922_6411336.htm,中第28条非泼罗尼甲氧普烯双甲脒滴剂...,2022-09-22,政策,html,www.moa.gov.cn,"{""https://www.moa.gov.cn/govpublic/xmsyj/202209/P020220922391126157225.ofd"": ""中华人民共和国农业农村部公告 第601号.ofd""}",46,entity_in_summary;suffix:公告;priority_channel;has_api_attachments,,200,text/html,204456,8057,0,pages_html\f959abfce3c8_t20220922_6411336.htm.html,pages_text\f959abfce3c8_t20220922_6411336.htm.html.txt,False,,
MANUAL-004,双甲脒,drug,双甲脒公告,中华人民共和国农业部公告 第1987号,https://www.moa.gov.cn/govpublic/SYJ/201309/t20130912_3604247.htm,批准梅里亚有限公司等2家公司申请的非泼罗尼甲氧普烯双甲脒滴剂等4种兽药产品在我国注册...,2013-09-12,政策,html,www.moa.gov.cn,"{""https://www.moa.gov.cn/govpublic/SYJ/201309/P020130927337883478575.ceb"": ""公告第1987.ceb""}",46,entity_in_summary;suffix:公告;priority_channel;has_api_attachments,,200,text/html,59441,7617,0,pages_html\0a0848d68d93_t20130912_3604247.htm.html,pages_text\0a0848d68d93_t20130912_3604247.htm.html.txt,False,,
MANUAL-004,双甲脒,drug,双甲脒公告,中华人民共和国农业农村部公告 第688号,https://www.moa.gov.cn/govpublic/xmsyj/202307/t20230727_6433060.htm,同意注销其所属英特威国际有限公司取得的双甲脒溶液...,2023-07-27,政策,html,www.moa.gov.cn,"{""https://www.moa.gov.cn/govpublic/xmsyj/202307/P020230727595971220554.ofd"": ""公告688.ofd""}",46,entity_in_summary;suffix:公告;priority_channel;has_api_attachments,,200,text/html,63747,8230,0,pages_html\8c341e818acd_t20230727_6433060.htm.html,pages_text\8c341e818acd_t20230727_6433060.htm.html.txt,False,,
