rule_id,normalized_drug_name,restriction_type,species_scope,production_stage,route_or_form,withdrawal_days,egg_withdrawal_days,prohibited_for_layers,prohibited_for_food_animals,risk_flag,evidence_source,evidence_url,label_basis,rule_version,evidence_strength,verification_status,last_verified,notes
RULE-001,甲硝唑,food_animal_ban,鸡,全阶段,任何途径,,,yes,yes,critical,"EMA maximum residue report","https://www.ema.europa.eu/en/documents/mrl-report/metronidazole-summary-report-committee-veterinary-medicinal-products_en.pdf","在食用动物上无可接受残留限量，直接视为禁用红线。","v2.0.0",high,official_verified,2026-04-22,"一旦命中即进入 review/剔除队列。"
RULE-002,氟苯尼考,withdrawal_days,鸡,肉鸡,饮水/可溶性粉,5,,yes,no,high,"农业农村部监督抽查通告 + 生产结果复核","https://jgs.moa.gov.cn/gzdt/jgjdt/202312/t20231214_6442796.htm","官方通告支撑产蛋期禁用，肉鸡 5 天待补批准文号说明书 PDF 固化。","v2.0.0",medium,needs_label_verification,2026-04-22,"review console 中优先补证。"
RULE-003,氟苯尼考,egg_ban,鸡,产蛋期,饮水/可溶性粉,,,yes,no,high,"农业农村部监督抽查通告","https://jgs.moa.gov.cn/gzdt/jgjdt/202312/t20231214_6442796.htm","官方通告已明确鸡蛋中不得出现产蛋期禁用兽药相关残留，可作为氟苯尼考产蛋期禁用的监管支撑。","v2.0.0",high,official_verified,2026-04-22,"蛋鸡场景直接拦截。"
RULE-004,盐酸多西环素,label_specific_withdrawal,鸡,全阶段,饮水/可溶性粉,,,no,no,high,"EMA referral","https://www.ema.europa.eu/en/medicines/veterinary/referrals/doxycycline-50-wsp","存在监管审查基础，但最终休药期必须按具体批准产品说明书核定。","v2.0.0",medium,needs_manual_review,2026-04-22,"当前不把 28 天写死，统一进入优先复核。"
RULE-005,地克珠利,withdrawal_days,鸡,肉鸡,饮水/溶液,5,,yes,no,high,"农业农村部公告第246号","https://www.moa.gov.cn/nybgb/2020/202003/202004/t20200419_6341878.htm","官方公告可支撑鸡 5 天，产蛋期禁用。","v2.0.0",high,official_verified,2026-04-22,"可直接用于规则门和 GEval 检索证据。"
RULE-006,地克珠利,egg_ban,鸡,产蛋期,饮水/溶液,,,yes,no,high,"农业农村部公告第246号 + EMA MRL","https://www.moa.gov.cn/nybgb/2020/202003/202004/t20200419_6341878.htm","产蛋期禁用。","v2.0.0",high,official_verified,2026-04-22,"蛋鸡场景直接拦截。"
RULE-007,复合维生素B,none,鸡,全阶段,饮水/拌料,0,0,no,no,low,"project baseline","","支持类添加剂默认无休药期。","v2.0.0",low,high_confidence_candidate,2026-04-22,"后续补标签来源。"
RULE-008,电解多维,none,鸡,全阶段,饮水,0,0,no,no,low,"project baseline","","支持类添加剂默认无休药期。","v2.0.0",low,high_confidence_candidate,2026-04-22,"后续补标签来源。"
RULE-009,维生素C,none,鸡,全阶段,饮水/拌料,0,0,no,no,low,"project baseline","","支持类添加剂默认无休药期。","v2.0.0",low,high_confidence_candidate,2026-04-22,"后续补标签来源。"
RULE-010,碳酸氢钠,none,鸡,全阶段,饮水,0,0,no,no,low,"project baseline","","支持类添加剂默认无休药期。","v2.0.0",low,high_confidence_candidate,2026-04-22,"后续补标签来源。"
RULE-011,氯化钾,none,鸡,全阶段,饮水/拌料,0,0,no,no,low,"project baseline","","支持类添加剂默认无休药期。","v2.0.0",low,high_confidence_candidate,2026-04-22,"后续补标签来源。"
RULE-012,维生素K3,none,鸡,全阶段,饮水/拌料,0,0,no,no,low,"project baseline","","支持类添加剂默认无休药期。","v2.0.0",low,high_confidence_candidate,2026-04-22,"后续补标签来源。"
RULE-013,氯霉素,food_animal_ban,鸡,全阶段,任何途径,,,yes,yes,critical,"农业农村部公告第250号","https://www.moa.gov.cn/govpublic/xmsyj/202001/t20200106_6334375.htm","食品动物禁用清单列明氯霉素及其盐酯。","v2.1.0",high,official_verified,2026-04-23,"一旦命中即进入 review/剔除队列。"
RULE-014,硝基呋喃类,food_animal_ban,鸡,全阶段,任何途径,,,yes,yes,critical,"农业农村部公告第250号","https://www.moa.gov.cn/govpublic/xmsyj/202001/t20200106_6334375.htm","食品动物禁用清单列明硝基呋喃类。","v2.1.0",high,official_verified,2026-04-23,"包含呋喃西林、呋喃妥因、呋喃它酮、呋喃唑酮等。"
RULE-015,卡巴氧,food_animal_ban,鸡,全阶段,任何途径,,,yes,yes,critical,"农业农村部公告第250号","https://www.moa.gov.cn/govpublic/xmsyj/202001/t20200106_6334375.htm","食品动物禁用清单列明卡巴氧及其盐酯。","v2.1.0",high,official_verified,2026-04-23,"一旦命中即进入 review/剔除队列。"
RULE-016,氨苯砜,food_animal_ban,鸡,全阶段,任何途径,,,yes,yes,critical,"农业农村部公告第250号","https://www.moa.gov.cn/govpublic/xmsyj/202001/t20200106_6334375.htm","食品动物禁用清单列明氨苯砜。","v2.1.0",high,official_verified,2026-04-23,"一旦命中即进入 review/剔除队列。"
RULE-017,洛硝达唑,food_animal_ban,鸡,全阶段,任何途径,,,yes,yes,critical,"农业农村部公告第250号","https://www.moa.gov.cn/govpublic/xmsyj/202001/t20200106_6334375.htm","食品动物禁用清单列明硝基咪唑类洛硝达唑。","v2.1.0",high,official_verified,2026-04-23,"与硝基咪唑类红线同组管理。"
RULE-018,替硝唑,food_animal_ban,鸡,全阶段,任何途径,,,yes,yes,critical,"农业农村部公告第250号","https://www.moa.gov.cn/govpublic/xmsyj/202001/t20200106_6334375.htm","食品动物禁用清单列明硝基咪唑类替硝唑。","v2.1.0",high,official_verified,2026-04-23,"与硝基咪唑类红线同组管理。"
