drug_id,normalized_drug_name,aliases,active_ingredient,drug_class,target_species,food_animal_status,egg_phase_status,withdrawal_days_default,egg_withdrawal_days_default,risk_tier,evidence_source,evidence_url,label_basis,rule_version,evidence_strength,last_verified,notes
DRUG-001,甲硝唑,甲硝唑;灭滴灵,metronidazole,硝基咪唑类,鸡,prohibited_for_food_animals,prohibited,,,"critical","EMA maximum residue report","https://www.ema.europa.eu/en/documents/mrl-report/metronidazole-summary-report-committee-veterinary-medicinal-products_en.pdf","在食用动物上无可接受 MRL，视为禁用高风险药。","v2.0.0","high","2026-04-22","禁止作为鸡群黄金数据集的合规用药正例。"
DRUG-002,氟苯尼考,氟苯尼考;氟苯尼考溶液;氟苯尼考可溶性粉,florfenicol,酰胺醇类抗菌药,鸡,allowed_with_label,prohibited_in_laying_hens,5,,"high","农业农村部监督抽查通告 + 生产结果复核","https://jgs.moa.gov.cn/gzdt/jgjdt/202312/t20231214_6442796.htm","官方通告明确鸡蛋中涉及产蛋期不得使用兽药，结合当前结果集先固化氟苯尼考产蛋期禁用；肉鸡 5 天待补批准文号说明书 PDF。","v2.0.0","medium","2026-04-22","高频高风险药，优先补齐批准文号说明书。"
DRUG-003,盐酸多西环素,盐酸多西环素;多西环素;多西环素可溶性粉,doxycycline hyclate/monohydrate,四环素类抗菌药,鸡,allowed_with_label,label_specific,,,"high","EMA referral","https://www.ema.europa.eu/en/medicines/veterinary/referrals/doxycycline-50-wsp","存在监管审查基础，但具体鸡用休药期需按产品标签核定。","v2.0.0","medium","2026-04-22","暂不把 28 天写成硬规则，先作为 review 优先药。"
DRUG-004,地克珠利,地克珠利;地克珠利溶液,diclazuril,三嗪酮类抗球虫药,鸡,allowed_with_label,prohibited_in_laying_hens,5,,"high","农业农村部公告第246号 + EMA MRL","https://www.moa.gov.cn/nybgb/2020/202003/202004/t20200419_6341878.htm","官方资料可支撑鸡 5 天、产蛋期禁用的高风险规则。","v2.0.0","high","2026-04-22","可作为球虫病正例和 review 案例双向校准锚点。"
DRUG-005,复合维生素B,复合维生素B;维生素B复合制剂,vitamin b complex,营养支持,鸡,allowed,allowed,0,0,low,"project baseline","","支持类添加剂默认不设休药期。","v2.0.0","low","2026-04-22","待补饲料添加剂级权威条目。"
DRUG-006,电解多维,电解多维,electrolyte multivitamin,营养支持,鸡,allowed,allowed,0,0,low,"project baseline","","支持类添加剂默认不设休药期。","v2.0.0","low","2026-04-22","待补产品标签。"
DRUG-007,维生素C,维生素C;抗坏血酸,vitamin c,营养支持,鸡,allowed,allowed,0,0,low,"project baseline","","支持类添加剂默认不设休药期。","v2.0.0","low","2026-04-22","待补权威来源。"
DRUG-008,碳酸氢钠,碳酸氢钠;小苏打,sodium bicarbonate,电解质调节,鸡,allowed,allowed,0,0,low,"project baseline","","支持类添加剂默认不设休药期。","v2.0.0","low","2026-04-22","待补权威来源。"
DRUG-009,氯化钾,氯化钾,potassium chloride,电解质调节,鸡,allowed,allowed,0,0,low,"project baseline","","支持类添加剂默认不设休药期。","v2.0.0","low","2026-04-22","待补权威来源。"
DRUG-010,维生素K3,维生素K3;甲萘醌亚硫酸氢钠甲萘醌,vitamin k3,营养支持,鸡,allowed,allowed,0,0,low,"project baseline","","支持类添加剂默认不设休药期。","v2.0.0","low","2026-04-22","常与抗球虫方案联用。"
DRUG-011,氯霉素,氯霉素;氯霉素粉;氯霉素注射液,chloramphenicol,酰胺醇类抗菌药,鸡,prohibited_for_food_animals,prohibited,,,critical,"农业农村部公告第250号","https://www.moa.gov.cn/govpublic/xmsyj/202001/t20200106_6334375.htm","第250号将氯霉素及其盐酯列入食品动物禁用清单。","v2.1.0","high","2026-04-23","任何鸡场景命中均进入红线拦截。"
DRUG-012,硝基呋喃类,硝基呋喃;呋喃西林;呋喃妥因;呋喃它酮;呋喃唑酮;呋喃苯烯酸钠,nitrofurans,硝基呋喃类,鸡,prohibited_for_food_animals,prohibited,,,critical,"农业农村部公告第250号","https://www.moa.gov.cn/govpublic/xmsyj/202001/t20200106_6334375.htm","第250号将硝基呋喃类列入食品动物禁用清单。","v2.1.0","high","2026-04-23","包含多种别名和代表药物。"
DRUG-013,卡巴氧,卡巴氧;喹恶啉类卡巴氧,carbadox,喹恶啉类,鸡,prohibited_for_food_animals,prohibited,,,critical,"农业农村部公告第250号","https://www.moa.gov.cn/govpublic/xmsyj/202001/t20200106_6334375.htm","第250号将卡巴氧及其盐酯列入食品动物禁用清单。","v2.1.0","high","2026-04-23","食品动物禁用。"
DRUG-014,氨苯砜,氨苯砜;达普松,dapsone,砜类抗菌药,鸡,prohibited_for_food_animals,prohibited,,,critical,"农业农村部公告第250号","https://www.moa.gov.cn/govpublic/xmsyj/202001/t20200106_6334375.htm","第250号将氨苯砜列入食品动物禁用清单。","v2.1.0","high","2026-04-23","食品动物禁用。"
DRUG-015,洛硝达唑,洛硝达唑,ronidazole,硝基咪唑类,鸡,prohibited_for_food_animals,prohibited,,,critical,"农业农村部公告第250号","https://www.moa.gov.cn/govpublic/xmsyj/202001/t20200106_6334375.htm","第250号将洛硝达唑列入硝基咪唑类禁用项。","v2.1.0","high","2026-04-23","与硝基咪唑类红线同组管理。"
